analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.003347,0.0032353,0.0032135,0.003199,4.854104792166459e-05,cuda,case118_ieee,mixed,0.005819,0.0057006,0.0056795,0.00566,5.2341188370154604e-05,1.178154001504e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.002482,0.0024651,0.0024655,0.002451,8.949860334105688e-06,cuda_mixed_edge,True
0.005235,0.0049113,0.0048330000000000005,0.004804,0.0001578220164897436,cuda,case1354_pegase,mixed,0.026108,0.0257544,0.0256865,0.025616,0.00018554675960522757,6.763533799586e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.020915,0.0208428,0.0208355,0.020787,4.077798970577657e-05,cuda_mixed_edge,True
0.007344,0.0067787,0.0066645,0.006568,0.0002715883527203133,cuda,case2746wop_k,mixed,0.049495,0.048882300000000004,0.0487825,0.04865,0.00029318937755503906,1.141650773917e-09,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.04215,0.0421029,0.042099,0.042068,2.61722923888773e-05,cuda_mixed_edge,True
0.003261,0.0031334,0.003109,0.003094,5.2247700640527905e-05,cuda,case30_ieee,mixed,0.004405,0.0042672,0.00425,0.004217,5.655243388022995e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.001148,0.0011334,0.001134,0.001122,1.007968253468331e-05,cuda_mixed_edge,True
0.012033,0.0105494,0.010425,0.010185,0.0005337625772652941,cuda,case4601_goc,mixed,0.100698,0.0991608,0.09902749999999999,0.09875,0.0005527452296391963,9.743204021362e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.088708,0.088611,0.08859049999999999,0.088544,5.2372596736164964e-05,cuda_mixed_edge,True
0.004349,0.0041270000000000005,0.0041035,0.004015,0.00011610531617649742,cuda,case793_goc,mixed,0.018462,0.0179935,0.018161,0.017014,0.0004916318066737881,9.862356199985e-09,cuda_edge,5.8,edge_based,end2end,cuda_edge,10,0.014125,0.013866,0.014113500000000001,0.012851,0.0005250828506055023,cuda_mixed_edge,True
0.018646,0.0178089,0.017719,0.017636,0.0003000234990796552,cuda,case8387_pegase,mixed,0.172123,0.1712151,0.1711045,0.17102,0.00032911580197722274,4.998597091799e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.153477,0.1534058,0.153393,0.153365,3.7847060652054355e-05,cuda_mixed_edge,True
0.020832,0.019888,0.0196845,0.019564,0.0004798458085677107,cuda,case9241_pegase,mixed,0.209187,0.2082067,0.20798299999999997,0.207836,0.0004925791645343303,3.688734293711e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.188355,0.1883183,0.18832749999999998,0.188271,3.0254659879832524e-05,cuda_mixed_edge,True
0.003303,0.0032409,0.0032215,0.003212,3.6713454996469245e-05,cuda,case118_ieee,mixed,0.005877,0.0058048,0.0057865,0.005772,3.87865956227149e-05,1.030927274983e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.002574,0.0025634,0.002561,0.002554,7.396695959082714e-06,cuda_mixed_edge,True
0.005237,0.004951,0.0049015,0.004827,0.00014158468215955513,cuda,case1354_pegase,mixed,0.0262,0.025912400000000002,0.025893,0.025762,0.000148304641419838,7.844058735884e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.020993,0.0209608,0.020957,0.020931,2.2606783642673847e-05,cuda_mixed_edge,True
0.007461,0.0067746,0.0066365,0.006606,0.0002941311876621646,cuda,case2746wop_k,mixed,0.049703,0.0490029,0.048864000000000005,0.048821,0.00030297687847241487,9.423906099926e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.042249,0.0422276,0.042221999999999996,0.042211,1.307414751841862e-05,cuda_mixed_edge,True
0.003293,0.0031448,0.0031195,0.003106,5.754573060715375e-05,cuda,case30_ieee,mixed,0.004552,0.0043847999999999995,0.0043549999999999995,0.00434,6.430793972062156e-05,3.132615155131e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.001259,0.0012394,0.001235,0.001232,1.0297788327813115e-05,cuda_mixed_edge,True
0.014867,0.0110159,0.0104,0.010289,0.0014723009542888983,cuda,case4601_goc,mixed,0.104336,0.1004906,0.09982450000000001,0.099596,0.0015116941342598212,9.969374215046e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.090019,0.0894743,0.089445,0.089228,0.00022723900780162356,cuda_mixed_edge,True
