CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.001286,1,0.001286,0.001718,1,0.001718,0.000346,1,0.000346,0.000102,3,0.000306,1.125e-05,4,4.5e-05,6.475e-05,4,0.000259,1.7e-05,1,1.7e-05,0.003007,1,0.003007,0.000267,1,0.000267,0.003292,1,0.003292,1.125e-05,4,4.5e-05,0.00024,4,0.00096,2.06e-05,5,0.000103,0.0002358,5,0.001179,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.001257,1,0.001257,5.7e-05,1,5.7e-05,0.003293,cuda,30,case30_ieee,mixed,case30_ieee,0.004552,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.001258,cuda_mixed_edge,True
0.001275,1,0.001275,0.001575,1,0.001575,0.000324,1,0.000324,0.0001026666666667,3,0.000308,1.125e-05,4,4.5e-05,6.525e-05,4,0.000261,1.3e-05,1,1.3e-05,0.002853,1,0.002853,0.000256,1,0.000256,0.003124,1,0.003124,1.125e-05,4,4.5e-05,0.0002355,4,0.000942,2.06e-05,5,0.000103,0.0002362,5,0.001181,2.1e-05,4,8.4e-05,1.7e-05,1,1.7e-05,0.001259,1,0.001259,5.7e-05,1,5.7e-05,0.003125,cuda,30,case30_ieee,mixed,case30_ieee,0.004385,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.001259,cuda_mixed_edge,True
0.001274,1,0.001274,0.001629,1,0.001629,0.000322,1,0.000322,0.0001023333333333,3,0.000307,1.1e-05,4,4.4e-05,6.5e-05,4,0.00026,1.3e-05,1,1.3e-05,0.002907,1,0.002907,0.000253,1,0.000253,0.003174,1,0.003174,1.125e-05,4,4.5e-05,0.00023475,4,0.000939,2.04e-05,5,0.000102,0.0002312,5,0.001156,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.001234,1,0.001234,5.8e-05,1,5.8e-05,0.003175,cuda,30,case30_ieee,mixed,case30_ieee,0.004411,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.001235,cuda_mixed_edge,True
0.001274,1,0.001274,0.001574,1,0.001574,0.000321,1,0.000321,0.0001026666666667,3,0.000308,1.1e-05,4,4.4e-05,6.5e-05,4,0.00026,1.3e-05,1,1.3e-05,0.002851,1,0.002851,0.000247,1,0.000247,0.003113,1,0.003113,1.125e-05,4,4.5e-05,0.0002345,4,0.000938,2.02e-05,5,0.000101,0.000231,5,0.001155,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.001238,1,0.001238,6.2e-05,1,6.2e-05,0.003114,cuda,30,case30_ieee,mixed,case30_ieee,0.004354,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.001239,cuda_mixed_edge,True
0.001273,1,0.001273,0.001566,1,0.001566,0.00032,1,0.00032,0.0001023333333333,3,0.000307,1.1e-05,4,4.4e-05,6.5e-05,4,0.00026,1.2e-05,1,1.2e-05,0.002841,1,0.002841,0.000254,1,0.000254,0.003108,1,0.003108,1.125e-05,4,4.5e-05,0.00023425,4,0.000937,2.04e-05,5,0.000102,0.0002306,5,0.001153,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.001231,1,0.001231,5.7e-05,1,5.7e-05,0.003109,cuda,30,case30_ieee,mixed,case30_ieee,0.004342,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.001232,cuda_mixed_edge,True
0.001272,1,0.001272,0.001571,1,0.001571,0.00032,1,0.00032,0.000103,3,0.000309,1.125e-05,4,4.5e-05,6.525e-05,4,0.000261,1.2e-05,1,1.2e-05,0.002846,1,0.002846,0.000246,1,0.000246,0.003105,1,0.003105,1.125e-05,4,4.5e-05,0.00023475,4,0.000939,2.04e-05,5,0.000102,0.0002312,5,0.001156,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.001232,1,0.001232,5.6e-05,1,5.6e-05,0.003106,cuda,30,case30_ieee,mixed,case30_ieee,0.00434,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.001233,cuda_mixed_edge,True
0.001274,1,0.001274,0.001564,1,0.001564,0.00032,1,0.00032,0.0001023333333333,3,0.000307,1.1e-05,4,4.4e-05,6.5e-05,4,0.00026,1.2e-05,1,1.2e-05,0.002841,1,0.002841,0.00026,1,0.00026,0.003115,1,0.003115,1.1e-05,4,4.4e-05,0.00023475,4,0.000939,2.06e-05,5,0.000103,0.0002312,5,0.001156,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.001233,1,0.001233,5.6e-05,1,5.6e-05,0.003116,cuda,30,case30_ieee,mixed,case30_ieee,0.00435,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.001234,cuda_mixed_edge,True
0.001272,1,0.001272,0.001635,1,0.001635,0.000321,1,0.000321,0.0001026666666667,3,0.000308,1.15e-05,4,4.6e-05,6.525e-05,4,0.000261,1.2e-05,1,1.2e-05,0.00291,1,0.00291,0.000246,1,0.000246,0.00317,1,0.00317,1.1e-05,4,4.4e-05,0.000235,4,0.00094,2.06e-05,5,0.000103,0.0002314,5,0.001157,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.001236,1,0.001236,5.7e-05,1,5.7e-05,0.003171,cuda,30,case30_ieee,mixed,case30_ieee,0.004408,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.001237,cuda_mixed_edge,True
0.001273,1,0.001273,0.00158,1,0.00158,0.000322,1,0.000322,0.0001023333333333,3,0.000307,1.1e-05,4,4.4e-05,6.475e-05,4,0.000259,1.3e-05,1,1.3e-05,0.002855,1,0.002855,0.00025,1,0.00025,0.00312,1,0.00312,1.125e-05,4,4.5e-05,0.00023475,4,0.000939,2.06e-05,5,0.000103,0.0002312,5,0.001156,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.001234,1,0.001234,5.7e-05,1,5.7e-05,0.003121,cuda,30,case30_ieee,mixed,case30_ieee,0.004356,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.001235,cuda_mixed_edge,True
0.001275,1,0.001275,0.001575,1,0.001575,0.00032,1,0.00032,0.0001023333333333,3,0.000307,1.1e-05,4,4.4e-05,6.5e-05,4,0.00026,1.2e-05,1,1.2e-05,0.002852,1,0.002852,0.000251,1,0.000251,0.003117,1,0.003117,1.15e-05,4,4.6e-05,0.0002345,4,0.000938,2.04e-05,5,0.000102,0.0002308,5,0.001154,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.001231,1,0.001231,5.6e-05,1,5.6e-05,0.003118,cuda,30,case30_ieee,mixed,case30_ieee,0.00435,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.001232,cuda_mixed_edge,True
