analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.003107,cuda,30,case30_ieee,mixed,case30_ieee,0.004241,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.001134,cuda_mixed_edge,True
0.003082,cuda,30,case30_ieee,mixed,case30_ieee,0.004199,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.001117,cuda_mixed_edge,True
0.003018,cuda,30,case30_ieee,mixed,case30_ieee,0.004131,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.001113,cuda_mixed_edge,True
0.003006,cuda,30,case30_ieee,mixed,case30_ieee,0.00412,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.001114,cuda_mixed_edge,True
0.003004,cuda,30,case30_ieee,mixed,case30_ieee,0.004108,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.001104,cuda_mixed_edge,True
0.002997,cuda,30,case30_ieee,mixed,case30_ieee,0.004112,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.001115,cuda_mixed_edge,True
0.003017,cuda,30,case30_ieee,mixed,case30_ieee,0.004137,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.00112,cuda_mixed_edge,True
0.003013,cuda,30,case30_ieee,mixed,case30_ieee,0.004111,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.001098,cuda_mixed_edge,True
0.003024,cuda,30,case30_ieee,mixed,case30_ieee,0.004129,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.001104,cuda_mixed_edge,True
0.003015,cuda,30,case30_ieee,mixed,case30_ieee,0.004131,3.132615155131e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.001115,cuda_mixed_edge,True
0.003261,cuda,118,case118_ieee,mixed,case118_ieee,0.005729,8.286455738007e-11,cuda_edge,5,edge_based,1.002563617486,end2end,64,cuda_edge,53,0,0.002467,cuda_mixed_edge,True
0.003296,cuda,118,case118_ieee,mixed,case118_ieee,0.005765,9.740032856874e-11,cuda_edge,5,edge_based,1.002563617474,end2end,64,cuda_edge,53,1,0.002468,cuda_mixed_edge,True
0.003373,cuda,118,case118_ieee,mixed,case118_ieee,0.005851,6.07010830489e-11,cuda_edge,5,edge_based,1.002563617478,end2end,64,cuda_edge,53,2,0.002478,cuda_mixed_edge,True
0.003203,cuda,118,case118_ieee,mixed,case118_ieee,0.005673,1.13097363255e-10,cuda_edge,5,edge_based,1.002563617472,end2end,64,cuda_edge,53,3,0.002469,cuda_mixed_edge,True
0.003191,cuda,118,case118_ieee,mixed,case118_ieee,0.005666,6.739461518317e-11,cuda_edge,5,edge_based,1.002563617472,end2end,64,cuda_edge,53,4,0.002475,cuda_mixed_edge,True
0.003187,cuda,118,case118_ieee,mixed,case118_ieee,0.005632,5.567504971331e-11,cuda_edge,5,edge_based,1.002563617476,end2end,64,cuda_edge,53,5,0.002445,cuda_mixed_edge,True
0.003192,cuda,118,case118_ieee,mixed,case118_ieee,0.005637,7.830432273998e-11,cuda_edge,5,edge_based,1.002563617472,end2end,64,cuda_edge,53,6,0.002444,cuda_mixed_edge,True
0.003177,cuda,118,case118_ieee,mixed,case118_ieee,0.005636,8.040172181088e-11,cuda_edge,5,edge_based,1.002563617476,end2end,64,cuda_edge,53,7,0.002458,cuda_mixed_edge,True
0.003353,cuda,118,case118_ieee,mixed,case118_ieee,0.005825,6.739461518317e-11,cuda_edge,5,edge_based,1.002563617472,end2end,64,cuda_edge,53,8,0.002472,cuda_mixed_edge,True
0.003215,cuda,118,case118_ieee,mixed,case118_ieee,0.005692,8.760274540155e-11,cuda_edge,5,edge_based,1.002563617475,end2end,64,cuda_edge,53,9,0.002476,cuda_mixed_edge,True
0.004127,cuda,793,case793_goc,mixed,case793_goc,0.018232,2.566517753499e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,0,0.014104,cuda_mixed_edge,True
0.004074,cuda,793,case793_goc,mixed,case793_goc,0.018164,1.804992953179e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,1,0.014089,cuda_mixed_edge,True
0.004009,cuda,793,case793_goc,mixed,case793_goc,0.018084,2.296773882193e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.014075,cuda_mixed_edge,True
0.004014,cuda,793,case793_goc,mixed,case793_goc,0.018118,2.26696880624e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.014103,cuda_mixed_edge,True
0.004252,cuda,793,case793_goc,mixed,case793_goc,0.018349,1.581501347726e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,4,0.014096,cuda_mixed_edge,True
0.004019,cuda,793,case793_goc,mixed,case793_goc,0.018116,1.902072303663e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,5,0.014096,cuda_mixed_edge,True
0.003996,cuda,793,case793_goc,mixed,case793_goc,0.018103,2.682141915924e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,6,0.014106,cuda_mixed_edge,True
0.003939,cuda,793,case793_goc,mixed,case793_goc,0.018068,2.04281036531e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,7,0.014128,cuda_mixed_edge,True
0.003939,cuda,793,case793_goc,mixed,case793_goc,0.016819,9.845253501339e-09,cuda_edge,5,edge_based,1.161718975866,end2end,704,cuda_edge,88,8,0.012879,cuda_mixed_edge,True
0.004014,cuda,793,case793_goc,mixed,case793_goc,0.018102,2.683787302368e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,9,0.014088,cuda_mixed_edge,True
0.004882,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025501,7.627232179175e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,0,0.020619,cuda_mixed_edge,True
0.004532,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025198,7.202738405709e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,1,0.020666,cuda_mixed_edge,True
0.004532,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025124,6.356692949794e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,2,0.020592,cuda_mixed_edge,True
0.004501,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025081,5.468736574699e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,3,0.02058,cuda_mixed_edge,True
0.004519,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025151,3.477995669243e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,4,0.020631,cuda_mixed_edge,True
0.00489,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025468,5.87951909381e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,5,0.020578,cuda_mixed_edge,True
0.004503,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.02506,4.004579957054e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,6,0.020556,cuda_mixed_edge,True
0.004583,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025195,6.662448370776e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,7,0.020611,cuda_mixed_edge,True
0.004519,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025184,7.089969782497e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,8,0.020664,cuda_mixed_edge,True
0.004522,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.025107,4.975519996009e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,9,0.020584,cuda_mixed_edge,True
0.006854,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.048668,3.275141494091e-10,cuda_edge,5,edge_based,0.5067134061501,end2end,2396,cuda_edge,349,0,0.041813,cuda_mixed_edge,True
0.006175,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.047966,7.538485391478e-10,cuda_edge,5,edge_based,0.5067134061769,end2end,2396,cuda_edge,349,1,0.04179,cuda_mixed_edge,True
0.006049,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.047838,2.190576608996e-10,cuda_edge,5,edge_based,0.506713406136,end2end,2396,cuda_edge,349,2,0.041788,cuda_mixed_edge,True
0.006394,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.048176,6.046738665333e-10,cuda_edge,5,edge_based,0.5067134061598,end2end,2396,cuda_edge,349,3,0.041781,cuda_mixed_edge,True
0.006097,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.047886,1.952238370961e-10,cuda_edge,5,edge_based,0.5067134061401,end2end,2396,cuda_edge,349,4,0.041788,cuda_mixed_edge,True
