analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.010407,cuda,30,case30_ieee,mixed,case30_ieee,0.01108,2.270185713203e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000673,cuda_mixed_edge,True
0.010226,cuda,30,case30_ieee,mixed,case30_ieee,0.010908,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000681,cuda_mixed_edge,True
0.010322,cuda,30,case30_ieee,mixed,case30_ieee,0.010998,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000676,cuda_mixed_edge,True
0.010186,cuda,30,case30_ieee,mixed,case30_ieee,0.010875,2.128644482902e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000689,cuda_mixed_edge,True
0.010224,cuda,30,case30_ieee,mixed,case30_ieee,0.010915,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.00069,cuda_mixed_edge,True
0.010215,cuda,30,case30_ieee,mixed,case30_ieee,0.010905,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000689,cuda_mixed_edge,True
0.010224,cuda,30,case30_ieee,mixed,case30_ieee,0.010913,2.270185713203e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000689,cuda_mixed_edge,True
0.010213,cuda,30,case30_ieee,mixed,case30_ieee,0.010903,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.00069,cuda_mixed_edge,True
0.010206,cuda,30,case30_ieee,mixed,case30_ieee,0.010898,2.29446584649e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000691,cuda_mixed_edge,True
0.010225,cuda,30,case30_ieee,mixed,case30_ieee,0.010914,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000688,cuda_mixed_edge,True
0.010865,cuda,118,case118_ieee,mixed,case118_ieee,0.011655,6.451765990191e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,0,0.00079,cuda_mixed_edge,True
0.010692,cuda,118,case118_ieee,mixed,case118_ieee,0.011484,6.926448840458e-11,cuda_edge,5,edge_based,1.002563617489,end2end,64,cuda_edge,53,1,0.000792,cuda_mixed_edge,True
0.010675,cuda,118,case118_ieee,mixed,case118_ieee,0.011466,7.221301334681e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,2,0.00079,cuda_mixed_edge,True
0.010687,cuda,118,case118_ieee,mixed,case118_ieee,0.011485,6.730059980205e-11,cuda_edge,5,edge_based,1.002563617509,end2end,64,cuda_edge,53,3,0.000797,cuda_mixed_edge,True
0.010671,cuda,118,case118_ieee,mixed,case118_ieee,0.011469,6.414290344155e-11,cuda_edge,5,edge_based,1.002563617489,end2end,64,cuda_edge,53,4,0.000797,cuda_mixed_edge,True
0.010681,cuda,118,case118_ieee,mixed,case118_ieee,0.011475,6.151814223716e-11,cuda_edge,5,edge_based,1.002563617482,end2end,64,cuda_edge,53,5,0.000793,cuda_mixed_edge,True
0.010674,cuda,118,case118_ieee,mixed,case118_ieee,0.011454,7.279102232464e-11,cuda_edge,5,edge_based,1.002563617493,end2end,64,cuda_edge,53,6,0.00078,cuda_mixed_edge,True
