CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.008588,1,0.008588,0.001686,1,0.001686,7.2e-05,1,7.2e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.675e-05,4,0.000227,2.1e-05,1,2.1e-05,0.010278,1,0.010278,0.000326,1,0.000326,0.010626,1,0.010626,1.15e-05,4,4.6e-05,0.0001345,4,0.000538,2.06e-05,5,0.000103,0.0001514,5,0.000757,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.000835,1,0.000835,5.8e-05,1,5.8e-05,0.010628,cuda,30,case30_ieee,mixed,case30_ieee,0.011465,1.51651409656e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000837,cuda_mixed_edge,True
0.008526,1,0.008526,0.001884,1,0.001884,7.2e-05,1,7.2e-05,6.4e-05,3,0.000192,1.1e-05,4,4.4e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.010413,1,0.010413,0.00025,1,0.00025,0.010678,1,0.010678,1.15e-05,4,4.6e-05,0.00013475,4,0.000539,2.04e-05,5,0.000102,0.0001514,5,0.000757,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000835,1,0.000835,5.6e-05,1,5.6e-05,0.010679,cuda,30,case30_ieee,mixed,case30_ieee,0.011515,1.796177962769e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000836,cuda_mixed_edge,True
0.008519,1,0.008519,0.001645,1,0.001645,7e-05,1,7e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.65e-05,4,0.000226,1.4e-05,1,1.4e-05,0.010167,1,0.010167,0.000261,1,0.000261,0.010444,1,0.010444,1.125e-05,4,4.5e-05,0.00013375,4,0.000535,2.02e-05,5,0.000101,0.0001504,5,0.000752,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000834,1,0.000834,6.1e-05,1,6.1e-05,0.010444,cuda,30,case30_ieee,mixed,case30_ieee,0.01128,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000835,cuda_mixed_edge,True
0.00852,1,0.00852,0.001574,1,0.001574,7.1e-05,1,7.1e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.010098,1,0.010098,0.000247,1,0.000247,0.01036,1,0.01036,1.125e-05,4,4.5e-05,0.000134,4,0.000536,2.02e-05,5,0.000101,0.0001524,5,0.000762,1.85e-05,4,7.4e-05,1.7e-05,1,1.7e-05,0.00084,1,0.00084,5.6e-05,1,5.6e-05,0.010361,cuda,30,case30_ieee,mixed,case30_ieee,0.011202,1.53040088654e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000841,cuda_mixed_edge,True
0.008514,1,0.008514,0.001649,1,0.001649,7.1e-05,1,7.1e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.6e-05,4,0.000224,1.4e-05,1,1.4e-05,0.010165,1,0.010165,0.000255,1,0.000255,0.010436,1,0.010436,1.125e-05,4,4.5e-05,0.00013325,4,0.000533,2.04e-05,5,0.000102,0.0001504,5,0.000752,1.625e-05,4,6.5e-05,1.7e-05,1,1.7e-05,0.000828,1,0.000828,5.6e-05,1,5.6e-05,0.010437,cuda,30,case30_ieee,mixed,case30_ieee,0.011266,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000828,cuda_mixed_edge,True
0.008509,1,0.008509,0.001568,1,0.001568,7e-05,1,7e-05,6.366666666667e-05,3,0.000191,1.1e-05,4,4.4e-05,5.6e-05,4,0.000224,1.4e-05,1,1.4e-05,0.01008,1,0.01008,0.000248,1,0.000248,0.010343,1,0.010343,1.125e-05,4,4.5e-05,0.00013375,4,0.000535,2.02e-05,5,0.000101,0.0001504,5,0.000752,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.000828,1,0.000828,5.6e-05,1,5.6e-05,0.010344,cuda,30,case30_ieee,mixed,case30_ieee,0.011173,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000829,cuda_mixed_edge,True
0.008514,1,0.008514,0.001644,1,0.001644,7.1e-05,1,7.1e-05,6.3e-05,3,0.000189,1.1e-05,4,4.4e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.01016,1,0.01016,0.000265,1,0.000265,0.010441,1,0.010441,1.125e-05,4,4.5e-05,0.00013325,4,0.000533,2.04e-05,5,0.000102,0.0001504,5,0.000752,1.6e-05,4,6.4e-05,1.7e-05,1,1.7e-05,0.000827,1,0.000827,5.6e-05,1,5.6e-05,0.010442,cuda,30,case30_ieee,mixed,case30_ieee,0.011271,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000828,cuda_mixed_edge,True
0.00853,1,0.00853,0.001653,1,0.001653,7.3e-05,1,7.3e-05,6.5e-05,3,0.000195,1.125e-05,4,4.5e-05,5.75e-05,4,0.00023,1.4e-05,1,1.4e-05,0.010186,1,0.010186,0.000253,1,0.000253,0.010454,1,0.010454,1.125e-05,4,4.5e-05,0.00013675,4,0.000547,2.06e-05,5,0.000103,0.0001536,5,0.000768,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000849,1,0.000849,5.9e-05,1,5.9e-05,0.010455,cuda,30,case30_ieee,mixed,case30_ieee,0.011305,2.592118365579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000849,cuda_mixed_edge,True
0.00854,1,0.00854,0.001593,1,0.001593,7.3e-05,1,7.3e-05,6.433333333333e-05,3,0.000193,1.1e-05,4,4.4e-05,5.75e-05,4,0.00023,1.4e-05,1,1.4e-05,0.010136,1,0.010136,0.000272,1,0.000272,0.010424,1,0.010424,1.175e-05,4,4.7e-05,0.0001365,4,0.000546,2.06e-05,5,0.000103,0.0001538,5,0.000769,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000849,1,0.000849,5.8e-05,1,5.8e-05,0.010425,cuda,30,case30_ieee,mixed,case30_ieee,0.011275,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.00085,cuda_mixed_edge,True
0.008537,1,0.008537,0.001576,1,0.001576,7.4e-05,1,7.4e-05,6.466666666667e-05,3,0.000194,1.125e-05,4,4.5e-05,5.725e-05,4,0.000229,1.5e-05,1,1.5e-05,0.010115,1,0.010115,0.000264,1,0.000264,0.010396,1,0.010396,1.175e-05,4,4.7e-05,0.000137,4,0.000548,2.06e-05,5,0.000103,0.0001538,5,0.000769,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.00085,1,0.00085,5.8e-05,1,5.8e-05,0.010397,cuda,30,case30_ieee,mixed,case30_ieee,0.011249,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000851,cuda_mixed_edge,True
0.008979,1,0.008979,0.001914,1,0.001914,8.1e-05,1,8.1e-05,7.433333333333e-05,3,0.000223,1.175e-05,4,4.7e-05,6.625e-05,4,0.000265,4.7e-05,1,4.7e-05,0.010897,1,0.010897,0.00031,1,0.00031,0.011255,1,0.011255,1.25e-05,4,5e-05,0.000155,4,0.00062,2.24e-05,5,0.000112,0.0001712,5,0.000856,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000939,1,0.000939,6.1e-05,1,6.1e-05,0.011257,cuda,118,case118_ieee,mixed,case118_ieee,0.012197,6.220454506681e-11,cuda_edge,5,edge_based,1.00256361748,operators,64,cuda_edge,53,0,0.00094,cuda_mixed_edge,True
0.008915,1,0.008915,0.001583,1,0.001583,8.1e-05,1,8.1e-05,7.366666666667e-05,3,0.000221,1.125e-05,4,4.5e-05,6.65e-05,4,0.000266,3.7e-05,1,3.7e-05,0.010501,1,0.010501,0.000274,1,0.000274,0.010814,1,0.010814,1.225e-05,4,4.9e-05,0.0001545,4,0.000618,2.24e-05,5,0.000112,0.0001708,5,0.000854,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000937,1,0.000937,6.1e-05,1,6.1e-05,0.010815,cuda,118,case118_ieee,mixed,case118_ieee,0.011753,6.334925616558e-11,cuda_edge,5,edge_based,1.002563617484,operators,64,cuda_edge,53,1,0.000937,cuda_mixed_edge,True
0.008919,1,0.008919,0.001575,1,0.001575,8.2e-05,1,8.2e-05,7.333333333333e-05,3,0.00022,1.1e-05,4,4.4e-05,6.575e-05,4,0.000263,3.9e-05,1,3.9e-05,0.010497,1,0.010497,0.000267,1,0.000267,0.010805,1,0.010805,1.225e-05,4,4.9e-05,0.000154,4,0.000616,2.24e-05,5,0.000112,0.0001704,5,0.000852,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000933,1,0.000933,6.1e-05,1,6.1e-05,0.010806,cuda,118,case118_ieee,mixed,case118_ieee,0.011741,6.948300780661e-11,cuda_edge,5,edge_based,1.002563617481,operators,64,cuda_edge,53,2,0.000934,cuda_mixed_edge,True
0.008915,1,0.008915,0.001901,1,0.001901,8.1e-05,1,8.1e-05,7.366666666667e-05,3,0.000221,1.1e-05,4,4.4e-05,6.65e-05,4,0.000266,3.9e-05,1,3.9e-05,0.010818,1,0.010818,0.000254,1,0.000254,0.011113,1,0.011113,1.225e-05,4,4.9e-05,0.00015475,4,0.000619,2.24e-05,5,0.000112,0.000171,5,0.000855,1.725e-05,4,6.9e-05,1.7e-05,1,1.7e-05,0.000942,1,0.000942,6.8e-05,1,6.8e-05,0.011114,cuda,118,case118_ieee,mixed,case118_ieee,0.012058,6.625355592071e-11,cuda_edge,5,edge_based,1.002563617482,operators,64,cuda_edge,53,3,0.000943,cuda_mixed_edge,True
0.008899,1,0.008899,0.00164,1,0.00164,8.1e-05,1,8.1e-05,7.4e-05,3,0.000222,1.125e-05,4,4.5e-05,6.6e-05,4,0.000264,3.9e-05,1,3.9e-05,0.010541,1,0.010541,0.000259,1,0.000259,0.010842,1,0.010842,1.2e-05,4,4.8e-05,0.0001545,4,0.000618,2.24e-05,5,0.000112,0.000171,5,0.000855,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000936,1,0.000936,6e-05,1,6e-05,0.010843,cuda,118,case118_ieee,mixed,case118_ieee,0.01178,7.837220417813e-11,cuda_edge,5,edge_based,1.002563617485,operators,64,cuda_edge,53,4,0.000937,cuda_mixed_edge,True
0.008904,1,0.008904,0.001571,1,0.001571,8.1e-05,1,8.1e-05,7.4e-05,3,0.000222,1.125e-05,4,4.5e-05,6.575e-05,4,0.000263,3.8e-05,1,3.8e-05,0.010478,1,0.010478,0.000252,1,0.000252,0.010769,1,0.010769,1.2e-05,4,4.8e-05,0.0001545,4,0.000618,2.26e-05,5,0.000113,0.000171,5,0.000855,1.725e-05,4,6.9e-05,1.7e-05,1,1.7e-05,0.000935,1,0.000935,6e-05,1,6e-05,0.010771,cuda,118,case118_ieee,mixed,case118_ieee,0.011707,7.057686033875e-11,cuda_edge,5,edge_based,1.002563617493,operators,64,cuda_edge,53,5,0.000936,cuda_mixed_edge,True
0.008903,1,0.008903,0.001569,1,0.001569,8.1e-05,1,8.1e-05,7.366666666667e-05,3,0.000221,1.325e-05,4,5.3e-05,6.55e-05,4,0.000262,3.7e-05,1,3.7e-05,0.010475,1,0.010475,0.000253,1,0.000253,0.010767,1,0.010767,1.225e-05,4,4.9e-05,0.00015575,4,0.000623,2.24e-05,5,0.000112,0.0001718,5,0.000859,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.00094,1,0.00094,6e-05,1,6e-05,0.010768,cuda,118,case118_ieee,mixed,case118_ieee,0.01171,7.183945412033e-11,cuda_edge,5,edge_based,1.002563617497,operators,64,cuda_edge,53,6,0.000941,cuda_mixed_edge,True
0.008929,1,0.008929,0.001834,1,0.001834,8.2e-05,1,8.2e-05,7.466666666667e-05,3,0.000224,1.2e-05,4,4.8e-05,6.675e-05,4,0.000267,3.8e-05,1,3.8e-05,0.010765,1,0.010765,0.000253,1,0.000253,0.011058,1,0.011058,1.25e-05,4,5e-05,0.00015625,4,0.000625,2.32e-05,5,0.000116,0.0001732,5,0.000866,1.725e-05,4,6.9e-05,1.8e-05,1,1.8e-05,0.000949,1,0.000949,6.2e-05,1,6.2e-05,0.011059,cuda,118,case118_ieee,mixed,case118_ieee,0.01201,7.262644860648e-11,cuda_edge,5,edge_based,1.002563617482,operators,64,cuda_edge,53,7,0.00095,cuda_mixed_edge,True
0.008919,1,0.008919,0.001583,1,0.001583,8.3e-05,1,8.3e-05,7.5e-05,3,0.000225,1.2e-05,4,4.8e-05,6.7e-05,4,0.000268,3.8e-05,1,3.8e-05,0.010505,1,0.010505,0.00026,1,0.00026,0.010805,1,0.010805,1.25e-05,4,5e-05,0.000157,4,0.000628,2.28e-05,5,0.000114,0.0001742,5,0.000871,1.725e-05,4,6.9e-05,1.9e-05,1,1.9e-05,0.000955,1,0.000955,6.3e-05,1,6.3e-05,0.010806,cuda,118,case118_ieee,mixed,case118_ieee,0.011763,7.116020441628e-11,cuda_edge,5,edge_based,1.002563617488,operators,64,cuda_edge,53,8,0.000956,cuda_mixed_edge,True
