snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,7.77752863333692115e-14,1.36439999999999988e-04,2.99499999999999995e-05,3.52999997138977051e+00,6.60194121593349337e-13,1.87023831995508250e-13,9.38299983187373066e-01,1.04521612989127988e-05,2.42189980959039985e-06
/workspace/exp/20260413/iterative/dumps/case118_ieee/cuda_mixed_edge/iter_001,bicgstab_ilut,true,2,1.78770443637481794e-15,9.95399999999999990e-05,2.36899999999999985e-05,9.14236307144165039e-01,3.43475248243407805e-15,3.75696355044501100e-15,1.10727221850643959e-01,1.40933635515982925e-06,1.33780143213302338e-07
/workspace/exp/20260413/iterative/dumps/case118_ieee/cuda_mixed_edge/iter_002,bicgstab_ilut,true,2,1.56964991545956062e-17,8.80200000000000009e-05,2.18099999999999996e-05,2.87849996238946915e-02,6.71121144768527245e-17,2.33149610400350147e-15,3.15776171807491488e-03,3.76173358972858862e-08,1.21890491883852592e-08
/workspace/exp/20260413/iterative/dumps/case118_ieee/cuda_mixed_edge/iter_003,bicgstab_ilut,true,2,4.78893071585400011e-18,8.05199999999999948e-05,2.05500000000000015e-05,3.83594269806053489e-05,1.23455052062314274e-19,3.21837581475691883e-15,3.21388238938224587e-06,5.95790139889840501e-11,4.51574916545684994e-12
/workspace/exp/20260413/iterative/dumps/case2746wop_k/cuda_mixed_edge/iter_000,bicgstab_ilut,true,6,1.87238793832153111e-11,4.32830699999999999e-03,1.94896999999999996e-03,9.28178310394287109e+00,2.30309521453975208e-10,2.48130686609279269e-11,4.50541082613086064e-01,6.45020893507698007e-04,2.35392000322021122e-05
/workspace/exp/20260413/iterative/dumps/case2746wop_k/cuda_mixed_edge/iter_001,bicgstab_ilut,true,5,6.34932839580249674e-09,3.71020800000000000e-03,1.62953899999999994e-03,6.16915047168731689e-01,5.83213139587757112e-09,9.45370261698679509e-09,4.43714780821659743e-02,9.01946215279003649e-05,5.10915564390368448e-06
/workspace/exp/20260413/iterative/dumps/case2746wop_k/cuda_mixed_edge/iter_002,bicgstab_ilut,true,5,1.39264609029695732e-09,3.66373800000000015e-03,1.61898899999999993e-03,1.56582351773977280e-02,1.99760523335486273e-11,1.27575375559459990e-09,6.77318947441201335e-04,1.10813356996898593e-06,4.88798483315585827e-08
/workspace/exp/20260413/iterative/dumps/case2746wop_k/cuda_mixed_edge/iter_003,bicgstab_ilut,true,5,6.63389291331721477e-09,3.65114799999999989e-03,1.63472899999999991e-03,7.16726844984805211e-06,3.34600058727296519e-14,4.66844602052529649e-09,2.81484544126651671e-07,5.77931305795683861e-10,2.87016168361072524e-11
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_000,bicgstab_ilut,true,7,2.16036169977756275e-09,1.45310209999999999e-02,8.13943500000000042e-03,2.24051782226562500e+03,3.79400309924449175e-06,1.69335992846866672e-09,5.39935362507482619e+00,2.54200345012520756e-02,1.24767629626632015e-03
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_001,bicgstab_ilut,true,8,8.76063412249318598e-10,1.33473120000000001e-02,9.21143500000000046e-03,2.04173843383789062e+02,7.96994630292147122e-08,3.90350995545508076e-10,5.29637646582919785e+00,4.44726243454343084e-02,1.23440020532417094e-03
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_002,bicgstab_ilut,true,8,2.75749166223426747e-09,1.33300720000000001e-02,9.20302400000000062e-03,4.72873687744140625e+01,7.67016845523715851e-08,1.62203325201449626e-09,3.86200012948424432e-01,1.67557742941730134e-03,8.28914841369265964e-05
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_003,bicgstab_ilut,true,8,2.21403304622616676e-10,1.32925930000000001e-02,9.21311399999999968e-03,3.78409361839294434e+00,4.84188740533866846e-10,1.27953689671001195e-10,2.67478764659679000e-02,2.11684553070312273e-04,1.51752373291208498e-05
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_004,bicgstab_ilut,true,7,1.98775091508298310e-09,1.32801719999999998e-02,8.07496599999999939e-03,5.37019409239292145e-02,5.46041219374624950e-11,1.01679978410484749e-09,4.19737893460850710e-04,2.47775742854361512e-06,1.37542790987357040e-07
/workspace/exp/20260413/iterative/dumps/case8387_pegase/cuda_mixed_edge/iter_005,bicgstab_ilut,true,7,7.56401392639061368e-09,1.32424029999999998e-02,8.07721500000000044e-03,2.08082656172337011e-05,1.06869229300755842e-13,5.13590278337495025e-09,1.98927671744836878e-07,1.94563505817462893e-09,1.21056821615522917e-10
