source_mat,case,converted_dir,snapshot_dir,profile,status,converged,iterations,final_mismatch,snapshots,total_sec,n_bus,ybus_nnz,n_ref,n_pv,n_pq,returncode,error
/workspace/datasets/pf_dataset/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr.mat,RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,/workspace/exp/20260413/iterative/pf_cupf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,6.248772188023e+04,1,9.179638887000e+00,4492,14346,1,181,4310,0,
/workspace/datasets/pf_dataset/pglib_opf_case10000_goc.mat,case10000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10000_goc,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.904257516796e+09,1,9.205561586000e+00,10000,35484,1,1294,8705,0,
/workspace/datasets/pf_dataset/pglib_opf_case10192_epigrids.mat,case10192_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10192_epigrids,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.752269443945e+05,1,9.294347896000e+00,10189,39589,1,190,9998,0,
/workspace/datasets/pf_dataset/pglib_opf_case10480_goc.mat,case10480_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10480_goc,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,3.029886704861e+09,1,9.319108383000e+00,10480,42694,1,338,10141,0,
/workspace/datasets/pf_dataset/pglib_opf_case118_ieee.mat,case118_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case118_ieee,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,6.224075103791e-11,1,9.002255076000e+00,118,476,1,53,64,0,
/workspace/datasets/pf_dataset/pglib_opf_case1354_pegase.mat,case1354_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1354_pegase,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,4.762783540520e-12,1,8.980757958000e+00,1354,4774,1,259,1094,0,
/workspace/datasets/pf_dataset/pglib_opf_case13659_pegase.mat,case13659_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case13659_pegase,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.177225517264e+11,1,9.236258967000e+00,13659,50909,1,4091,9567,0,
/workspace/datasets/pf_dataset/pglib_opf_case14_ieee.mat,case14_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case14_ieee,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,4.653916141351e-14,1,9.107065321000e+00,14,54,1,4,9,0,
/workspace/datasets/pf_dataset/pglib_opf_case162_ieee_dtc.mat,case162_ieee_dtc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case162_ieee_dtc,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.466049293256e+03,1,9.023892250000e+00,162,722,1,11,150,0,
/workspace/datasets/pf_dataset/pglib_opf_case179_goc.mat,case179_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case179_goc,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.556696971246e+05,1,8.989665666000e+00,179,623,1,28,150,0,
/workspace/datasets/pf_dataset/pglib_opf_case1803_snem.mat,case1803_snem,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1803_snem,/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,9.944363391346e+02,1,9.019962429000e+00,1803,6195,1,227,1575,0,
/workspace/datasets/pf_dataset/pglib_opf_case1888_rte.mat,case1888_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1888_rte,/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.781504011914e+05,1,9.127392869000e+00,1888,6504,1,271,1616,0,
/workspace/datasets/pf_dataset/pglib_opf_case19402_goc.mat,case19402_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case19402_goc,/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,4.389168873441e+08,1,9.444032212000e+00,19402,78904,1,384,19017,0,
/workspace/datasets/pf_dataset/pglib_opf_case1951_rte.mat,case1951_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1951_rte,/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.361651352661e+08,1,9.082694133000e+00,1951,6701,1,348,1602,0,
/workspace/datasets/pf_dataset/pglib_opf_case197_snem.mat,case197_snem,/workspace/exp/20260413/iterative/pf_cupf_dumps/case197_snem,/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,3.936287164903e-11,1,9.152337889000e+00,197,643,1,34,162,0,
/workspace/datasets/pf_dataset/pglib_opf_case2000_goc.mat,case2000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2000_goc,/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.225911853992e+04,1,9.083067370000e+00,2000,7612,1,177,1822,0,
/workspace/datasets/pf_dataset/pglib_opf_case200_activ.mat,case200_activ,/workspace/exp/20260413/iterative/pf_cupf_dumps/case200_activ,/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,1.146507041354e-11,1,9.023459025000e+00,200,690,1,37,162,0,
/workspace/datasets/pf_dataset/pglib_opf_case20758_epigrids.mat,case20758_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case20758_epigrids,/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.075253924032e+03,1,9.246306130000e+00,20758,78550,1,766,19991,0,
/workspace/datasets/pf_dataset/pglib_opf_case2312_goc.mat,case2312_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2312_goc,/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,1.803049656282e-11,1,9.098170589000e+00,2312,7972,1,219,2092,0,
/workspace/datasets/pf_dataset/pglib_opf_case2383wp_k.mat,case2383wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2383wp_k,/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,2.835344349095e-11,1,9.029249178000e+00,2383,8155,1,326,2056,0,
/workspace/datasets/pf_dataset/pglib_opf_case240_pserc.mat,case240_pserc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case240_pserc,/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,5.726659603820e+06,1,8.992987901000e+00,240,936,1,52,187,0,
/workspace/datasets/pf_dataset/pglib_opf_case24464_goc.mat,case24464_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case24464_goc,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,3.131950614855e+13,1,9.391522389000e+00,24464,93850,1,682,23781,0,
/workspace/datasets/pf_dataset/pglib_opf_case24_ieee_rts.mat,case24_ieee_rts,/workspace/exp/20260413/iterative/pf_cupf_dumps/case24_ieee_rts,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,1.684667753152e-10,1,8.981153667000e+00,24,92,1,10,13,0,
/workspace/datasets/pf_dataset/pglib_opf_case2736sp_k.mat,case2736sp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2736sp_k,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,2.571772017568e-09,1,9.122551800000e+00,2736,9262,1,233,2502,0,
/workspace/datasets/pf_dataset/pglib_opf_case2737sop_k.mat,case2737sop_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2737sop_k,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,1.233647714864e-11,1,9.139626754000e+00,2737,9263,1,192,2544,0,
/workspace/datasets/pf_dataset/pglib_opf_case2742_goc.mat,case2742_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2742_goc,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,5.650369283220e+03,1,9.031077904000e+00,2742,10752,1,50,2691,0,
/workspace/datasets/pf_dataset/pglib_opf_case2746wop_k.mat,case2746wop_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2746wop_k,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,1.036131999784e-09,1,9.024774746000e+00,2746,9344,1,349,2396,0,
/workspace/datasets/pf_dataset/pglib_opf_case2746wp_k.mat,case2746wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2746wp_k,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,5,5.858362239386e-09,1,9.015953665000e+00,2746,9292,1,363,2382,0,
/workspace/datasets/pf_dataset/pglib_opf_case2848_rte.mat,case2848_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2848_rte,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,2.374327585249e+06,1,9.079562317000e+00,2848,9732,1,369,2478,0,
/workspace/datasets/pf_dataset/pglib_opf_case2853_sdet.mat,case2853_sdet,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2853_sdet,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.616364543680e+08,1,9.183232714000e+00,2853,10123,1,798,2054,0,
/workspace/datasets/pf_dataset/pglib_opf_case2868_rte.mat,case2868_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2868_rte,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.264244973030e+07,1,9.128822614000e+00,2868,9810,1,412,2455,0,
/workspace/datasets/pf_dataset/pglib_opf_case2869_pegase.mat,case2869_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case2869_pegase,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,6,8.506317872303e-11,1,9.035217429000e+00,2869,10805,1,509,2359,0,
/workspace/datasets/pf_dataset/pglib_opf_case30000_goc.mat,case30000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case30000_goc,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,1.328386150549e+01,1,9.415399751000e+00,30000,100466,1,2277,27722,0,
/workspace/datasets/pf_dataset/pglib_opf_case300_ieee.mat,case300_ieee,/workspace/exp/20260413/iterative/pf_cupf_dumps/case300_ieee,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,10,5.408878852085e+04,1,8.961692642000e+00,300,1118,1,68,231,0,
/workspace/datasets/pf_dataset/pglib_opf_case3012wp_k.mat,case3012wp_k,/workspace/exp/20260413/iterative/pf_cupf_dumps/case3012wp_k,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,true,7,8.687808083898e-12,1,9.168649033000e+00,3012,10144,1,297,2714,0,
