snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.73991017992186482e-05,7.73605400000000002e-03,2.32319164999999994e-01,5.81192138671875000e+03,1.59241426082871840e-01,2.73991018610069574e-05,2.58290296061205682e+00,1.37210818938910961e-02,5.37614705451444075e-02
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.15734483759560800e-07,1.65699680000000009e-02,6.07570258999999946e-01,1.90338001251220703e+01,1.69473798203867432e-05,8.90383407883876479e-07,1.15321335173475692e+01,3.30778341585746816e-03,1.29974446378966491e-03
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.80255261871406203e-01,1.67506879999999997e-02,6.67258216999999987e-01,3.23927421569824219e+01,9.07823643593964036e+00,2.80255261871455386e-01,2.82440080063752896e+00,2.97042815484527267e-03,1.15292582501308694e-01
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.00963382565669568e-01,1.68955879999999996e-02,7.04180669999999953e-01,1.32489995956420898e+01,3.98746373452522951e+00,3.00963382611680430e-01,5.80002960867228268e+00,1.40058481441709404e-02,3.37509924346639734e+00
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,51,1.28525139629331549e-09,1.47670000000000001e-04,2.08700000000000004e-04,3.52999997138977051e+00,4.53693238533503518e-09,1.28524997793380519e-09,9.38299983807201254e-01,1.24530296248259731e-05,2.30213936458500967e-06
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,4.18879617429186555e-07,1.90822900000000000e-03,5.93306269999999969e-02,2.66666507720947266e+01,1.11701141740638832e-05,4.18879531199052209e-07,7.84404264760343084e-01,1.86877775377070066e-04,7.81746932931870475e-06
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,9.96991860717777789e-01,1.94699360000000002e-02,7.85566081999999999e-01,2.83570003509521484e+01,2.82716985442695616e+01,9.96991860717746148e-01,4.50335188954008014e+00,1.42249667598455343e+00,3.63817162379524518e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,1,2.48975181482569837e-15,1.81799999999999987e-05,1.90000000000000002e-06,9.41999971866607666e-01,2.52575738102223113e-15,2.68127118519690606e-15,3.06055784736272263e-01,3.22164737553976011e-07,3.56516487443059304e-08
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,76,9.76818869945559806e-10,2.52879999999999978e-04,5.84049000000000005e-04,8.65600013732910156e+00,8.45545322647467401e-09,9.76831457061840109e-10,1.21076615056718073e+00,1.70188371680035644e-04,1.68584970176022253e-05
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,106,8.23845466439686272e-09,2.61088999999999993e-04,7.89520000000000044e-04,1.03003051757812500e+02,8.48585326451711808e-07,8.23844839516950482e-09,2.26694614513174635e+01,2.88213349650701112e-03,1.77043709360447110e-04
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,1.46522571936687982e-04,2.62631799999999988e-03,8.30445209999999961e-02,1.93621124267578125e+02,2.83698651079532238e-02,1.46522571931495386e-04,2.38113793417159902e+00,1.11922047837254013e-03,1.96869665832311358e-01
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.89558670977255250e+00,2.72227799999999985e-03,8.50305690000000003e-02,5.83509643554687500e+02,2.27311241245577821e+03,3.89558670977258359e+00,1.66763772819889198e+01,3.63194272018212416e-02,1.98226570984574941e+01
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.49274419863793160e-04,3.20846570000000025e-02,1.31499831699999992e+00,3.29889984130859375e+01,8.22331457039204849e-03,2.49274454089823427e-04,1.06482949823224207e+01,1.80238522926943368e-01,3.48403939907271365e-03
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,228,1.20754142464485481e+00,2.78393800000000012e-03,1.98565659999999991e-02,5.83509643554687500e+02,7.04612066272026368e+02,1.20754142464483349e+00,6.09956623381699270e+00,2.79502394394192666e-01,5.38300648965646573e+01
/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,85,6.72619113230567102e-09,2.84870000000000002e-04,6.83449000000000036e-04,4.87400293350219727e+00,3.27834750457611790e-08,6.72619107806008875e-09,2.00250293932950241e-01,1.98573825688219685e-06,9.53976673545575693e-07
/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,551,1.04445838334952805e-09,2.98258700000000009e-03,5.39284120000000020e-02,2.21187171936035156e+01,2.31086860098816960e-08,1.04475706288086488e-09,2.12905092283496788e+00,5.57446704741337840e-04,5.57527330216078809e-05
/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,80,4.92823741412705117e-09,2.86960000000000004e-04,6.56220000000000002e-04,2.90159988403320312e+00,1.42997624852370109e-08,4.92823375267042068e-09,3.69103302999285343e-01,1.06773208047306056e-05,1.43228168453246596e-06
