snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,334,8.60872310003987480e-04,7.71324200000000036e-03,7.98509109999999966e-02,5.81192138671875000e+03,5.00332218980474863e+00,8.60872310014070235e-04,2.53182330912786835e+00,1.37210818938910961e-02,7.48211914515277826e-02
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,615,9.51406162682174174e-04,1.61729349999999994e-02,3.80124632999999990e-01,1.90338001251220703e+01,1.81099687566068403e-02,9.51463640342850082e-04,1.15108222520104970e+01,3.30778341585746816e-03,4.74682647113517930e-02
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,2.80255261871406203e-01,1.68071649999999989e-02,6.79664293999999947e-01,3.23927421569824219e+01,9.07823643593964036e+00,2.80255261871455386e-01,2.82440080063752896e+00,2.97042815484527267e-03,1.15292582501308694e-01
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.00963382565669568e-01,1.71777739999999998e-02,7.14329473000000048e-01,1.32489995956420898e+01,3.98746373452522951e+00,3.00963382611680430e-01,5.80002960867228268e+00,1.40058481441709404e-02,3.37509924346639734e+00
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,32,6.10625414557569536e-04,1.48640000000000013e-04,1.39349999999999999e-04,3.52999997138977051e+00,2.15550769595831970e-03,6.10625414568966886e-04,9.37371922372254418e-01,1.24530296248259731e-05,1.25140282256530622e-03
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,526,8.27801752994509815e-04,1.92091000000000007e-03,3.27872690000000008e-02,2.66666507720947266e+01,2.20747002551462401e-02,8.27801752976278305e-04,7.84631140206996869e-01,1.86877775377070066e-04,1.30987763703802051e-03
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,9.96991860717777789e-01,1.92459549999999986e-02,7.95797253000000038e-01,2.83570003509521484e+01,2.82716985442695616e+01,9.96991860717746148e-01,4.50335188954008014e+00,1.42249667598455343e+00,3.63817162379524518e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,1,2.48975181482569837e-15,1.54699999999999993e-05,1.65999999999999999e-06,9.41999971866607666e-01,2.52575738102223113e-15,2.68127118519690606e-15,3.06055784736272263e-01,3.22164737553976011e-07,3.56516487443059304e-08
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,44,4.26239246949321800e-04,2.57420000000000012e-04,3.63189999999999997e-04,8.65600013732910156e+00,3.68952698008939706e-03,4.26239246944817970e-04,1.21000731438556119e+00,1.70188371680035644e-04,1.40848012566419101e-03
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,70,3.81751991056511323e-04,2.65659999999999974e-04,5.43569999999999947e-04,1.03003051757812500e+02,3.93216200959665141e-02,3.81751991081022261e-04,2.26661693912343516e+01,2.88213349650701112e-03,1.44476810564633240e-02
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,645,9.49472023535432859e-04,2.65426100000000021e-03,5.49210340000000005e-02,1.93621124267578125e+02,1.83837840657539636e-01,9.49472023535415945e-04,2.57715659695054100e+00,1.11922047837254013e-03,2.55154391246843026e-01
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,1000,3.89558670977255250e+00,2.74792000000000005e-03,8.99760150000000064e-02,5.83509643554687500e+02,2.27311241245577821e+03,3.89558670977258359e+00,1.66763772819889198e+01,3.63194272018212416e-02,1.98226570984574941e+01
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,801,9.04513844789825569e-04,3.24372789999999994e-02,1.05280771999999989e+00,3.29889984130859375e+01,2.98390068003182712e-02,9.04513875404045604e-04,1.06484774845117762e+01,1.80238522926943368e-01,3.27856224935807461e-03
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,false,228,1.20754142464485481e+00,2.81448999999999979e-03,2.06854160000000016e-02,5.83509643554687500e+02,7.04612066272026368e+02,1.20754142464483349e+00,6.09956623381699270e+00,2.79502394394192666e-01,5.38300648965646573e+01
/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,47,6.70882634949461856e-04,2.86310000000000015e-04,3.95329999999999998e-04,4.87400293350219727e+00,3.26988393076921291e-03,6.70882634947379754e-04,2.00491356104017610e-01,1.98573825688219685e-06,9.93266237529266682e-04
/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,256,8.92445754904060769e-04,3.01605100000000006e-03,2.59979070000000007e-02,2.21187171936035156e+01,1.97397552586158764e-02,8.92445754689805940e-04,2.12659925065913047e+00,5.57446704741337840e-04,2.87302539996578954e-02
/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,bicgstab_block_jacobi,true,40,9.57171551897528046e-04,2.88400000000000017e-04,3.47460000000000011e-04,2.90159988403320312e+00,2.77732886398623707e-03,9.57171551897696422e-04,3.70434773642610682e-01,1.06773208047306056e-05,1.44776146354361201e-03
