case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,334,8.60872310014070235e-04,5.00332218980474863e+00,7.71324200000000036e-03,7.98509109999999966e-02,8.75641529999999918e-02,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,615,9.51463640342850082e-04,1.81099687566068403e-02,1.61729349999999994e-02,3.80124632999999990e-01,3.96297567999999989e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,false,false,1000,2.80255261871455386e-01,9.07823643593964036e+00,1.68071649999999989e-02,6.79664293999999947e-01,6.96471458999999959e-01,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,false,false,1000,3.00963382611680430e-01,3.98746373452522951e+00,1.71777739999999998e-02,7.14329473000000048e-01,7.31507247000000027e-01,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,32,6.10625414568966886e-04,2.15550769595831970e-03,1.48640000000000013e-04,1.39349999999999999e-04,2.87990000000000012e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,526,8.27801752976278305e-04,2.20747002551462401e-02,1.92091000000000007e-03,3.27872690000000008e-02,3.47081789999999987e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,9.96991860717746148e-01,2.82716985442695616e+01,1.92459549999999986e-02,7.95797253000000038e-01,8.15043208000000075e-01,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,1,2.68127118519690606e-15,2.52575738102223113e-15,1.54699999999999993e-05,1.65999999999999999e-06,1.71300000000000003e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,44,4.26239246944817970e-04,3.68952698008939706e-03,2.57420000000000012e-04,3.63189999999999997e-04,6.20609999999999955e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,70,3.81751991081022261e-04,3.93216200959665141e-02,2.65659999999999974e-04,5.43569999999999947e-04,8.09229999999999975e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
case1803_snem,true,true,645,9.49472023535415945e-04,1.83837840657539636e-01,2.65426100000000021e-03,5.49210340000000005e-02,5.75752949999999986e-02,false,10,9.944363391346e+02,1803,227,1575,/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000
case1888_rte,false,false,1000,3.89558670977258359e+00,2.27311241245577821e+03,2.74792000000000005e-03,8.99760150000000064e-02,9.27239350000000073e-02,false,10,2.781504011914e+05,1888,271,1616,/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000
case19402_goc,true,true,801,9.04513875404045604e-04,2.98390068003182712e-02,3.24372789999999994e-02,1.05280771999999989e+00,1.08524499899999993e+00,false,10,4.389168873441e+08,19402,384,19017,/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000
case1951_rte,false,false,228,1.20754142464483349e+00,7.04612066272026368e+02,2.81448999999999979e-03,2.06854160000000016e-02,2.34999060000000010e-02,false,10,2.361651352661e+08,1951,348,1602,/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000
case197_snem,true,true,47,6.70882634947379754e-04,3.26988393076921291e-03,2.86310000000000015e-04,3.95329999999999998e-04,6.81640000000000067e-04,true,5,3.936287164903e-11,197,34,162,/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000
case2000_goc,true,true,256,8.92445754689805940e-04,1.97397552586158764e-02,3.01605100000000006e-03,2.59979070000000007e-02,2.90139579999999994e-02,false,10,1.225911853992e+04,2000,177,1822,/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000
case200_activ,true,true,40,9.57171551897696422e-04,2.77732886398623707e-03,2.88400000000000017e-04,3.47460000000000011e-04,6.35860000000000028e-04,true,5,1.146507041354e-11,200,37,162,/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000
case20758_epigrids,false,false,1000,3.57790081065964549e-01,1.91598728512627261e+01,3.30014989999999966e-02,1.39092021699999990e+00,1.42392171599999995e+00,false,10,1.075253924032e+03,20758,766,19991,/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000
case2312_goc,true,true,740,9.44888704367197554e-04,1.82301678147898313e-02,3.49072000000000011e-03,8.22983820000000033e-02,8.57891020000000060e-02,true,6,1.803049656282e-11,2312,219,2092,/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000
case2383wp_k,false,false,1000,2.16842056092811236e-01,1.20134840978922486e+00,3.49536100000000021e-03,1.09556019000000004e-01,1.13051380000000007e-01,true,6,2.835344349095e-11,2383,326,2056,/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000
case240_pserc,true,true,238,3.60345169566946781e-04,3.24454216641889559e-02,3.38850000000000024e-04,2.50796099999999996e-03,2.84681099999999987e-03,false,10,5.726659603820e+06,240,52,187,/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000
case24464_goc,false,false,1000,9.21267166411782634e-01,2.95050232957691314e+01,4.07604209999999981e-02,1.69529572200000000e+00,1.73605614300000011e+00,false,10,3.131950614855e+13,24464,682,23781,/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,3,8.93715518224042947e-05,4.06014979702856715e-04,3.67099999999999992e-05,6.25000000000000030e-06,4.29600000000000020e-05,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case2736sp_k,false,false,1000,5.58061521475072039e-03,5.00604936183714211e-02,4.13133100000000024e-03,1.26099612000000000e-01,1.30230942999999988e-01,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,true,true,752,8.47020393576688145e-04,5.20854098883205552e-03,4.15735100000000010e-03,9.65618449999999934e-02,1.00719195999999997e-01,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,175,7.74846147356890187e-04,7.44820681798601947e-02,4.36667099999999992e-03,2.66429860000000004e-02,3.10096569999999995e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,894,5.76942374604510816e-04,5.35505398455282666e-03,4.03912099999999968e-03,1.10455057999999995e-01,1.14494179000000001e-01,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,883,9.55379856335982717e-04,8.88998205667784758e-03,4.03215100000000031e-03,1.08430167999999993e-01,1.12462318999999991e-01,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,2.38247602513663814e+01,1.15639110157517371e+04,4.18488099999999967e-03,1.37436715999999987e-01,1.41621596999999988e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,false,false,1000,5.83435989124582055e-01,1.66351022393781811e+01,3.85689099999999988e-03,1.20597751000000003e-01,1.24454642000000004e-01,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,78,7.46181431495539726e-01,3.62176810359541832e+02,4.19026099999999981e-03,1.09521930000000007e-02,1.51424539999999996e-02,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,991,7.11971754056679772e-04,1.89859021250251975e-02,4.28384999999999964e-03,1.32647944999999989e-01,1.36931794999999995e-01,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case30000_goc,true,true,553,7.35678544192275470e-04,4.94324658419864615e-02,4.96214219999999984e-02,1.22486735499999999e+00,1.27448877699999996e+00,false,10,1.328386150549e+01,30000,2277,27722,/workspace/exp/20260413/iterative/pf_dumps/case30000_goc/cuda_mixed_edge/iter_000
case300_ieee,true,true,102,2.92572973629389842e-04,5.11974522899039108e-03,4.78010000000000013e-04,1.24490100000000008e-03,1.72291100000000015e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case3012wp_k,false,false,1000,2.44407932058254007e-02,6.64972099844672204e-01,4.53270200000000043e-03,1.44594695999999995e-01,1.49127397999999994e-01,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,false,false,1000,1.02556452093197165e-01,2.36798369958270616e+00,4.49586100000000030e-03,1.57012829999999992e-01,1.61508690999999982e-01,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case30_as,true,true,6,8.42869795449761286e-04,9.39166919612779982e-04,6.39400000000000011e-05,1.03299999999999994e-05,7.42700000000000055e-05,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,6,9.92793105531963654e-04,9.35211077480471720e-04,4.26899999999999995e-05,1.06000000000000002e-05,5.32899999999999997e-05,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case3120sp_k,false,false,1000,5.28889458111439677e-03,1.45834412428558935e-01,4.71641199999999969e-03,1.51369059000000000e-01,1.56085471000000003e-01,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,false,false,1000,7.56758079271122736e-02,2.05894712503601340e+00,5.02297100000000021e-03,1.64874311999999995e-01,1.69897282999999982e-01,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
