case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,false,false,1000,2.73991018610069574e-05,1.59241426082871840e-01,7.73605400000000002e-03,2.32319164999999994e-01,2.40055218999999986e-01,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,false,false,1000,8.90383407883876479e-07,1.69473798203867432e-05,1.65699680000000009e-02,6.07570258999999946e-01,6.24140226999999936e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,false,false,1000,2.80255261871455386e-01,9.07823643593964036e+00,1.67506879999999997e-02,6.67258216999999987e-01,6.84008905000000000e-01,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,false,false,1000,3.00963382611680430e-01,3.98746373452522951e+00,1.68955879999999996e-02,7.04180669999999953e-01,7.21076257999999970e-01,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,51,1.28524997793380519e-09,4.53693238533503518e-09,1.47670000000000001e-04,2.08700000000000004e-04,3.56370000000000005e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,false,false,1000,4.18879531199052209e-07,1.11701141740638832e-05,1.90822900000000000e-03,5.93306269999999969e-02,6.12388559999999943e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,9.96991860717746148e-01,2.82716985442695616e+01,1.94699360000000002e-02,7.85566081999999999e-01,8.05036018000000020e-01,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,1,2.68127118519690606e-15,2.52575738102223113e-15,1.81799999999999987e-05,1.90000000000000002e-06,2.00799999999999975e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,76,9.76831457061840109e-10,8.45545322647467401e-09,2.52879999999999978e-04,5.84049000000000005e-04,8.36928999999999928e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,106,8.23844839516950482e-09,8.48585326451711808e-07,2.61088999999999993e-04,7.89520000000000044e-04,1.05060900000000009e-03,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
