snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,16,9.51553499657585003e-04,1.33660700000000007e-02,2.35240879999999986e-02,5.81192138671875000e+03,4.56644172161395545e+00,7.85702596055250831e-04,2.55239610542841033e+00,1.37210818938910961e-02,1.80318206656954888e-01
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,70,7.07486950790614652e-04,2.83090819999999993e-02,2.29140912000000002e-01,1.90338001251220703e+01,6.10356900238268052e-03,3.20670016615693363e-04,1.15269345677041120e+01,3.30778341585746816e-03,1.27761294112520574e-02
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,8.67214382217665275e+02,3.90915599999999974e-02,3.75995026899999996e+00,3.23927421569824219e+01,2.69113689516108425e+04,8.30783908975423287e+02,1.22550712801114651e+03,2.97042815484527267e-03,1.22779951168195339e+03
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,928,8.50185313362020949e-04,4.03798799999999999e-02,3.57202436700000003e+00,1.32489995956420898e+01,5.00569403895159415e-02,3.77816755356992062e-03,7.58274603889522503e+00,1.40058481441709404e-02,1.06161072914545684e-03
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,5,2.13352581072231848e-04,4.48980999999999989e-04,1.05240000000000002e-04,3.52999997138977051e+00,1.20751361840773508e-03,3.42071849346880803e-04,9.37998391228514250e-01,1.24530296248259731e-05,3.04067949769226686e-04
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,25,8.54532401741928214e-04,3.14635199999999983e-03,8.27567599999999917e-03,2.66666507720947266e+01,4.24929055013478774e-02,1.59348490609156315e-03,7.83733240242844298e-01,1.86877775377070066e-04,1.87789059285498050e-03
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,2.35856195251848888e+01,3.75779779999999980e-02,3.88669850000000006e+00,2.83570003509521484e+01,2.56397606518943940e+03,9.04177463574121703e+01,1.53823197135915024e+02,1.42249667598455343e+00,3.66369962342520125e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,3,8.68362851265620079e-04,2.14340000000000011e-04,1.69800000000000001e-05,9.41999971866607666e-01,6.09544705590936431e-04,6.47075078339016474e-04,3.05947652137271542e-01,3.22164737553976011e-07,1.44210195546001785e-04
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,6,2.17567624307587939e-04,6.17420000000000035e-04,2.64709999999999978e-04,8.65600013732910156e+00,2.43132014687530429e-03,2.80882637280723674e-04,1.21064678459489783e+00,1.70188371680035644e-04,3.24083526324958626e-04
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,4,7.33246476159280658e-05,3.73620000000000018e-04,1.44429999999999998e-04,1.03003051757812500e+02,8.60100723813062018e-03,8.35024505715992784e-05,2.26712348112502333e+01,2.88213349650701112e-03,1.77332676432939707e-03
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,9.43878156312074723e-01,3.93483300000000043e-03,4.22728205000000024e-01,1.93621124267578125e+02,1.80222515146105479e+02,9.30799858888556986e-01,3.69048599492061008e-02,1.11922047837254013e-03,2.31062884242601729e+00
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,1.50150524570423338e-02,4.79215399999999986e-03,4.99147960999999973e-01,5.83509643554687500e+02,7.15780864948350981e+00,1.22668215145148116e-02,1.83566196977534162e+01,3.63194272018212416e-02,9.29679263956934321e+00
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,58,3.00337476335872026e-04,8.06873399999999963e-02,4.13026696999999998e-01,3.29889984130859375e+01,1.73820485653373713e-02,5.26904404543616944e-04,1.06480586757901232e+01,1.80238522926943368e-01,5.13589636720901410e-03
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,8.83153015427979721e-02,4.65852300000000035e-03,4.94831338000000009e-01,5.83509643554687500e+02,8.76781408002461831e+01,1.50259968740394684e-01,6.55045266193429683e+01,2.79502394394192666e-01,1.68587470112913280e+01
/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,10,7.02013300632224277e-05,4.73159999999999976e-04,3.27580000000000004e-04,4.87400293350219727e+00,3.59368130793874530e-04,7.37316197172765893e-05,2.00213218309260060e-01,1.98573825688219685e-06,7.08781526611301782e-05
/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,32,7.65477367818758608e-04,5.96664499999999959e-03,1.95273839999999983e-02,2.21187171936035156e+01,9.55769865338096380e-03,4.32109085247716945e-04,2.12411767436153509e+00,5.57446704741337840e-04,5.07777568650968902e-03
/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,6,6.20065057441890159e-04,5.25810000000000036e-04,2.40850999999999988e-04,2.90159988403320312e+00,1.33512344667074956e-03,4.60133547019218056e-04,3.68936803333716534e-01,1.06773208047306056e-05,4.23412119656060848e-04
/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,1000,1.09267637334651208e+04,7.31204540000000014e-02,7.70804546300000037e+00,5.35505981445312500e+01,7.18743583260107320e+05,1.34217657349081837e+04,1.19017942687777067e+04,1.34234150665742291e-01,1.18985860137251402e+04
/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,33,7.60928103272255673e-04,5.76881399999999971e-03,2.18324560000000001e-02,1.92934551239013672e+01,9.49719145129535036e-03,4.92249386660138311e-04,9.74946789933218372e-01,6.58386042244440972e-04,1.16680037855132479e-03
/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,false,34,9.88413844097787379e-04,5.24031400000000026e-03,2.31070360000000009e-02,5.54020023345947266e+00,1.32122496209454710e-02,2.38479640882859100e-03,1.02550162844619464e+00,2.06651538192303974e-03,1.09060253772541582e-03
/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,bicgstab_hypre_boomeramg,true,80,5.06370733159792552e-04,5.25680000000000049e-04,3.48742299999999991e-03,9.00398406982421875e+01,8.01377305114101546e-02,8.90025236494833717e-04,7.56547084010795690e+00,2.06505880232729644e-03,2.12893701918215328e-03
