case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
case3_lmbd,true,true,1,0.00000000000000000e+00,0.00000000000000000e+00,2.45599999999999986e-05,4.72999999999999961e-06,2.92899999999999991e-05,false,10,9.718034879158e+00,3,2,0,/workspace/exp/20260413/iterative/pf_dumps/case3_lmbd/cuda_mixed_edge/iter_000
case5_pjm,true,true,1,5.70381509520008924e-06,1.71114452856002686e-05,2.85899999999999990e-05,5.42999999999999968e-06,3.40199999999999962e-05,true,4,3.695588279840e-11,5,3,1,/workspace/exp/20260413/iterative/pf_dumps/case5_pjm/cuda_mixed_edge/iter_000
case14_ieee,true,true,3,6.47075078339016474e-04,6.09544705590936431e-04,2.14340000000000011e-04,1.69800000000000001e-05,2.31320000000000001e-04,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case24_ieee_rts,true,true,3,8.48681944206758761e-05,3.85556226030425719e-04,2.24340000000000010e-04,2.46800000000000009e-05,2.49020000000000025e-04,true,5,1.684667753152e-10,24,10,13,/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000
case30_as,true,true,5,3.45633045983619760e-05,3.85121313950520516e-05,1.22020000000000001e-04,4.56809999999999985e-05,1.67700999999999999e-04,true,5,1.017796957825e-12,30,2,27,/workspace/exp/20260413/iterative/pf_dumps/case30_as/cuda_mixed_edge/iter_000
case30_ieee,true,true,4,3.57911946968827012e-04,3.37153043975357836e-04,1.06310000000000004e-04,3.62799999999999982e-05,1.42590000000000002e-04,true,5,2.601446840299e-13,30,5,24,/workspace/exp/20260413/iterative/pf_dumps/case30_ieee/cuda_mixed_edge/iter_000
case39_epri,true,true,3,4.01041185700650642e-04,3.33139488416867025e-03,1.24339999999999992e-04,3.60199999999999973e-05,1.60359999999999989e-04,false,10,1.352689202441e+03,39,9,29,/workspace/exp/20260413/iterative/pf_dumps/case39_epri/cuda_mixed_edge/iter_000
case57_ieee,true,true,8,2.87364557831801661e-04,1.23423079781176392e-03,2.93169999999999987e-04,1.23570000000000011e-04,4.16739999999999971e-04,true,5,4.405632109128e-12,57,6,50,/workspace/exp/20260413/iterative/pf_dumps/case57_ieee/cuda_mixed_edge/iter_000
case60_c,true,true,6,6.18704607641022220e-05,1.39517884302708950e-03,1.43959999999999997e-04,8.00809999999999944e-05,2.24040999999999992e-04,true,6,8.186456814788e-13,60,22,37,/workspace/exp/20260413/iterative/pf_dumps/case60_c/cuda_mixed_edge/iter_000
case73_ieee_rts,true,true,3,5.54838837455484397e-04,2.52063296131971315e-03,3.04130000000000004e-04,4.98499999999999988e-05,3.53979999999999996e-04,true,6,1.077471445399e-13,73,32,40,/workspace/exp/20260413/iterative/pf_dumps/case73_ieee_rts/cuda_mixed_edge/iter_000
case89_pegase,true,true,4,8.63876191398504543e-04,1.16393915940529169e-02,3.92690000000000010e-04,1.08850000000000003e-04,5.01539999999999972e-04,true,5,6.929104401365e-09,89,11,77,/workspace/exp/20260413/iterative/pf_dumps/case89_pegase/cuda_mixed_edge/iter_000
case118_ieee,true,true,5,3.42071849346880803e-04,1.20751361840773508e-03,4.48980999999999989e-04,1.05240000000000002e-04,5.54221000000000032e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,6,2.80882637280723674e-04,2.43132014687530429e-03,6.17420000000000035e-04,2.64709999999999978e-04,8.82130000000000067e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,4,8.35024505715992784e-05,8.60100723813062018e-03,3.73620000000000018e-04,1.44429999999999998e-04,5.18050000000000043e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
case197_snem,true,true,10,7.37316197172765893e-05,3.59368130793874530e-04,4.73159999999999976e-04,3.27580000000000004e-04,8.00739999999999980e-04,true,5,3.936287164903e-11,197,34,162,/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000
case200_activ,true,true,6,4.60133547019218056e-04,1.33512344667074956e-03,5.25810000000000036e-04,2.40850999999999988e-04,7.66661000000000079e-04,true,5,1.146507041354e-11,200,37,162,/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000
case240_pserc,true,true,80,8.90025236494833717e-04,8.01377305114101546e-02,5.25680000000000049e-04,3.48742299999999991e-03,4.01310299999999964e-03,false,10,5.726659603820e+06,240,52,187,/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000
case300_ieee,true,true,16,9.86481536282567578e-05,1.72624766950191244e-03,8.59559999999999990e-04,8.64570999999999959e-04,1.72413099999999984e-03,false,10,5.408878852085e+04,300,68,231,/workspace/exp/20260413/iterative/pf_dumps/case300_ieee/cuda_mixed_edge/iter_000
case500_goc,true,true,10,3.55394793004934647e-04,8.78852329780599462e-03,1.23768100000000002e-03,1.01695100000000010e-03,2.25463200000000034e-03,false,10,2.554613215887e+01,500,112,387,/workspace/exp/20260413/iterative/pf_dumps/case500_goc/cuda_mixed_edge/iter_000
case588_sdet,true,true,27,6.19536904908636805e-04,9.38298537812731759e-03,1.13461100000000000e-03,2.61571200000000007e-03,3.75032299999999985e-03,true,6,5.156487433125e-12,588,80,507,/workspace/exp/20260413/iterative/pf_dumps/case588_sdet/cuda_mixed_edge/iter_000
case793_goc,false,false,24,1.23646911270638917e-03,8.15916308045672167e-03,2.07335200000000009e-03,3.95406299999999985e-03,6.02741499999999951e-03,true,6,2.639533557003e-12,793,88,704,/workspace/exp/20260413/iterative/pf_dumps/case793_goc/cuda_mixed_edge/iter_000
case1354_pegase,false,false,25,1.59348490609156315e-03,4.24929055013478774e-02,3.14635199999999983e-03,8.27567599999999917e-03,1.14220279999999990e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case1803_snem,false,false,1000,9.30799858888556986e-01,1.80222515146105479e+02,3.93483300000000043e-03,4.22728205000000024e-01,4.26663038000000050e-01,false,10,9.944363391346e+02,1803,227,1575,/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000
case1888_rte,false,false,1000,1.22668215145148116e-02,7.15780864948350981e+00,4.79215399999999986e-03,4.99147960999999973e-01,5.03940115000000022e-01,false,10,2.781504011914e+05,1888,271,1616,/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000
case1951_rte,false,false,1000,1.50259968740394684e-01,8.76781408002461831e+01,4.65852300000000035e-03,4.94831338000000009e-01,4.99489861000000035e-01,false,10,2.361651352661e+08,1951,348,1602,/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000
case2000_goc,true,true,32,4.32109085247716945e-04,9.55769865338096380e-03,5.96664499999999959e-03,1.95273839999999983e-02,2.54940289999999979e-02,false,10,1.225911853992e+04,2000,177,1822,/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000
case2312_goc,true,true,33,4.92249386660138311e-04,9.49719145129535036e-03,5.76881399999999971e-03,2.18324560000000001e-02,2.76012700000000007e-02,true,6,1.803049656282e-11,2312,219,2092,/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000
case2383wp_k,false,false,34,2.38479640882859100e-03,1.32122496209454710e-02,5.24031400000000026e-03,2.31070360000000009e-02,2.83473500000000003e-02,true,6,2.835344349095e-11,2383,326,2056,/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000
case2736sp_k,true,true,58,3.97136490035547920e-04,3.56248333920206051e-03,6.71505500000000016e-03,4.68698249999999969e-02,5.35848799999999945e-02,true,5,2.571772017568e-09,2736,233,2502,/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000
case2737sop_k,false,false,39,1.80917935586242759e-03,1.11250979346166901e-02,6.24422399999999961e-03,3.17549530000000024e-02,3.79991770000000020e-02,true,5,1.233647714864e-11,2737,192,2544,/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000
case2742_goc,true,true,14,4.01465510734369177e-04,3.85908630305249190e-02,9.94947699999999997e-03,1.31611999999999996e-02,2.31106769999999996e-02,false,10,5.650369283220e+03,2742,50,2691,/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000
case2746wop_k,true,true,40,5.33244904068069315e-04,4.94946354084264267e-03,5.81037400000000009e-03,3.18910239999999970e-02,3.77013979999999971e-02,true,5,1.036131999784e-09,2746,349,2396,/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000
case2746wp_k,true,true,49,8.04881432271505612e-04,7.48956704832437481e-03,5.87829400000000005e-03,3.88253989999999966e-02,4.47036929999999957e-02,true,5,5.858362239386e-09,2746,363,2382,/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000
case2848_rte,false,false,1000,8.73358320849064729e-02,4.23905122259760105e+01,7.04291599999999976e-03,8.25939694000000002e-01,8.32982609999999957e-01,false,10,2.374327585249e+06,2848,369,2478,/workspace/exp/20260413/iterative/pf_dumps/case2848_rte/cuda_mixed_edge/iter_000
case2853_sdet,false,false,1000,1.22793983630622577e-02,3.50113895980413758e-01,5.54538400000000042e-03,7.18109354999999949e-01,7.23654738999999991e-01,false,10,1.616364543680e+08,2853,798,2054,/workspace/exp/20260413/iterative/pf_dumps/case2853_sdet/cuda_mixed_edge/iter_000
case2868_rte,false,false,1000,5.78064533657781446e-02,2.80577296814444708e+01,7.14148599999999984e-03,8.26579974000000051e-01,8.33721460000000025e-01,false,10,1.264244973030e+07,2868,412,2455,/workspace/exp/20260413/iterative/pf_dumps/case2868_rte/cuda_mixed_edge/iter_000
case2869_pegase,true,true,51,8.10592313167794059e-04,2.16157821337900069e-02,7.17984499999999980e-03,4.41799230000000029e-02,5.13597680000000001e-02,true,6,8.506317872303e-11,2869,509,2359,/workspace/exp/20260413/iterative/pf_dumps/case2869_pegase/cuda_mixed_edge/iter_000
case3012wp_k,false,false,207,1.03349977061177839e-03,2.81189119708642465e-02,6.47682500000000029e-03,1.83955563999999988e-01,1.90432388999999980e-01,true,7,8.687808083898e-12,3012,297,2714,/workspace/exp/20260413/iterative/pf_dumps/case3012wp_k/cuda_mixed_edge/iter_000
case3022_goc,false,false,168,1.36025981851190837e-03,3.14078052788566708e-02,7.10574500000000012e-03,1.49556318999999993e-01,1.56662063999999990e-01,false,10,3.528715899914e+09,3022,318,2703,/workspace/exp/20260413/iterative/pf_dumps/case3022_goc/cuda_mixed_edge/iter_000
case3120sp_k,false,false,135,1.02976536962497947e-03,2.83944452503899214e-02,6.65199499999999996e-03,1.23339159000000004e-01,1.29991153999999998e-01,true,6,5.802414659282e-12,3120,247,2872,/workspace/exp/20260413/iterative/pf_dumps/case3120sp_k/cuda_mixed_edge/iter_000
case3375wp_k,false,false,341,1.44599824116139444e-03,3.93419509219370411e-02,7.19759599999999968e-03,3.38875407000000017e-01,3.46073002999999990e-01,true,6,6.197135079120e-11,3374,391,2982,/workspace/exp/20260413/iterative/pf_dumps/case3375wp_k/cuda_mixed_edge/iter_000
case3970_goc,true,true,28,1.28260190398486794e-04,2.02740885017838046e-03,1.41012800000000008e-02,3.78181179999999978e-02,5.19193979999999985e-02,true,6,6.290856724434e-12,3970,122,3847,/workspace/exp/20260413/iterative/pf_dumps/case3970_goc/cuda_mixed_edge/iter_000
