snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,274,7.30141143786126923e-09,4.83364699999999994e-03,1.20894654000000004e-01,5.81192138671875000e+03,4.24352874688338488e-05,7.30142144830208011e-09,2.58366483639116939e+00,1.37210818938910961e-02,8.02336231511269204e-04
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,463,6.14590895683649970e-09,9.78088300000000063e-03,5.96653155000000046e-01,1.90338001251220703e+01,1.16901048841100419e-07,6.14176087132525175e-09,1.15321375600195140e+01,3.30778341585746816e-03,1.29472593770785238e-03
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,196,6.73502587799087580e-09,1.19512520000000007e-02,2.80478549999999993e-01,3.23927421569824219e+01,2.18171611887640893e-07,6.73520046034796391e-09,2.89140544685115808e+00,2.97042815484527267e-03,6.69885705293360445e-05
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,398,7.07698230856420828e-09,1.22992310000000007e-02,6.04259758999999952e-01,1.32489995956420898e+01,9.41701022647012387e-08,7.10771417758032224e-09,7.58300274739547486e+00,1.40058481441709404e-02,5.59108953106957074e-04
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,23,2.07601197492657237e-09,6.34400000000000025e-05,1.45949000000000008e-04,3.52999997138977051e+00,7.32835042649426782e-09,2.07601996767412911e-09,9.38299991262292910e-01,1.24530296248259731e-05,2.29501612680760303e-06
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,168,6.68921447842015493e-09,1.06024999999999999e-03,2.57954320000000001e-02,2.66666507720947266e+01,1.78379934823169606e-07,6.68925154297348070e-09,7.84404226817665640e-01,1.86877775377070066e-04,8.52993807642921098e-06
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.74329528407678613e+00,1.89145369999999986e-02,1.63752165300000008e+00,2.83570003509521484e+01,4.94346248829970136e+01,1.74329528057212646e+00,2.82964725039418283e+02,1.42249667598455343e+00,1.24385115362226173e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,8,2.81332631891302180e-09,1.32100000000000006e-05,9.65000000000000078e-06,9.41999971866607666e-01,2.65015305533911061e-09,2.81332604510352031e-09,3.06055784899902761e-01,3.22164737553976011e-07,3.55522830064458617e-08
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,25,9.82339937006318512e-09,2.05400000000000005e-04,3.57298999999999996e-04,8.65600013732910156e+00,8.50312646127893146e-08,9.82338993342791197e-09,1.21076615286443867e+00,1.70188371680035644e-04,1.68564582376795613e-05
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,45,6.57616660898114225e-09,1.41750000000000003e-04,5.32269000000000036e-04,1.03003051757812500e+02,6.77363836243394246e-07,6.57615308171699943e-09,2.26694615706354945e+01,2.88213349650701112e-03,1.77010113944220393e-04
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,2.44990920284716323e-04,1.49323899999999994e-03,1.99758257999999994e-01,1.93621124267578125e+02,4.74354174205624257e-02,2.44990920283099994e-04,2.33818549974787526e+00,1.11922047837254013e-03,3.14491146551817424e-02
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.03074907819385917e+01,1.69469900000000003e-03,2.12011338999999993e-01,5.83509643554687500e+02,6.01452027211243967e+03,1.03074907819389772e+01,4.12131525115165260e+01,3.63194272018212416e-02,3.86061212287312330e+01
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,283,2.65938308511240926e-09,2.26178140000000000e-02,7.91729526000000017e-01,3.29889984130859375e+01,8.79520102563952078e-08,2.66610126064047970e-09,1.06488307550864807e+01,1.80238522926943368e-01,3.73943422790112834e-03
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.66482737598516439e+00,1.68778900000000009e-03,2.11176210000000003e-01,5.83509643554687500e+02,9.71442828741173571e+02,1.66482737598513797e+00,3.24109680060974981e+01,2.79502394394192666e-01,5.27499655118807453e+01
/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,32,8.59110166878331703e-09,1.55930000000000006e-04,4.01710000000000001e-04,4.87400293350219727e+00,4.18730472240280704e-08,8.59110012761940294e-09,2.00250271730134738e-01,1.98573825688219685e-06,9.37442623846762579e-07
/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,133,8.50179378366470433e-09,1.85255800000000003e-03,3.52983149999999968e-02,2.21187171936035156e+01,1.88049576507753891e-07,8.50183014058951384e-09,2.12905108864177350e+00,5.57446704741337840e-04,5.57082550010079558e-05
/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,67,8.45820463063128993e-09,1.65500000000000011e-04,8.56108999999999972e-04,2.90159988403320312e+00,2.45423250611054300e-08,8.45820445339685212e-09,3.69103310789556771e-01,1.06773208047306056e-05,1.42424298438248442e-06
/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,501,9.92680197745152583e-10,1.96240360000000010e-02,1.47940351600000009e+00,5.35505981445312500e+01,5.31218539897562389e-08,9.91993662636263254e-10,5.19673925627087119e+00,1.34234150665742291e-01,5.58907437639000193e-03
/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,135,7.76045952152793683e-09,1.82564800000000003e-03,3.82746230000000007e-02,1.92934551239013672e+01,1.49726528425597749e-07,7.76048289246603542e-09,9.74519993042016197e-01,6.58386042244440972e-04,3.57948480017578063e-05
/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,163,9.54589723182177075e-09,1.67165900000000004e-03,4.65523769999999990e-02,5.54020023345947266e+00,5.28876772251659575e-08,9.54616710525302727e-09,1.02529964780634053e+00,2.06651538192303974e-03,1.95544446113915527e-04
/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,205,3.16291783645561707e-09,2.35459999999999999e-04,3.32606800000000017e-03,9.00398406982421875e+01,2.84790261595446736e-07,3.16293608903515750e-09,7.56693235489429128e+00,2.06505880232729644e-03,5.50576159445981261e-05
/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,683,2.63517709339021303e-09,2.62581719999999998e-02,2.33542845699999990e+00,3.20265655517578125e+01,8.81751315952913201e-08,2.75318723928709665e-09,2.63342370137683943e+01,5.14733439143156168e-01,1.05791261781085666e-01
/workspace/exp/20260413/iterative/pf_dumps/case24_ieee_rts/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,9,1.63485405396399926e-09,1.97899999999999986e-05,1.49499999999999992e-05,4.54300022125244141e+00,7.42714462154125954e-09,1.63485455862330991e-09,4.19090056553696910e-01,2.59912482070134843e-06,2.35926690739240996e-07
/workspace/exp/20260413/iterative/pf_dumps/case2736sp_k/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,141,5.70568305194116111e-09,1.94301799999999992e-03,4.61413180000000006e-02,8.97042560577392578e+00,5.11807492267413790e-08,5.70549843184678497e-09,6.41313512806487074e-01,5.21122203898050085e-04,2.90917996484951757e-05
/workspace/exp/20260413/iterative/pf_dumps/case2737sop_k/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,149,4.06491610338810786e-09,1.97349800000000018e-03,4.87781350000000002e-02,6.14925098419189453e+00,2.49961533020651774e-08,4.06491024131617092e-09,2.84245137365493949e-01,3.69783547645496924e-04,1.54589462123266852e-05
/workspace/exp/20260413/iterative/pf_dumps/case2742_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,95,6.71799408397111572e-09,2.60837800000000017e-03,3.47983950000000028e-02,9.61249771118164062e+01,6.45767025853061227e-07,6.71799406622359254e-09,1.34932098733522632e+00,9.51161007209488929e-04,1.67452036932136394e-05
/workspace/exp/20260413/iterative/pf_dumps/case2746wop_k/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,146,3.13846706655899999e-09,1.88148900000000008e-03,4.73367969999999999e-02,9.28178310394287109e+00,2.91304470753650513e-08,3.13845375927719454e-09,4.50541230004140592e-01,8.70442842570318120e-04,1.98424264434560182e-05
/workspace/exp/20260413/iterative/pf_dumps/case2746wp_k/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,139,3.98238100400793198e-09,1.85489899999999991e-03,4.46717879999999970e-02,9.30518054962158203e+00,3.70567541096988862e-08,3.98237883854987531e-09,6.49167304394850597e-01,7.85389259498614489e-04,4.77517662712534374e-05
