snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,56,9.98537832643037930e-04,4.85395099999999958e-03,2.49080789999999996e-02,5.81192138671875000e+03,5.80342338497939636e+00,9.98537832641925756e-04,2.56160018333167505e+00,1.37210818938910961e-02,9.95950875651915035e-02
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,218,9.33394430704758901e-04,1.01363340000000003e-02,2.83674990999999987e-01,1.90338001251220703e+01,1.77660430079442933e-02,9.33394429444254397e-04,1.14206042637743401e+01,3.30778341585746816e-03,1.34236555858016970e-01
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,105,2.84436418069587953e-04,1.20646350000000006e-02,1.51433324000000008e-01,3.23927421569824219e+01,9.21367555331565995e-03,2.84436418153922945e-04,2.89035773954763719e+00,2.97042815484527267e-03,2.85908603466777933e-03
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,235,9.36767616027946995e-04,1.27020840000000006e-02,3.60263559000000011e-01,1.32489995956420898e+01,1.24112338789659684e-02,9.36767624556975390e-04,7.58935786258407230e+00,1.40058481441709404e-02,7.37366395375094186e-03
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,15,7.74909811569254024e-04,6.57700000000000022e-05,9.91799999999999957e-05,3.52999997138977051e+00,2.73543161265232815e-03,7.74909811564497412e-04,9.35736335889016835e-01,1.24530296248259731e-05,2.59882456343341062e-03
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,85,9.04343635550327045e-04,1.07627099999999996e-03,1.28742340000000000e-02,2.66666507720947266e+01,2.41158159069669864e-02,9.04343635542073556e-04,7.84598973067057170e-01,1.86877775377070066e-04,1.60267219854171028e-03
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.74329528407678613e+00,1.81878460000000006e-02,1.64131518299999990e+00,2.83570003509521484e+01,4.94346248829970136e+01,1.74329528057212646e+00,2.82964725039418283e+02,1.42249667598455343e+00,1.24385115362226173e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,4,3.65287963086245629e-04,1.34200000000000003e-05,6.83999999999999973e-06,9.41999971866607666e-01,3.44101250950135107e-04,3.65287963085907303e-04,3.05793781193415715e-01,3.22164737553976011e-07,2.95197437195582335e-04
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,13,8.61805778916688845e-04,2.02971000000000005e-04,1.90289999999999996e-04,8.65600013732910156e+00,7.45979094062618198e-03,8.61805778913489907e-04,1.20823297409811481e+00,1.70188371680035644e-04,4.42125934543580179e-03
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,24,8.99240352773275804e-04,1.41769999999999993e-04,2.89399999999999987e-04,1.03003051757812500e+02,9.26245006005219362e-02,8.99240352783980674e-04,2.27172749109507066e+01,2.88213349650701112e-03,7.07859084861688359e-02
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,845,9.84590741383584329e-04,1.47383999999999992e-03,1.66508709000000005e-01,1.93621124267578125e+02,1.90637565254470953e-01,9.84590736034648842e-04,2.33773171071898833e+00,1.11922047837254013e-03,1.09817024662443030e-02
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.03074907819385917e+01,1.69986000000000009e-03,2.08695633999999991e-01,5.83509643554687500e+02,6.01452027211243967e+03,1.03074907819389772e+01,4.12131525115165260e+01,3.63194272018212416e-02,3.86061212287312330e+01
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_ilu0,true,161,7.40278454842800281e-04,2.23309180000000017e-02,4.52631170000000027e-01,3.29889984130859375e+01,2.44210449599835469e-02,7.40278460539629791e-04,1.06567208158542464e+01,1.80238522926943368e-01,1.56434649052812347e-02
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_ilu0,false,1000,1.66482737598516439e+00,1.71822100000000003e-03,2.09935723999999990e-01,5.83509643554687500e+02,9.71442828741173571e+02,1.66482737598513797e+00,3.24109680060974981e+01,2.79502394394192666e-01,5.27499655118807453e+01
