case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,274,7.30142144830208011e-09,4.24352874688338488e-05,4.83364699999999994e-03,1.20894654000000004e-01,1.25728301000000015e-01,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,463,6.14176087132525175e-09,1.16901048841100419e-07,9.78088300000000063e-03,5.96653155000000046e-01,6.06434038000000064e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,true,true,196,6.73520046034796391e-09,2.18171611887640893e-07,1.19512520000000007e-02,2.80478549999999993e-01,2.92429802000000016e-01,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,true,true,398,7.10771417758032224e-09,9.41701022647012387e-08,1.22992310000000007e-02,6.04259758999999952e-01,6.16558989999999918e-01,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,23,2.07601996767412911e-09,7.32835042649426782e-09,6.34400000000000025e-05,1.45949000000000008e-04,2.09389000000000011e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,168,6.68925154297348070e-09,1.78379934823169606e-07,1.06024999999999999e-03,2.57954320000000001e-02,2.68556819999999988e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,1.74329528057212646e+00,4.94346248829970136e+01,1.89145369999999986e-02,1.63752165300000008e+00,1.65643618999999997e+00,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,8,2.81332604510352031e-09,2.65015305533911061e-09,1.32100000000000006e-05,9.65000000000000078e-06,2.28600000000000014e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,25,9.82338993342791197e-09,8.50312646127893146e-08,2.05400000000000005e-04,3.57298999999999996e-04,5.62699000000000055e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,45,6.57615308171699943e-09,6.77363836243394246e-07,1.41750000000000003e-04,5.32269000000000036e-04,6.74019000000000094e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
