case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,29,9.73725662917666011e-04,5.65921700510807568e+00,1.36855940000000006e-02,2.29330779999999991e-02,3.66186719999999979e-02,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,207,3.89043586397156847e-04,7.40497786344414266e-03,2.04088159999999998e-02,3.50786920999999974e-01,3.71195736999999970e-01,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,true,true,64,8.67368805112773630e-04,2.80964540590280115e-02,2.39659569999999995e-02,1.26612000000000002e-01,1.50577957000000012e-01,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,true,true,133,9.49537697791813452e-04,1.25804245740906567e-02,2.71055980000000016e-02,2.79622087999999991e-01,3.06727685999999999e-01,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,10,8.79450584903794606e-04,3.10446053954911184e-03,1.68789999999999988e-04,8.55099999999999995e-05,2.54300000000000001e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,50,8.61954803879673936e-04,2.29854477363886645e-02,2.93525099999999983e-03,9.93408399999999928e-03,1.28693349999999991e-02,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,false,1000,1.25917667411183354e+00,3.57064733897000224e+01,4.16871629999999993e-02,2.24387883099999996e+00,2.28556599400000016e+00,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,3,8.75958991334907966e-04,8.25153345193785359e-04,2.82600000000000005e-05,5.75999999999999991e-06,3.40200000000000029e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,10,2.39749417916249714e-04,2.07527099440762974e-03,5.70230000000000021e-04,2.12140000000000012e-04,7.82370000000000006e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,20,9.19375677226963147e-04,9.46985004662828089e-02,3.45030000000000022e-04,2.95559999999999996e-04,6.40590000000000018e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
