snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_ilut,true,4,2.26287548202175936e-09,5.56255399999999994e-03,1.86533199999999993e-03,5.81192138671875000e+03,7.62580690816250240e-06,1.31209739443289710e-09,2.58366333845189455e+00,1.37210818938910961e-02,8.03834170786110747e-04
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,7,4.30650498827315014e-11,2.08909159999999990e-02,9.50899699999999994e-03,1.90338001251220703e+01,1.06028924529155688e-09,5.57055994242640444e-11,1.15321371674448834e+01,3.30778341585746816e-03,1.29508422039670279e-03
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilut,true,8,2.24269664166164418e-09,3.14534190000000033e-02,1.30250409999999994e-02,3.23927421569824219e+01,9.73461684594667531e-08,3.00518455608684200e-09,2.89140546417580735e+00,2.97042815484527267e-03,6.69642633259748266e-05
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,11,2.15750104115051815e-10,3.59836089999999997e-02,1.90745439999999988e-02,1.32489995956420898e+01,5.13734706684976228e-09,3.87753583186730374e-10,7.58300295873290064e+00,1.40058481441709404e-02,5.59312831466485250e-04
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,7.77752863333692115e-14,1.11459999999999993e-04,2.84789999999999996e-05,3.52999997138977051e+00,6.60194121593349337e-13,1.87023831995508250e-13,9.38299983187373066e-01,1.24530296248259731e-05,2.30269052003961860e-06
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_ilut,true,3,4.02031885247226768e-12,1.38086400000000009e-03,4.87417000000000026e-04,2.66666507720947266e+01,2.92144974878283392e-10,1.09554430878885634e-11,7.84404224505013681e-01,1.86877775377070066e-04,8.52130241552062628e-06
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_ilut,true,8,1.84503783822499393e-10,1.90170040000000005e-02,1.38208180000000003e-02,2.83570003509521484e+01,1.11758708953857422e-08,3.94113296789887316e-10,3.67379511580043129e+02,1.42249667598455343e+00,8.48951198587997169e-02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,2.30223018957972352e-30,1.87000000000000005e-05,3.80999999999999994e-06,9.41999971866607666e-01,9.15933995315754146e-16,9.72329111115361488e-16,3.06055784736271874e-01,3.22164737553976011e-07,3.56516492994174428e-08
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,7.17879644774356934e-09,3.59838999999999981e-04,5.59090000000000029e-05,8.65600013732910156e+00,9.45711526867398788e-08,1.09255026786449180e-08,1.21076614400663285e+00,1.70188371680035644e-04,1.68653696139831055e-05
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,4.04789536772446093e-11,1.93009000000000008e-04,4.72199999999999985e-05,1.03003051757812500e+02,6.02138428007492621e-09,5.84583095094385905e-11,2.26694614800058609e+01,2.88213349650701112e-03,1.77074594287063292e-04
/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000,bicgstab_ilut,true,5,5.12067467197932180e-09,1.64081300000000008e-03,1.04986500000000009e-03,1.93621124267578125e+02,1.44479716857048857e-06,7.46198109341533281e-09,2.33783647373379022e+00,1.11922047837254013e-03,2.26171452861745337e-05
/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000,bicgstab_ilut,true,7,1.80451859545672440e-09,1.98730099999999991e-03,1.50462300000000007e-03,5.83509643554687500e+02,2.12820948597425286e-06,3.64725674970750260e-09,1.53549144960535813e+01,3.63194272018212416e-02,2.38916925783509981e-02
/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,10,9.19193007193057195e-09,8.36654240000000021e-02,3.40859469999999984e-02,3.29889984130859375e+01,4.34043165818687182e-07,1.31572095758600778e-08,1.06488304539729501e+01,1.80238522926943368e-01,3.73971226551006453e-03
/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000,bicgstab_ilut,true,5,7.86272465528888174e-09,2.01620100000000002e-03,1.11631500000000010e-03,5.83509643554687500e+02,5.42627344479740259e-06,9.29937234925722969e-09,5.38691649384406546e+01,2.79502394394192666e-01,3.98192353156545664e-02
/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,2.12683126294118511e-15,1.66650000000000012e-04,4.44289999999999976e-05,4.87400293350219727e+00,1.48769885299770976e-14,3.05231423389548323e-15,2.00250302623745546e-01,1.98573825688219685e-06,9.67318801045613519e-07
/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,4,1.00492417469179883e-11,3.34598500000000010e-03,1.14649499999999998e-03,2.21187171936035156e+01,2.41002127976397418e-10,1.08958456255362095e-11,2.12905094087496893e+00,5.57446704741337840e-04,5.57483649274992388e-05
/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,1.87430601765847003e-09,2.27939000000000001e-04,4.97400000000000015e-05,2.90159988403320312e+00,6.71329400403486432e-09,2.31365256146324114e-09,3.69103311885815411e-01,1.06773208047306056e-05,1.42309363565518154e-06
/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilut,true,13,2.69943287676431500e-11,5.13609599999999972e-02,4.33766849999999982e-02,5.35505981445312500e+01,9.02071195518772129e-10,1.68452123183407308e-11,5.19673925506969958e+00,1.34234150665742291e-01,5.58907507508532575e-03
/workspace/exp/20260413/iterative/pf_dumps/case2312_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,5,5.22739827671430574e-11,2.89944699999999988e-03,1.45203400000000005e-03,1.92934551239013672e+01,1.07291144024745932e-09,5.56101244363587980e-11,9.74519986855672093e-01,6.58386042244440972e-04,3.57772999735050945e-05
/workspace/exp/20260413/iterative/pf_dumps/case2383wp_k/cuda_mixed_edge/iter_000,bicgstab_ilut,true,7,7.52377488265916480e-10,2.59882800000000008e-03,1.98969100000000003e-03,5.54020023345947266e+00,5.42903544342721034e-09,9.79934878641949729e-10,1.02529963977574767e+00,2.06651538192303974e-03,1.95546284175951435e-04
/workspace/exp/20260413/iterative/pf_dumps/case240_pserc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,2,7.17332947444190323e-10,3.11429000000000003e-04,6.74590000000000058e-05,9.00398406982421875e+01,1.22856384177083555e-07,1.36446692069149825e-09,7.56693235763418581e+00,2.06505880232729644e-03,5.50557216616454070e-05
/workspace/exp/20260413/iterative/pf_dumps/case24464_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,28,1.78744346698043170e-09,6.85712230000000006e-02,1.11888057999999999e-01,3.20265655517578125e+01,1.17656431992962940e-07,3.67371368006411930e-09,2.63342367351446853e+01,5.14733439143156168e-01,1.05790776823106114e-01
