snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,2.44446906423978786e-04,5.57156100000000005e-03,5.27340999999999964e-04,5.81192138671875000e+03,9.10055774665408990e-01,1.56584322827394839e-04,2.57288619810428010e+00,1.37210818938910961e-02,1.01735043618429333e-01
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,4,2.46181739776546601e-04,2.03291779999999998e-02,5.51713099999999977e-03,1.90338001251220703e+01,1.11260999898349956e-02,5.84544332539776524e-04,1.15319065757187040e+01,3.30778341585746816e-03,1.61679348684451440e-03
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,bicgstab_ilut,true,4,2.89398349357488152e-04,3.09803919999999990e-02,6.63563199999999982e-03,3.23927421569824219e+01,8.59976705534393204e-03,2.65484379607862527e-04,2.89227369571671256e+00,2.97042815484527267e-03,1.30767062644565613e-03
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,5,5.65906831118069792e-04,3.58010230000000013e-02,8.75940300000000067e-03,1.32489995956420898e+01,1.31224408643116838e-02,9.90447676413845277e-04,7.60169618448779261e+00,1.40058481441709404e-02,1.98639549174615127e-02
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,4.29600634722158803e-07,1.11319999999999998e-04,1.66799999999999995e-05,3.52999997138977051e+00,2.91874624724908216e-06,8.26840303372570246e-07,9.38300156731629365e-01,1.24530296248259731e-05,2.13012096317299893e-06
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,1.00196633753546279e-04,1.41192100000000001e-03,1.90900000000000005e-04,2.66666507720947266e+01,6.21509525816266173e-03,2.33066211099387029e-04,7.84589172055150219e-01,1.86877775377070066e-04,2.55219722722882514e-04
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,bicgstab_ilut,true,4,6.23159807347693014e-04,1.92304369999999995e-02,6.98605299999999988e-03,2.83570003509521484e+01,4.34906489302536725e-02,1.53368298451896654e-03,3.67333634482871162e+02,1.42249667598455343e+00,7.86992324935340548e-02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,2.30223018957972352e-30,1.87900000000000014e-05,3.72999999999999986e-06,9.41999971866607666e-01,9.15933995315754146e-16,9.72329111115361488e-16,3.06055784736271874e-01,3.22164737553976011e-07,3.56516492994174428e-08
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,1.05075735052351471e-04,3.63850999999999996e-04,3.30300000000000005e-05,8.65600013732910156e+00,1.78484011058088754e-03,2.06196867174683124e-04,1.21087475068071915e+00,1.70188371680035644e-04,1.39798147219982738e-04
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,bicgstab_ilut,true,1,1.16354065667827388e-05,1.93830000000000006e-04,2.94500000000000009e-05,1.03003051757812500e+02,1.72819594480699834e-03,1.67781042921955878e-05,2.26695434928390007e+01,2.88213349650701112e-03,8.74394004206635600e-05
