case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,setup_sec,solve_sec,total_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,1,1.56584322827394839e-04,9.10055774665408990e-01,5.57156100000000005e-03,5.27340999999999964e-04,6.09890199999999980e-03,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,4,5.84544332539776524e-04,1.11260999898349956e-02,2.03291779999999998e-02,5.51713099999999977e-03,2.58463089999999979e-02,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,true,true,4,2.65484379607862527e-04,8.59976705534393204e-03,3.09803919999999990e-02,6.63563199999999982e-03,3.76160239999999979e-02,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,true,true,5,9.90447676413845277e-04,1.31224408643116838e-02,3.58010230000000013e-02,8.75940300000000067e-03,4.45604260000000002e-02,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,1,8.26840303372570246e-07,2.91874624724908216e-06,1.11319999999999998e-04,1.66799999999999995e-05,1.27999999999999994e-04,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,1,2.33066211099387029e-04,6.21509525816266173e-03,1.41192100000000001e-03,1.90900000000000005e-04,1.60282099999999993e-03,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,false,true,4,1.53368298451896654e-03,4.34906489302536725e-02,1.92304369999999995e-02,6.98605299999999988e-03,2.62164899999999985e-02,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,1,9.72329111115361488e-16,9.15933995315754146e-16,1.87900000000000014e-05,3.72999999999999986e-06,2.25200000000000012e-05,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,true,true,1,2.06196867174683124e-04,1.78484011058088754e-03,3.63850999999999996e-04,3.30300000000000005e-05,3.96880999999999970e-04,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,1,1.67781042921955878e-05,1.72819594480699834e-03,1.93830000000000006e-04,2.94500000000000009e-05,2.23280000000000017e-04,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
