snapshot,solver,success,iterations,estimated_error,setup_sec,solve_sec,rhs_inf,residual_inf,relative_residual_inf,x_inf,direct_residual_inf,x_delta_direct_inf
/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,21,9.25978008212466016e-04,7.98744799999999942e-03,1.24424670000000005e-02,5.81192138671875000e+03,4.08327744856796926e+00,7.02569284212785036e-04,2.54371920044661159e+00,1.37210818938910961e-02,1.87312469711432783e-01
/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,239,9.94402599772806206e-04,2.81675319999999986e-02,4.63792819999999995e-01,1.90338001251220703e+01,8.22909192760334918e-03,4.32340986745050927e-04,1.14888241739505652e+01,3.30778341585746816e-03,4.57587146571931669e-02
/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,1.93459023981428196e-01,4.06863890000000034e-02,2.19690751300000020e+00,3.23927421569824219e+01,3.35623272011563678e+00,1.03610639193514015e-01,1.74072417784668199e-01,2.97042815484527267e-03,2.82272567999508928e+00
/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,1.91266572395369261e-01,4.05510960000000018e-02,2.26295792599999990e+00,1.32489995956420898e+01,2.12035891989335523e+00,1.60039171605891789e-01,5.80119675912273758e-01,1.40058481441709404e-02,7.30035545458162005e+00
/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,8,4.81181907150979077e-04,5.11115000000000029e-04,9.77099999999999979e-05,3.52999997138977051e+00,1.74126393688450731e-03,4.93275906798086214e-04,9.37986129839140537e-01,1.24530296248259731e-05,3.16029470246670385e-04
/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,44,9.76187651645356270e-04,3.37777800000000012e-03,8.77861500000000003e-03,2.66666507720947266e+01,3.42569411435853510e-02,1.28463605858720998e-03,7.80734570724799459e-01,1.86877775377070066e-04,5.41705599593028664e-03
/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,1000,6.10758023216153578e-01,3.99832489999999985e-02,2.30606615899999978e+00,2.83570003509521484e+01,1.61851582866107613e+01,5.70764117724014142e-01,3.50857396499858210e+00,1.42249667598455343e+00,3.64329909188138402e+02
/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,6,1.86770264022802132e-04,2.06832000000000001e-04,2.08099999999999990e-05,9.41999971866607666e-01,9.31948655791409175e-05,9.89329812764981891e-05,3.06008145881689120e-01,3.22164737553976011e-07,5.09191606058445601e-05
/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,false,8,8.93663702914908515e-04,6.20985000000000005e-04,1.96392000000000013e-04,8.65600013732910156e+00,8.65861966493319812e-03,1.00030262564262213e-03,1.21119885727331811e+00,1.70188371680035644e-04,8.50192208571520780e-04
/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000,fgmres_hypre_boomeramg,true,6,3.61140364220583680e-04,3.81133999999999987e-04,1.32180999999999987e-04,1.03003051757812500e+02,2.07917721497588026e-02,2.01855884800828766e-04,2.26736414203527730e+01,2.88213349650701112e-03,4.73437403631749021e-03
