case,fgmres_solved,fgmres_iterations,fgmres_setup_sec,fgmres_solve_sec,fgmres_relative_residual_inf,bicgstab_solved,bicgstab_iterations,bicgstab_setup_sec,bicgstab_solve_sec,bicgstab_relative_residual_inf,both_solved,fgmres_only,bicgstab_only,fgmres_solve_sec_minus_bicgstab_solve_sec
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,21,7.987448000000e-03,1.244246700000e-02,7.025692842128e-04,true,16,1.336607000000e-02,2.352408800000e-02,7.857025960553e-04,true,false,false,-1.108162100000e-02
case10000_goc,true,239,2.816753200000e-02,4.637928200000e-01,4.323409867451e-04,true,70,2.830908200000e-02,2.291409120000e-01,3.206700166157e-04,true,false,false,2.346519080000e-01
case10192_epigrids,false,1000,4.068638900000e-02,2.196907513000e+00,1.036106391935e-01,false,1000,3.909156000000e-02,3.759950269000e+00,8.307839089754e+02,false,false,false,-1.563042756000e+00
case10480_goc,false,1000,4.055109600000e-02,2.262957926000e+00,1.600391716059e-01,false,928,4.037988000000e-02,3.572024367000e+00,3.778167553570e-03,false,false,false,-1.309066441000e+00
case118_ieee,true,8,5.111150000000e-04,9.771000000000e-05,4.932759067981e-04,true,5,4.489810000000e-04,1.052400000000e-04,3.420718493469e-04,true,false,false,-7.530000000000e-06
case1354_pegase,false,44,3.377778000000e-03,8.778615000000e-03,1.284636058587e-03,false,25,3.146352000000e-03,8.275676000000e-03,1.593484906092e-03,false,false,false,5.029390000000e-04
case13659_pegase,false,1000,3.998324900000e-02,2.306066159000e+00,5.707641177240e-01,false,1000,3.757797800000e-02,3.886698500000e+00,9.041774635741e+01,false,false,false,-1.580632341000e+00
case14_ieee,true,6,2.068320000000e-04,2.081000000000e-05,9.893298127650e-05,true,3,2.143400000000e-04,1.698000000000e-05,6.470750783390e-04,true,false,false,3.830000000000e-06
case162_ieee_dtc,false,8,6.209850000000e-04,1.963920000000e-04,1.000302625643e-03,true,6,6.174200000000e-04,2.647100000000e-04,2.808826372807e-04,false,false,true,-6.831800000000e-05
case179_goc,true,6,3.811340000000e-04,1.321810000000e-04,2.018558848008e-04,true,4,3.736200000000e-04,1.444300000000e-04,8.350245057160e-05,true,false,false,-1.224900000000e-05
case1803_snem,false,1000,3.841653000000e-03,2.620488590000e-01,1.614067030355e+08,false,1000,3.934833000000e-03,4.227282050000e-01,9.307998588886e-01,false,false,false,-1.606793460000e-01
case1888_rte,false,1000,4.643150000000e-03,3.083789580000e-01,1.335217663722e-02,false,1000,4.792154000000e-03,4.991479610000e-01,1.226682151451e-02,false,false,false,-1.907690030000e-01
case19402_goc,true,179,8.341237500000e-02,7.546136670000e-01,8.601693096718e-04,true,58,8.068734000000e-02,4.130266970000e-01,5.269044045436e-04,true,false,false,3.415869700000e-01
