case,n_bus,hypre_solved,ilut_solved,ilu0_solved,hypre_iterations,ilut_iterations,ilu0_iterations,hypre_solve_sec,ilut_solve_sec,ilu0_solve_sec,hypre_setup_sec,ilut_setup_sec,ilu0_setup_sec,hypre_sec_per_iter,ilut_sec_per_iter,ilu0_sec_per_iter,hypre_relative_residual_inf,ilut_relative_residual_inf,ilu0_relative_residual_inf
case3_lmbd,3,true,true,true,1,2,1,4.72999999999999961e-06,1.26000000000000001e-06,6.99999999999999968e-07,2.45599999999999986e-05,2.97999999999999984e-06,5.40000000000000018e-07,4.73e-06,6.3e-07,7e-07,0.00000000000000000e+00,0.00000000000000000e+00,9.97953323335981286e-17
case5_pjm,5,true,true,true,1,2,2,5.42999999999999968e-06,2.07000000000000009e-06,1.72000000000000005e-06,2.85899999999999990e-05,4.45999999999999965e-06,1.54999999999999998e-06,5.43e-06,1.035e-06,8.6e-07,5.70381509520008924e-06,4.13573036121365599e-06,5.75393555628522790e-04
case14_ieee,14,true,true,true,3,1,4,1.69800000000000001e-05,3.72999999999999986e-06,6.83999999999999973e-06,2.14340000000000011e-04,1.87900000000000014e-05,1.34200000000000003e-05,5.66e-06,3.73e-06,1.71e-06,6.47075078339016474e-04,9.72329111115361488e-16,3.65287963085907303e-04
case24_ieee_rts,24,true,true,true,3,1,6,2.46800000000000009e-05,4.72999999999999961e-06,1.23600000000000002e-05,2.24340000000000010e-04,3.62600000000000018e-05,2.10600000000000017e-05,8.226666666666667e-06,4.73e-06,2.06e-06,8.48681944206758761e-05,4.16868026371167536e-10,1.74413321331830338e-04
case30_as,30,true,true,true,5,1,6,4.56809999999999985e-05,6.22999999999999964e-06,1.54699999999999993e-05,1.22020000000000001e-04,3.83300000000000006e-05,2.83399999999999997e-05,9.136199999999999e-06,6.23e-06,2.5783333333333334e-06,3.45633045983619760e-05,1.84141795201925450e-11,8.22866458994286594e-04
case30_ieee,30,true,true,true,4,1,6,3.62799999999999982e-05,5.71000000000000039e-06,1.48500000000000001e-05,1.06310000000000004e-04,3.51600000000000022e-05,2.91599999999999986e-05,9.07e-06,5.71e-06,2.475e-06,3.57911946968827012e-04,1.15704365093468745e-11,6.88038491864737824e-04
case39_epri,39,true,true,true,3,1,9,3.60199999999999973e-05,7.68999999999999922e-06,2.54099999999999990e-05,1.24339999999999992e-04,4.41900000000000021e-05,2.94799999999999990e-05,1.2006666666666666e-05,7.69e-06,2.823333333333333e-06,4.01041185700650642e-04,8.25200686039470205e-09,7.50989463336121290e-04
case57_ieee,57,true,true,true,8,1,7,1.23570000000000011e-04,9.91999999999999989e-06,3.17600000000000008e-05,2.93169999999999987e-04,7.03899999999999952e-05,4.52100000000000025e-05,1.544625e-05,9.92e-06,4.537142857142857e-06,2.87364557831801661e-04,2.31558197194763753e-07,6.74049489938233454e-04
case60_c,60,true,true,true,6,1,21,8.00809999999999944e-05,9.47000000000000081e-06,7.09899999999999962e-05,1.43959999999999997e-04,5.46399999999999986e-05,4.65899999999999995e-05,1.3346833333333332e-05,9.47e-06,3.3804761904761904e-06,6.18704607641022220e-05,2.12450494114709265e-09,5.08154294762459477e-04
case73_ieee_rts,73,true,true,true,3,1,12,4.98499999999999988e-05,1.14600000000000004e-05,4.81700000000000013e-05,3.04130000000000004e-04,7.44199999999999956e-05,4.78599999999999992e-05,1.6616666666666666e-05,1.146e-05,4.014166666666667e-06,5.54838837455484397e-04,1.13724259040207747e-07,4.00011721089308736e-04
case89_pegase,89,true,true,true,4,1,14,1.08850000000000003e-04,1.83899999999999984e-05,1.18079999999999994e-04,3.92690000000000010e-04,1.61680000000000011e-04,1.82880000000000011e-04,2.72125e-05,1.839e-05,8.434285714285714e-06,8.63876191398504543e-04,1.21980599382368900e-04,4.43330225159274552e-04
case118_ieee,118,true,true,true,5,1,15,1.05240000000000002e-04,1.66799999999999995e-05,9.91799999999999957e-05,4.48980999999999989e-04,1.11319999999999998e-04,6.57700000000000022e-05,2.1048e-05,1.668e-05,6.6119999999999995e-06,3.42071849346880803e-04,8.26840303372570246e-07,7.74909811564497412e-04
case162_ieee_dtc,162,true,true,true,6,1,13,2.64709999999999978e-04,3.30300000000000005e-05,1.90289999999999996e-04,6.17420000000000035e-04,3.63850999999999996e-04,2.02971000000000005e-04,4.411833333333333e-05,3.303e-05,1.4637692307692308e-05,2.80882637280723674e-04,2.06196867174683124e-04,8.61805778913489907e-04
case179_goc,179,true,true,true,4,1,24,1.44429999999999998e-04,2.94500000000000009e-05,2.89399999999999987e-04,3.73620000000000018e-04,1.93830000000000006e-04,1.41769999999999993e-04,3.61075e-05,2.945e-05,1.2058333333333333e-05,8.35024505715992784e-05,1.67781042921955878e-05,8.99240352783980674e-04
case197_snem,197,true,true,true,10,1,16,3.27580000000000004e-04,2.79400000000000002e-05,2.08530000000000011e-04,4.73159999999999976e-04,1.67760000000000007e-04,1.56949999999999993e-04,3.2758e-05,2.794e-05,1.3033125e-05,7.37316197172765893e-05,3.40576647289615755e-08,5.15528657373105835e-04
case200_activ,200,true,true,true,6,1,26,2.40850999999999988e-04,3.03000000000000013e-05,3.29899999999999996e-04,5.25810000000000036e-04,2.34040000000000002e-04,1.63580000000000003e-04,4.014183333333333e-05,3.03e-05,1.2688461538461539e-05,4.60133547019218056e-04,9.38043273289577096e-06,6.92254342389751320e-04
case240_pserc,240,true,true,true,80,1,166,3.48742299999999991e-03,3.95600000000000007e-05,2.50925100000000010e-03,5.25680000000000049e-04,3.16089999999999991e-04,2.36259999999999991e-04,4.3592787499999996e-05,3.956e-05,1.5115969879518073e-05,8.90025236494833717e-04,1.54638603601990864e-04,1.79917197501237673e-04
case300_ieee,300,true,true,true,16,1,30,8.64570999999999959e-04,4.78700000000000008e-05,5.71659999999999985e-04,8.59559999999999990e-04,3.70470000000000022e-04,2.43650000000000013e-04,5.40356875e-05,4.787e-05,1.9055333333333334e-05,9.86481536282567578e-05,3.31516099546624323e-04,2.13662422156786892e-04
case500_goc,500,true,true,true,10,1,28,1.01695100000000010e-03,7.49800000000000038e-05,1.00814000000000003e-03,1.23768100000000002e-03,6.16730000000000013e-04,4.11561000000000012e-04,0.00010169510000000002,7.498e-05,3.6005e-05,3.55394793004934647e-04,1.91819526791865691e-04,5.91163500156995591e-04
case588_sdet,588,true,true,true,27,2,51,2.61571200000000007e-03,1.46529999999999995e-04,2.12447100000000017e-03,1.13461100000000000e-03,5.74340000000000007e-04,3.93820000000000021e-04,9.687822222222222e-05,7.3265e-05,4.165629411764706e-05,6.19536904908636805e-04,3.49525946872911511e-05,9.37186546402340916e-04
case793_goc,793,false,true,true,24,2,69,3.95406299999999985e-03,1.99230000000000002e-04,4.98868200000000036e-03,2.07335200000000009e-03,7.86400000000000033e-04,5.37880000000000020e-04,0.000164752625,9.9615e-05,7.229973913043479e-05,1.23646911270638917e-03,3.42985638977629052e-06,9.94757310882227273e-04
case1354_pegase,1354,false,true,true,25,1,85,8.27567599999999917e-03,1.90900000000000005e-04,1.28742340000000000e-02,3.14635199999999983e-03,1.41192100000000001e-03,1.07627099999999996e-03,0.00033102703999999996,0.0001909,0.00015146157647058823,1.59348490609156315e-03,2.33066211099387029e-04,9.04343635542073556e-04
case1803_snem,1803,false,true,true,1000,4,845,4.22728205000000024e-01,8.50850000000000000e-04,1.66508709000000005e-01,3.93483300000000043e-03,1.66782999999999992e-03,1.47383999999999992e-03,0.00042272820500000003,0.0002127125,0.00019705172662721893,9.30799858888556986e-01,1.97355242693089255e-04,9.84590736034648842e-04
case1888_rte,1888,false,true,false,1000,5,1000,4.99147960999999973e-01,1.09639000000000004e-03,2.08695633999999991e-01,4.79215399999999986e-03,2.00112099999999980e-03,1.69986000000000009e-03,0.000499147961,0.000219278,0.000208695634,1.22668215145148116e-02,8.60907927694474738e-07,1.03074907819389772e+01
case1951_rte,1951,false,true,false,1000,4,1000,4.94831338000000009e-01,9.22010000000000017e-04,2.09935723999999990e-01,4.65852300000000035e-03,2.05480100000000020e-03,1.71822100000000003e-03,0.000494831338,0.0002305025,0.000209935724,1.50259968740394684e-01,4.82620723571137357e-06,1.66482737598513797e+00
case2000_goc,2000,true,true,true,32,2,62,1.95273839999999983e-02,6.29960000000000047e-04,1.63891460000000003e-02,5.96664499999999959e-03,3.34941100000000005e-03,1.86665099999999999e-03,0.00061023075,0.00031498,0.00026434106451612906,4.32109085247716945e-04,2.49325173712932523e-05,9.84438492436089541e-04
case2312_goc,2312,true,true,true,33,3,75,2.18324560000000001e-02,9.11630999999999986e-04,2.10360380000000000e-02,5.76881399999999971e-03,2.92610099999999996e-03,1.83880000000000003e-03,0.0006615895757575758,0.000303877,0.0002804805066666667,4.92249386660138311e-04,2.14042329748900990e-05,7.14312794314573467e-04
case2383wp_k,2383,false,true,true,34,4,99,2.31070360000000009e-02,1.17668999999999998e-03,2.78625499999999998e-02,5.24031400000000026e-03,2.64036099999999992e-03,1.67482999999999998e-03,0.000679618705882353,0.0002941725,0.000281439898989899,2.38479640882859100e-03,3.65760285527022390e-05,9.87847588235449313e-04
case2736sp_k,2736,true,true,true,58,3,70,4.68698249999999969e-02,1.01599999999999998e-03,2.28217479999999993e-02,6.71505500000000016e-03,3.15965099999999987e-03,1.98449100000000012e-03,0.0008081004310344827,0.00033866666666666664,0.00032602497142857143,3.97136490035547920e-04,9.60653873786769427e-06,7.71632162033306979e-04
case2737sop_k,2737,false,true,true,39,3,80,3.17549530000000024e-02,1.02883100000000002e-03,2.59604090000000003e-02,6.24422399999999961e-03,3.23802100000000022e-03,2.00548099999999993e-03,0.0008142295641025641,0.00034294366666666665,0.0003245051125,1.80917935586242759e-03,1.09419912459803584e-05,8.99786913905814057e-04
case2742_goc,2742,true,false,true,14,2,38,1.31611999999999996e-02,9.13941000000000037e-04,1.38560950000000006e-02,9.94947699999999997e-03,7.15473199999999959e-03,2.64015099999999987e-03,0.0009400857142857142,0.0004569705,0.0003646340789473684,4.01465510734369177e-04,1.05538463848682648e-03,5.96989947623761930e-04
case2746wop_k,2746,true,true,true,40,3,70,3.18910239999999970e-02,1.01461999999999993e-03,2.28290090000000008e-02,5.81037400000000009e-03,3.10649099999999985e-03,1.91030999999999992e-03,0.0007972756,0.00033820666666666666,0.0003261287,5.33244904068069315e-04,3.79760834298930298e-05,9.84790374847803766e-04
case2746wp_k,2746,true,true,true,49,3,80,3.88253989999999966e-02,1.00664000000000005e-03,2.58557290000000009e-02,5.87829400000000005e-03,2.99537100000000014e-03,1.88594000000000001e-03,0.000792355081632653,0.0003355466666666667,0.00032319661250000003,8.04881432271505612e-04,1.05752666030166118e-04,9.91261949268480670e-04
case2848_rte,2848,false,true,false,1000,3,1000,8.25939694000000002e-01,1.09195999999999989e-03,3.39674868000000019e-01,7.04291599999999976e-03,3.09707099999999985e-03,2.59885100000000011e-03,0.000825939694,0.00036398666666666665,0.00033967486800000004,8.73358320849064729e-02,9.27746072746556409e-05,3.20654067365608655e-02
case2853_sdet,2853,false,true,true,1000,4,267,7.18109354999999949e-01,1.34993099999999996e-03,8.56589700000000009e-02,5.54538400000000042e-03,3.02180100000000017e-03,2.18544999999999981e-03,0.000718109355,0.00033748275,0.00032082011235955057,1.22793983630622577e-02,4.64408719291313228e-04,4.29003386832375226e-04
case2868_rte,2868,false,true,false,1000,3,1000,8.26579974000000051e-01,1.11604000000000000e-03,3.36778096999999998e-01,7.14148599999999984e-03,3.08068100000000004e-03,2.55884000000000016e-03,0.000826579974,0.00037201333333333335,0.00033677809699999997,5.78064533657781446e-02,4.29904365751837870e-05,2.18646048571957419e+00
case2869_pegase,2869,true,true,true,51,3,115,4.41799230000000029e-02,1.17820100000000003e-03,4.31731549999999978e-02,7.17984499999999980e-03,3.40864100000000001e-03,2.75559000000000004e-03,0.0008662730000000001,0.0003927336666666667,0.0003754187391304348,8.10592313167794059e-04,6.58590419730974671e-08,9.98177117438569335e-04
case3012wp_k,3012,false,true,true,207,3,95,1.83955563999999988e-01,1.11856999999999994e-03,3.41155419999999987e-02,6.47682500000000029e-03,3.39022200000000003e-03,2.10293100000000016e-03,0.0008886742222222222,0.00037285666666666666,0.0003591109684210526,1.03349977061177839e-03,8.51948409848767821e-04,4.04702931846839819e-04
case3022_goc,3022,false,true,true,168,3,112,1.49556318999999993e-01,1.23889000000000009e-03,4.43449750000000018e-02,7.10574500000000012e-03,3.87164199999999979e-03,2.67750100000000010e-03,0.0008902161845238095,0.00041296333333333334,0.0003959372767857143,1.36025981851190837e-03,4.20358237137528800e-05,7.99402969795735201e-04
case3120sp_k,3120,false,true,true,135,3,86,1.23339159000000004e-01,1.16387099999999992e-03,3.20747809999999967e-02,6.65199499999999996e-03,3.59292099999999979e-03,2.22678100000000016e-03,0.0009136234,0.00038795699999999997,0.00037296256976744184,1.02976536962497947e-03,4.10007636572971073e-05,9.16396081639414290e-04
case3375wp_k,3374,false,true,true,341,3,96,3.38875407000000017e-01,1.28130999999999991e-03,3.90814130000000023e-02,7.19759599999999968e-03,3.87267200000000018e-03,2.43383100000000002e-03,0.000993769521994135,0.0004271033333333333,0.00040709805208333336,1.44599824116139444e-03,3.44640705147590391e-04,9.81649712722337982e-04
case3970_goc,3970,true,true,true,28,3,58,3.78181179999999978e-02,1.85074099999999993e-03,3.03373810000000001e-02,1.41012800000000008e-02,1.03478540000000001e-02,3.48867100000000005e-03,0.0013506470714285713,0.0006169136666666666,0.0005230582931034483,1.28260190398486794e-04,2.60371502221785445e-04,4.58641348609154593e-04
case4020_goc,4020,true,true,true,18,4,56,2.53471679999999998e-02,2.64890199999999985e-03,3.12537410000000015e-02,1.62471019999999994e-02,1.28926140000000002e-02,3.95006100000000037e-03,0.001408176,0.0006622255,0.0005581025178571429,8.84784868791930112e-04,1.08425577704373576e-04,9.90934812966023882e-04
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,4492,true,true,true,16,1,56,2.35240879999999986e-02,5.27340999999999964e-04,2.49080789999999996e-02,1.33660700000000007e-02,5.57156100000000005e-03,4.85395099999999958e-03,0.0014702555,0.000527341,0.00044478712499999997,7.85702596055250831e-04,1.56584322827394839e-04,9.98537832641925756e-04
case4601_goc,4601,true,true,true,27,3,59,4.28271910000000006e-02,2.11430099999999985e-03,3.67483820000000030e-02,1.63841620000000007e-02,1.03875040000000005e-02,3.97008100000000030e-03,0.0015861922592592592,0.0007047669999999999,0.0006228539322033899,3.10784405075593604e-04,3.64159233198146375e-05,4.78092963487819478e-04
case4619_goc,4619,true,true,true,42,3,75,6.95024999999999948e-02,2.39494099999999982e-03,4.99611969999999989e-02,1.76520429999999992e-02,1.50705950000000009e-02,5.28914200000000015e-03,0.0016548214285714285,0.0007983136666666666,0.0006661492933333333,7.80431356962778397e-04,1.67550380192247456e-04,8.19676973266906389e-04
case4661_sdet,4661,false,true,true,76,3,151,1.05361285999999998e-01,1.84449099999999997e-03,8.86555499999999996e-02,9.78096799999999926e-03,7.51811200000000041e-03,3.52104099999999993e-03,0.0013863327105263158,0.0006148303333333333,0.0005871228476821192,1.16815454548377688e-03,8.68727352321928704e-04,8.89609515760097797e-04
case4837_goc,4837,true,true,true,29,3,109,4.77151749999999986e-02,2.14204099999999991e-03,6.96092340000000059e-02,1.52272510000000007e-02,9.15657299999999945e-03,4.12920099999999988e-03,0.0016453508620689655,0.0007140136666666666,0.0006386168256880734,3.18434320993185897e-04,2.49679978606500948e-04,8.68588836920767605e-04
case4917_goc,4917,true,true,true,68,3,144,1.05645116999999997e-01,2.06162100000000003e-03,9.52122920000000039e-02,1.19735889999999998e-02,6.30622200000000022e-03,4.08937199999999997e-03,0.0015536046617647058,0.000687207,0.0006611964722222222,4.79028294523506652e-04,1.09897320852895347e-05,8.66968328582609009e-04
case5658_epigrids,5658,false,true,true,1000,2,81,2.08658827799999980e+00,1.81179100000000010e-03,6.42344819999999955e-02,2.00979350000000008e-02,1.19997639999999996e-02,5.32753200000000027e-03,0.0020865882779999997,0.0009058955,0.0007930182962962962,1.17320829510083671e-01,6.94119624631649775e-04,2.16825362754535935e-04
case6468_rte,6468,false,true,false,1000,4,1000,2.17613367999999996e+00,3.63571200000000015e-03,8.77740819000000005e-01,1.84370329999999985e-02,8.40793199999999991e-03,6.06873200000000029e-03,0.00217613368,0.000908928,0.000877740819,3.01790211642119555e-01,1.86686584474001818e-05,1.41064059064415392e+00
case6470_rte,6470,false,true,false,1000,4,1000,2.14481582400000015e+00,3.61004100000000003e-03,8.67451364000000003e-01,1.81073929999999994e-02,8.37105299999999983e-03,6.26809299999999976e-03,0.002144815824,0.00090251025,0.000867451364,3.84446399922797166e-01,3.26866699599621653e-04,3.99319480068894883e+00
case6495_rte,6495,false,true,false,1000,4,1000,2.14779991199999998e+00,3.60470100000000009e-03,8.65450642999999964e-01,1.80875329999999994e-02,8.24732300000000085e-03,5.96706200000000041e-03,0.002147799912,0.00090117525,0.000865450643,2.44136467652969702e-01,8.36206967158439554e-05,4.17800687624714673e+00
case6515_rte,6515,false,true,false,1000,3,1000,2.14957979099999985e+00,2.75428099999999992e-03,8.67824871000000053e-01,1.81827219999999984e-02,8.52432300000000032e-03,5.99354200000000014e-03,0.002149579791,0.0009180936666666667,0.0008678248710000001,5.44730176185341253e-01,8.67925849076863257e-04,6.27990203053918616e+00
case7336_epigrids,7336,false,true,true,1000,4,126,2.66825043899999992e+00,4.56995100000000005e-03,1.29156554000000007e-01,2.53391479999999988e-02,1.54232659999999997e-02,6.35339200000000024e-03,0.002668250439,0.00114248775,0.0010250520158730158,2.41237190589752348e+00,7.52955719723188706e-07,6.07889803572106879e-04
case8387_pegase,8387,true,true,true,177,3,93,4.80720354999999988e-01,3.57993200000000008e-03,1.07728365000000006e-01,2.20637550000000009e-02,1.18404140000000005e-02,9.40339299999999947e-03,0.002715934209039548,0.0011933106666666667,0.0011583695161290323,6.15350550986606352e-04,1.48261442627287371e-04,5.81503697325914492e-04
case9241_pegase,9241,false,true,false,1000,4,1000,3.13521916899999997e+00,5.42431100000000024e-03,1.33122832299999994e+00,2.59856480000000001e-02,1.40443860000000007e-02,1.09332040000000002e-02,0.003135219169,0.00135607775,0.0013312283229999998,3.50273306404173645e-01,3.84404810080498695e-05,3.21470676548128460e-03
case9591_goc,9591,true,true,true,31,5,78,1.10477666000000002e-01,7.87097299999999986e-03,1.11661566000000004e-01,3.66460259999999982e-02,3.16056109999999987e-02,9.16089299999999981e-03,0.003563795677419355,0.0015741945999999999,0.0014315585384615385,4.87431308226147380e-04,3.80334480751433259e-04,9.85454055846601840e-04
case10000_goc,10000,true,true,true,70,4,218,2.29140912000000002e-01,5.51713099999999977e-03,2.83674990999999987e-01,2.83090819999999993e-02,2.03291779999999998e-02,1.01363340000000003e-02,0.0032734416,0.00137928275,0.0013012614266055046,3.20670016615693363e-04,5.84544332539776524e-04,9.33394429444254397e-04
case10192_epigrids,10189,false,true,true,1000,4,105,3.75995026899999996e+00,6.63563199999999982e-03,1.51433324000000008e-01,3.90915599999999974e-02,3.09803919999999990e-02,1.20646350000000006e-02,0.003759950269,0.001658908,0.0014422221333333335,8.30783908975423287e+02,2.65484379607862527e-04,2.84436418153922945e-04
case10480_goc,10480,false,true,true,928,5,235,3.57202436700000003e+00,8.75940300000000067e-03,3.60263559000000011e-01,4.03798799999999999e-02,3.58010230000000013e-02,1.27020840000000006e-02,0.0038491641885775862,0.0017518806000000001,0.0015330364212765958,3.77816755356992062e-03,9.90447676413845277e-04,9.36767624556975390e-04
case13659_pegase,13659,false,false,false,1000,4,1000,3.88669850000000006e+00,6.98605299999999988e-03,1.64131518299999990e+00,3.75779779999999980e-02,1.92304369999999995e-02,1.81878460000000006e-02,0.0038866985000000002,0.00174651325,0.0016413151829999999,9.04177463574121703e+01,1.53368298451896654e-03,1.74329528057212646e+00
