case,n_bus,ilu0_solved,ilut_solved,ilu0_iterations,ilut_iterations,ilu0_solve_sec,ilut_solve_sec,solve_sec_ratio_ilu0_over_ilut,ilu0_setup_sec,ilut_setup_sec,ilu0_total_sec,ilut_total_sec,ilu0_sec_per_iter,ilut_sec_per_iter,sec_per_iter_ratio_ilu0_over_ilut,ilu0_relative_residual_inf,ilut_relative_residual_inf
case3_lmbd,3,true,true,1,2,6.99999999999999968e-07,1.26000000000000001e-06,0.5555555555555556,5.40000000000000018e-07,2.97999999999999984e-06,1.23999999999999999e-06,4.24000000000000006e-06,7e-07,6.3e-07,1.1111111111111112,9.97953323335981286e-17,0.00000000000000000e+00
case5_pjm,5,true,true,2,2,1.72000000000000005e-06,2.07000000000000009e-06,0.8309178743961353,1.54999999999999998e-06,4.45999999999999965e-06,3.27000000000000003e-06,6.53000000000000016e-06,8.6e-07,1.035e-06,0.8309178743961353,5.75393555628522790e-04,4.13573036121365599e-06
case14_ieee,14,true,true,4,1,6.83999999999999973e-06,3.72999999999999986e-06,1.8337801608579087,1.34200000000000003e-05,1.87900000000000014e-05,2.02599999999999991e-05,2.25200000000000012e-05,1.71e-06,3.73e-06,0.4584450402144772,3.65287963085907303e-04,9.72329111115361488e-16
case24_ieee_rts,24,true,true,6,1,1.23600000000000002e-05,4.72999999999999961e-06,2.6131078224101483,2.10600000000000017e-05,3.62600000000000018e-05,3.34200000000000019e-05,4.09899999999999989e-05,2.06e-06,4.73e-06,0.43551797040169143,1.74413321331830338e-04,4.16868026371167536e-10
case30_as,30,true,true,6,1,1.54699999999999993e-05,6.22999999999999964e-06,2.4831460674157304,2.83399999999999997e-05,3.83300000000000006e-05,4.38100000000000024e-05,4.45600000000000003e-05,2.5783333333333334e-06,6.23e-06,0.41385767790262173,8.22866458994286594e-04,1.84141795201925450e-11
case30_ieee,30,true,true,6,1,1.48500000000000001e-05,5.71000000000000039e-06,2.6007005253940454,2.91599999999999986e-05,3.51600000000000022e-05,4.40100000000000005e-05,4.08700000000000000e-05,2.475e-06,5.71e-06,0.4334500875656742,6.88038491864737824e-04,1.15704365093468745e-11
case39_epri,39,true,true,9,1,2.54099999999999990e-05,7.68999999999999922e-06,3.3042912873862162,2.94799999999999990e-05,4.41900000000000021e-05,5.48899999999999979e-05,5.18799999999999979e-05,2.823333333333333e-06,7.69e-06,0.3671434763762462,7.50989463336121290e-04,8.25200686039470205e-09
case57_ieee,57,true,true,7,1,3.17600000000000008e-05,9.91999999999999989e-06,3.2016129032258065,4.52100000000000025e-05,7.03899999999999952e-05,7.69700000000000034e-05,8.03099999999999951e-05,4.537142857142857e-06,9.92e-06,0.4573732718894009,6.74049489938233454e-04,2.31558197194763753e-07
case60_c,60,true,true,21,1,7.09899999999999962e-05,9.47000000000000081e-06,7.496304118268214,4.65899999999999995e-05,5.46399999999999986e-05,1.17579999999999996e-04,6.41099999999999944e-05,3.3804761904761904e-06,9.47e-06,0.3569668627746769,5.08154294762459477e-04,2.12450494114709265e-09
case73_ieee_rts,73,true,true,12,1,4.81700000000000013e-05,1.14600000000000004e-05,4.203315881326352,4.78599999999999992e-05,7.44199999999999956e-05,9.60300000000000005e-05,8.58799999999999977e-05,4.014166666666667e-06,1.146e-05,0.3502763234438627,4.00011721089308736e-04,1.13724259040207747e-07
case89_pegase,89,true,true,14,1,1.18079999999999994e-04,1.83899999999999984e-05,6.420880913539968,1.82880000000000011e-04,1.61680000000000011e-04,3.00960000000000019e-04,1.80070000000000002e-04,8.434285714285714e-06,1.839e-05,0.45863435096714056,4.43330225159274552e-04,1.21980599382368900e-04
case118_ieee,118,true,true,15,1,9.91799999999999957e-05,1.66799999999999995e-05,5.946043165467626,6.57700000000000022e-05,1.11319999999999998e-04,1.64949999999999998e-04,1.27999999999999994e-04,6.6119999999999995e-06,1.668e-05,0.3964028776978417,7.74909811564497412e-04,8.26840303372570246e-07
case162_ieee_dtc,162,true,true,13,1,1.90289999999999996e-04,3.30300000000000005e-05,5.761126248864668,2.02971000000000005e-04,3.63850999999999996e-04,3.93261000000000001e-04,3.96880999999999970e-04,1.4637692307692308e-05,3.303e-05,0.4431635576049745,8.61805778913489907e-04,2.06196867174683124e-04
case179_goc,179,true,true,24,1,2.89399999999999987e-04,2.94500000000000009e-05,9.826825127334464,1.41769999999999993e-04,1.93830000000000006e-04,4.31169999999999980e-04,2.23280000000000017e-04,1.2058333333333333e-05,2.945e-05,0.40945104697226936,8.99240352783980674e-04,1.67781042921955878e-05
case197_snem,197,true,true,16,1,2.08530000000000011e-04,2.79400000000000002e-05,7.463493199713673,1.56949999999999993e-04,1.67760000000000007e-04,3.65480000000000004e-04,1.95700000000000013e-04,1.3033125e-05,2.794e-05,0.46646832498210455,5.15528657373105835e-04,3.40576647289615755e-08
case200_activ,200,true,true,26,1,3.29899999999999996e-04,3.03000000000000013e-05,10.887788778877887,1.63580000000000003e-04,2.34040000000000002e-04,4.93480000000000025e-04,2.64340000000000007e-04,1.2688461538461539e-05,3.03e-05,0.41876110687991874,6.92254342389751320e-04,9.38043273289577096e-06
case240_pserc,240,true,true,166,1,2.50925100000000010e-03,3.95600000000000007e-05,63.42899393326593,2.36259999999999991e-04,3.16089999999999991e-04,2.74551099999999996e-03,3.55649999999999998e-04,1.5115969879518073e-05,3.956e-05,0.38210237309196343,1.79917197501237673e-04,1.54638603601990864e-04
case300_ieee,300,true,true,30,1,5.71659999999999985e-04,4.78700000000000008e-05,11.941926049717985,2.43650000000000013e-04,3.70470000000000022e-04,8.15309999999999971e-04,4.18340000000000010e-04,1.9055333333333334e-05,4.787e-05,0.3980642016572662,2.13662422156786892e-04,3.31516099546624323e-04
case500_goc,500,true,true,28,1,1.00814000000000003e-03,7.49800000000000038e-05,13.445452120565484,4.11561000000000012e-04,6.16730000000000013e-04,1.41970099999999999e-03,6.91710000000000003e-04,3.6005e-05,7.498e-05,0.4801947185916244,5.91163500156995591e-04,1.91819526791865691e-04
case588_sdet,588,true,true,51,2,2.12447100000000017e-03,1.46529999999999995e-04,14.498539548215383,3.93820000000000021e-04,5.74340000000000007e-04,2.51829100000000019e-03,7.20869999999999974e-04,4.165629411764706e-05,7.3265e-05,0.5685701783613876,9.37186546402340916e-04,3.49525946872911511e-05
