case,iterative_solved,iterative_success_flag,iterative_iterations,iterative_relative_residual_inf,iterative_residual_inf,iterative_solve_sec,newton_converged,newton_iterations,newton_final_mismatch,n_bus,n_pv,n_pq,snapshot
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,true,true,4,1.31209739443289710e-09,7.62580690816250240e-06,1.86533199999999993e-03,false,10,6.248772188023e+04,4492,181,4310,/workspace/exp/20260413/iterative/pf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000
case10000_goc,true,true,7,5.57055994242640444e-11,1.06028924529155688e-09,9.50899699999999994e-03,false,10,2.904257516796e+09,10000,1294,8705,/workspace/exp/20260413/iterative/pf_dumps/case10000_goc/cuda_mixed_edge/iter_000
case10192_epigrids,true,true,8,3.00518455608684200e-09,9.73461684594667531e-08,1.30250409999999994e-02,false,10,2.752269443945e+05,10189,190,9998,/workspace/exp/20260413/iterative/pf_dumps/case10192_epigrids/cuda_mixed_edge/iter_000
case10480_goc,true,true,11,3.87753583186730374e-10,5.13734706684976228e-09,1.90745439999999988e-02,false,10,3.029886704861e+09,10480,338,10141,/workspace/exp/20260413/iterative/pf_dumps/case10480_goc/cuda_mixed_edge/iter_000
case118_ieee,true,true,2,1.87023831995508250e-13,6.60194121593349337e-13,2.84789999999999996e-05,true,5,6.224075103791e-11,118,53,64,/workspace/exp/20260413/iterative/pf_dumps/case118_ieee/cuda_mixed_edge/iter_000
case1354_pegase,true,true,3,1.09554430878885634e-11,2.92144974878283392e-10,4.87417000000000026e-04,true,6,4.762783540520e-12,1354,259,1094,/workspace/exp/20260413/iterative/pf_dumps/case1354_pegase/cuda_mixed_edge/iter_000
case13659_pegase,true,true,8,3.94113296789887316e-10,1.11758708953857422e-08,1.38208180000000003e-02,false,10,1.177225517264e+11,13659,4091,9567,/workspace/exp/20260413/iterative/pf_dumps/case13659_pegase/cuda_mixed_edge/iter_000
case14_ieee,true,true,1,9.72329111115361488e-16,9.15933995315754146e-16,3.80999999999999994e-06,true,5,4.653916141351e-14,14,4,9,/workspace/exp/20260413/iterative/pf_dumps/case14_ieee/cuda_mixed_edge/iter_000
case162_ieee_dtc,false,true,2,1.09255026786449180e-08,9.45711526867398788e-08,5.59090000000000029e-05,false,10,1.466049293256e+03,162,11,150,/workspace/exp/20260413/iterative/pf_dumps/case162_ieee_dtc/cuda_mixed_edge/iter_000
case179_goc,true,true,2,5.84583095094385905e-11,6.02138428007492621e-09,4.72199999999999985e-05,false,10,1.556696971246e+05,179,28,150,/workspace/exp/20260413/iterative/pf_dumps/case179_goc/cuda_mixed_edge/iter_000
case1803_snem,true,true,5,7.46198109341533281e-09,1.44479716857048857e-06,1.04986500000000009e-03,false,10,9.944363391346e+02,1803,227,1575,/workspace/exp/20260413/iterative/pf_dumps/case1803_snem/cuda_mixed_edge/iter_000
case1888_rte,true,true,7,3.64725674970750260e-09,2.12820948597425286e-06,1.50462300000000007e-03,false,10,2.781504011914e+05,1888,271,1616,/workspace/exp/20260413/iterative/pf_dumps/case1888_rte/cuda_mixed_edge/iter_000
case19402_goc,false,true,10,1.31572095758600778e-08,4.34043165818687182e-07,3.40859469999999984e-02,false,10,4.389168873441e+08,19402,384,19017,/workspace/exp/20260413/iterative/pf_dumps/case19402_goc/cuda_mixed_edge/iter_000
case1951_rte,true,true,5,9.29937234925722969e-09,5.42627344479740259e-06,1.11631500000000010e-03,false,10,2.361651352661e+08,1951,348,1602,/workspace/exp/20260413/iterative/pf_dumps/case1951_rte/cuda_mixed_edge/iter_000
case197_snem,true,true,2,3.05231423389548323e-15,1.48769885299770976e-14,4.44289999999999976e-05,true,5,3.936287164903e-11,197,34,162,/workspace/exp/20260413/iterative/pf_dumps/case197_snem/cuda_mixed_edge/iter_000
case2000_goc,true,true,4,1.08958456255362095e-11,2.41002127976397418e-10,1.14649499999999998e-03,false,10,1.225911853992e+04,2000,177,1822,/workspace/exp/20260413/iterative/pf_dumps/case2000_goc/cuda_mixed_edge/iter_000
case200_activ,true,true,2,2.31365256146324114e-09,6.71329400403486432e-09,4.97400000000000015e-05,true,5,1.146507041354e-11,200,37,162,/workspace/exp/20260413/iterative/pf_dumps/case200_activ/cuda_mixed_edge/iter_000
case20758_epigrids,true,true,13,1.68452123183407308e-11,9.02071195518772129e-10,4.33766849999999982e-02,false,10,1.075253924032e+03,20758,766,19991,/workspace/exp/20260413/iterative/pf_dumps/case20758_epigrids/cuda_mixed_edge/iter_000
