source_mat,case,converted_dir,snapshot_dir,profile,status,converged,iterations,final_mismatch,snapshots,total_sec,n_bus,ybus_nnz,n_ref,n_pv,n_pq,returncode,error
/workspace/datasets/pf_dataset/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr.mat,RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,/workspace/exp/20260413/iterative/pf_cupf_dumps/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,9.296453846753e+05,1,9.198403508000e+00,4492,14346,1,181,4310,0,
/workspace/datasets/pf_dataset/pglib_opf_case10000_goc.mat,case10000_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10000_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case10000_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,5.322889032233e+08,1,9.169757420000e+00,10000,35484,1,1294,8705,0,
/workspace/datasets/pf_dataset/pglib_opf_case10192_epigrids.mat,case10192_epigrids,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10192_epigrids,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case10192_epigrids/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,6.036503632739e+08,1,9.183509170000e+00,10189,39589,1,190,9998,0,
/workspace/datasets/pf_dataset/pglib_opf_case10480_goc.mat,case10480_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case10480_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case10480_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,3.628327692291e+11,1,9.276341417000e+00,10480,42694,1,338,10141,0,
/workspace/datasets/pf_dataset/pglib_opf_case13659_pegase.mat,case13659_pegase,/workspace/exp/20260413/iterative/pf_cupf_dumps/case13659_pegase,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case13659_pegase/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.618664964383e+10,1,9.227687218000e+00,13659,50909,1,4091,9567,0,
/workspace/datasets/pf_dataset/pglib_opf_case162_ieee_dtc.mat,case162_ieee_dtc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case162_ieee_dtc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case162_ieee_dtc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.023167059069e+03,1,8.986781029000e+00,162,722,1,11,150,0,
/workspace/datasets/pf_dataset/pglib_opf_case179_goc.mat,case179_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case179_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case179_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,2.130304193348e+08,1,9.012798065000e+00,179,623,1,28,150,0,
/workspace/datasets/pf_dataset/pglib_opf_case1803_snem.mat,case1803_snem,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1803_snem,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case1803_snem/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,4.002359798160e+05,1,9.116328707000e+00,1803,6195,1,227,1575,0,
/workspace/datasets/pf_dataset/pglib_opf_case1888_rte.mat,case1888_rte,/workspace/exp/20260413/iterative/pf_cupf_dumps/case1888_rte,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case1888_rte/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,1.139095040040e+07,1,9.002604649000e+00,1888,6504,1,271,1616,0,
/workspace/datasets/pf_dataset/pglib_opf_case19402_goc.mat,case19402_goc,/workspace/exp/20260413/iterative/pf_cupf_dumps/case19402_goc,/workspace/exp/20260413/iterative/pf_dumps_max20_not_converged_max10/case19402_goc/cuda_mixed_edge/iter_000,cuda_mixed_edge,ok,false,20,7.121721825634e+11,1,9.334021139000e+00,19402,78904,1,384,19017,0,
