case,dataset_case,n_bus,n_pv,n_pq,dimF,ybus_nnz,ybus_struct_asym_nnz,cupf_pattern_nnz,cupf_pattern_struct_asym_nnz,lift_pattern_nnz,lift_pattern_struct_asym_nnz,lift_vs_cupf_xor_nnz,dump_exists,dump_dim,dump_nnz,dump_pattern_struct_asym_nnz,dump_pattern_vs_cupf_xor_nnz,dump_value_asym_inf,eig_status,raw_spd,sympart_min_eig,sympart_max_eig,sympart_spd,normal_min_eig,normal_max_eig,normal_spd,normal_cond
RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,RT_2024_0420_1932_53535MW_modified_korea_powergrid_zbr,4492,181,4310,8801,14346,0,56101,0,56101,0,0,True,8801,56101,0,0,180773.234375,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case10000_goc,pglib_opf_case10000_goc,10000,1294,8705,18704,35484,0,131150,0,131150,0,0,True,18704,131150,0,0,1323.17919921875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case10192_epigrids,pglib_opf_case10192_epigrids,10189,190,9998,20186,39589,0,155152,0,155152,0,0,True,20186,155152,0,0,3505.7999267578125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case10480_goc,pglib_opf_case10480_goc,10480,338,10141,20620,42694,0,164778,0,164778,0,0,True,20620,164778,0,0,3127.47265625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case118_ieee,pglib_opf_case118_ieee,118,53,64,181,476,0,1051,0,1051,0,0,True,181,1051,0,0,75.19712448120117,computed,False,0.19410847895418848,578.9485639720835,True,0.03774067252612657,336836.6423403997,True,8925030.207323922
case1354_pegase,pglib_opf_case1354_pegase,1354,259,1094,2447,4774,0,15803,0,15803,0,0,True,2447,15803,0,0,16065.501953125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case13659_pegase,pglib_opf_case13659_pegase,13659,4091,9567,23225,50909,0,174703,0,174703,0,0,True,23225,174703,0,0,20548.64453125,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case14_ieee,pglib_opf_case14_ieee,14,4,9,22,54,0,146,0,146,0,0,True,22,146,0,0,21.025980949401855,computed,False,0.5138403124847112,59.353239741822975,True,0.2781961583174955,3808.4376239652393,True,13689.756346738632
case162_ieee_dtc,pglib_opf_case162_ieee_dtc,162,11,150,311,722,0,2767,0,2767,0,0,True,311,2767,0,0,292.3261413574219,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case179_goc,pglib_opf_case179_goc,179,28,150,328,623,0,2284,0,2284,0,0,True,328,2284,0,0,494.70884704589844,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case1803_snem,pglib_opf_case1803_snem,1803,227,1575,3377,6195,0,22739,0,22739,0,0,True,3377,22739,0,0,251284.1875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case1888_rte,pglib_opf_case1888_rte,1888,271,1616,3503,6504,0,24071,0,24071,0,0,True,3503,24071,0,0,21327.494140625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case19402_goc,pglib_opf_case19402_goc,19402,384,19017,38418,78904,0,308694,0,308694,0,0,True,38418,308694,0,0,17743.060546875,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case1951_rte,pglib_opf_case1951_rte,1951,348,1602,3552,6701,0,24314,0,24314,0,0,True,3552,24314,0,0,21327.494140625,skipped_dim,False,nan,nan,False,nan,nan,False,nan
case197_snem,pglib_opf_case197_snem,197,34,162,358,643,0,2302,0,2302,0,0,True,358,2302,0,0,147.3689422607422,skipped_dim,False,nan,nan,False,nan,nan,False,nan
