type vector
size 53
values
0 -0.243
1 0.942
2 0.3
3 0
4 0
5 0.024
6 0.076
7 3.55271e-15
8 0.228
9 0
10 0.058
11 0.112
12 0.062
13 0.082
14 0.035
15 0.09
16 0.032
17 0.095
18 0.022
19 0.175
20 8.88178e-16
21 0.032
22 0.087
23 2.22045e-16
24 0.035
25 2.22045e-16
26 0
27 0.024
28 0.106
29 -0.0126
30 0.2947
31 0.127261
32 0.0903
33 -0.108148
34 -0.227539
35 -0.210005
36 0.016
37 0.025
38 0.018
39 0.058
40 0.009
41 0.034
42 0.007
43 0.112
44 1.33227e-15
45 0.016
46 0.024
47 -8.88178e-16
48 0.023
49 -0.0834794
50 0.0583391
51 0.009
52 0.019
