analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.023415,cuda,30,case30_ieee,mixed,case30_ieee,0.024096,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,0,0.000681,cuda_mixed_edge,True
0.010285,cuda,30,case30_ieee,mixed,case30_ieee,0.010963,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,1,0.000678,cuda_mixed_edge,True
0.010274,cuda,30,case30_ieee,mixed,case30_ieee,0.010946,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,2,0.000671,cuda_mixed_edge,True
0.010464,cuda,30,case30_ieee,mixed,case30_ieee,0.011149,1.293895546262e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,3,0.000685,cuda_mixed_edge,True
0.010264,cuda,30,case30_ieee,mixed,case30_ieee,0.010951,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,4,0.000686,cuda_mixed_edge,True
0.010246,cuda,30,case30_ieee,mixed,case30_ieee,0.010934,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,5,0.000687,cuda_mixed_edge,True
0.010247,cuda,30,case30_ieee,mixed,case30_ieee,0.010941,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,6,0.000694,cuda_mixed_edge,True
0.010261,cuda,30,case30_ieee,mixed,case30_ieee,0.010949,2.26031943699e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,7,0.000687,cuda_mixed_edge,True
0.010273,cuda,30,case30_ieee,mixed,case30_ieee,0.010958,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,8,0.000685,cuda_mixed_edge,True
0.011097,cuda,30,case30_ieee,mixed,case30_ieee,0.011785,1.637230084455e-13,cuda_edge,5,edge_based,0.341154734562,end2end,24,cuda_edge,5,9,0.000687,cuda_mixed_edge,True
0.011759,cuda,118,case118_ieee,mixed,case118_ieee,0.012553,7.139608479071e-11,cuda_edge,5,edge_based,1.002563617495,end2end,64,cuda_edge,53,0,0.000793,cuda_mixed_edge,True
0.011037,cuda,118,case118_ieee,mixed,case118_ieee,0.011834,6.586268456827e-11,cuda_edge,5,edge_based,1.00256361749,end2end,64,cuda_edge,53,1,0.000796,cuda_mixed_edge,True
0.010666,cuda,118,case118_ieee,mixed,case118_ieee,0.011458,6.547194123572e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,2,0.000792,cuda_mixed_edge,True
0.010692,cuda,118,case118_ieee,mixed,case118_ieee,0.011489,6.449852753167e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,3,0.000797,cuda_mixed_edge,True
0.010617,cuda,118,case118_ieee,mixed,case118_ieee,0.011411,6.248779582882e-11,cuda_edge,5,edge_based,1.002563617484,end2end,64,cuda_edge,53,4,0.000793,cuda_mixed_edge,True
0.010757,cuda,118,case118_ieee,mixed,case118_ieee,0.011554,7.191161073612e-11,cuda_edge,5,edge_based,1.002563617487,end2end,64,cuda_edge,53,5,0.000796,cuda_mixed_edge,True
0.010652,cuda,118,case118_ieee,mixed,case118_ieee,0.01146,6.571240919708e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,6,0.000808,cuda_mixed_edge,True
0.010652,cuda,118,case118_ieee,mixed,case118_ieee,0.011457,6.160273818382e-11,cuda_edge,5,edge_based,1.002563617486,end2end,64,cuda_edge,53,7,0.000804,cuda_mixed_edge,True
0.010675,cuda,118,case118_ieee,mixed,case118_ieee,0.011477,7.456612411743e-11,cuda_edge,5,edge_based,1.002563617488,end2end,64,cuda_edge,53,8,0.000801,cuda_mixed_edge,True
0.010659,cuda,118,case118_ieee,mixed,case118_ieee,0.011461,7.280681156912e-11,cuda_edge,5,edge_based,1.002563617489,end2end,64,cuda_edge,53,9,0.000802,cuda_mixed_edge,True
0.013077,cuda,793,case793_goc,mixed,case793_goc,0.014366,9.525975797393e-09,cuda_edge,5,edge_based,1.161718976243,end2end,704,cuda_edge,88,0,0.001288,cuda_mixed_edge,True
0.012707,cuda,793,case793_goc,mixed,case793_goc,0.013996,9.12537993155e-09,cuda_edge,5,edge_based,1.161718976325,end2end,704,cuda_edge,88,1,0.001288,cuda_mixed_edge,True
0.013026,cuda,793,case793_goc,mixed,case793_goc,0.014579,2.770617069103e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,2,0.001553,cuda_mixed_edge,True
0.01262,cuda,793,case793_goc,mixed,case793_goc,0.014183,2.073001479352e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,3,0.001562,cuda_mixed_edge,True
0.012587,cuda,793,case793_goc,mixed,case793_goc,0.014155,2.603806059653e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,4,0.001568,cuda_mixed_edge,True
0.015447,cuda,793,case793_goc,mixed,case793_goc,0.016725,8.985607200057e-09,cuda_edge,5,edge_based,1.161718976051,end2end,704,cuda_edge,88,5,0.001277,cuda_mixed_edge,True
0.012664,cuda,793,case793_goc,mixed,case793_goc,0.014229,1.929595372374e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,6,0.001565,cuda_mixed_edge,True
0.012733,cuda,793,case793_goc,mixed,case793_goc,0.014299,1.825190068533e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,7,0.001566,cuda_mixed_edge,True
0.018295,cuda,793,case793_goc,mixed,case793_goc,0.019875,1.793646221326e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,8,0.00158,cuda_mixed_edge,True
0.013,cuda,793,case793_goc,mixed,case793_goc,0.014569,2.27701107084e-12,cuda_edge,6,edge_based,1.161718975814,end2end,704,cuda_edge,88,9,0.001568,cuda_mixed_edge,True
0.014175,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016277,4.141187393003e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,0,0.002102,cuda_mixed_edge,True
0.013949,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016031,3.974931495065e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,1,0.002082,cuda_mixed_edge,True
0.013578,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.015712,3.780531443454e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,2,0.002133,cuda_mixed_edge,True
0.014372,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016505,3.197608844374e-12,cuda_edge,6,edge_based,0.9675246266079,end2end,1094,cuda_edge,259,3,0.002132,cuda_mixed_edge,True
0.013667,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.015769,5.726275408853e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,4,0.002102,cuda_mixed_edge,True
0.013817,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.01592,4.824807220416e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,5,0.002102,cuda_mixed_edge,True
0.014122,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.016224,4.877737103115e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,6,0.002102,cuda_mixed_edge,True
0.013834,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.015931,3.757781645412e-12,cuda_edge,6,edge_based,0.9675246266077,end2end,1094,cuda_edge,259,7,0.002097,cuda_mixed_edge,True
0.048432,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.050529,4.126143871019e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,8,0.002096,cuda_mixed_edge,True
0.016527,cuda,1354,case1354_pegase,mixed,case1354_pegase,0.018629,4.010680676458e-12,cuda_edge,6,edge_based,0.9675246266078,end2end,1094,cuda_edge,259,9,0.002102,cuda_mixed_edge,True
0.017247,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019575,7.869873317228e-10,cuda_edge,5,edge_based,0.5067134061635,end2end,2396,cuda_edge,349,0,0.002328,cuda_mixed_edge,True
0.016426,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.018716,8.555679295478e-10,cuda_edge,5,edge_based,0.5067134061584,end2end,2396,cuda_edge,349,1,0.002289,cuda_mixed_edge,True
0.016306,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.018585,1.898767369434e-10,cuda_edge,5,edge_based,0.506713406152,end2end,2396,cuda_edge,349,2,0.002279,cuda_mixed_edge,True
0.016298,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.018572,8.921778708424e-10,cuda_edge,5,edge_based,0.5067134061632,end2end,2396,cuda_edge,349,3,0.002274,cuda_mixed_edge,True
0.016606,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019017,4.481690368375e-10,cuda_edge,5,edge_based,0.506713406156,end2end,2396,cuda_edge,349,4,0.002411,cuda_mixed_edge,True
0.016886,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019305,4.092973265737e-10,cuda_edge,5,edge_based,0.5067134061589,end2end,2396,cuda_edge,349,5,0.002419,cuda_mixed_edge,True
0.016983,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019396,5.818552271003e-10,cuda_edge,5,edge_based,0.5067134061644,end2end,2396,cuda_edge,349,6,0.002412,cuda_mixed_edge,True
0.016887,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019302,6.715137781517e-10,cuda_edge,5,edge_based,0.5067134061674,end2end,2396,cuda_edge,349,7,0.002415,cuda_mixed_edge,True
0.01721,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019628,1.899147600956e-10,cuda_edge,5,edge_based,0.5067134061427,end2end,2396,cuda_edge,349,8,0.002417,cuda_mixed_edge,True
0.016921,cuda,2746,case2746wop_k,mixed,case2746wop_k,0.019336,9.44440781281e-10,cuda_edge,5,edge_based,0.5067134061399,end2end,2396,cuda_edge,349,9,0.002414,cuda_mixed_edge,True
