CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.009611,1,0.009611,0.001692,1,0.001692,8.2e-05,1,8.2e-05,6.4e-05,3,0.000192,1.1e-05,4,4.4e-05,5.65e-05,4,0.000226,1.8e-05,1,1.8e-05,0.011306,1,0.011306,0.000324,1,0.000324,0.01165,1,0.01165,1.15e-05,4,4.6e-05,0.00013725,4,0.000549,2.08e-05,5,0.000104,0.000154,5,0.00077,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.00085,1,0.00085,5.8e-05,1,5.8e-05,0.011651,cuda,30,case30_ieee,mixed,case30_ieee,0.012503,1.637230084455e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000851,cuda_mixed_edge,True
0.008818,1,0.008818,0.001591,1,0.001591,7.2e-05,1,7.2e-05,6.433333333333e-05,3,0.000193,1.4e-05,4,5.6e-05,5.65e-05,4,0.000226,1.3e-05,1,1.3e-05,0.010413,1,0.010413,0.000255,1,0.000255,0.010682,1,0.010682,1.125e-05,4,4.5e-05,0.000138,4,0.000552,2.04e-05,5,0.000102,0.0001544,5,0.000772,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000851,1,0.000851,5.8e-05,1,5.8e-05,0.010683,cuda,30,case30_ieee,mixed,case30_ieee,0.011535,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000852,cuda_mixed_edge,True
0.00856,1,0.00856,0.001889,1,0.001889,7.4e-05,1,7.4e-05,6.4e-05,3,0.000192,1.125e-05,4,4.5e-05,5.65e-05,4,0.000226,1.4e-05,1,1.4e-05,0.010452,1,0.010452,0.000256,1,0.000256,0.010723,1,0.010723,1.3e-05,4,5.2e-05,0.0001355,4,0.000542,2.06e-05,5,0.000103,0.0001534,5,0.000767,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000845,1,0.000845,5.7e-05,1,5.7e-05,0.010724,cuda,30,case30_ieee,mixed,case30_ieee,0.011571,1.293895546262e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000846,cuda_mixed_edge,True
0.008549,1,0.008549,0.001583,1,0.001583,7.2e-05,1,7.2e-05,6.433333333333e-05,3,0.000193,1.1e-05,4,4.4e-05,5.75e-05,4,0.00023,1.4e-05,1,1.4e-05,0.010135,1,0.010135,0.000253,1,0.000253,0.010404,1,0.010404,1.125e-05,4,4.5e-05,0.00013575,4,0.000543,2.1e-05,5,0.000105,0.000153,5,0.000765,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000843,1,0.000843,5.7e-05,1,5.7e-05,0.010405,cuda,30,case30_ieee,mixed,case30_ieee,0.011249,2.26031943699e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000844,cuda_mixed_edge,True
0.008551,1,0.008551,0.001594,1,0.001594,7.2e-05,1,7.2e-05,6.4e-05,3,0.000192,1.1e-05,4,4.4e-05,5.675e-05,4,0.000227,1.4e-05,1,1.4e-05,0.010148,1,0.010148,0.000255,1,0.000255,0.010418,1,0.010418,1.125e-05,4,4.5e-05,0.00013525,4,0.000541,2.06e-05,5,0.000103,0.0001524,5,0.000762,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000839,1,0.000839,5.7e-05,1,5.7e-05,0.010419,cuda,30,case30_ieee,mixed,case30_ieee,0.011259,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.00084,cuda_mixed_edge,True
0.008552,1,0.008552,0.001578,1,0.001578,7.1e-05,1,7.1e-05,6.4e-05,3,0.000192,1.125e-05,4,4.5e-05,5.65e-05,4,0.000226,1.4e-05,1,1.4e-05,0.010133,1,0.010133,0.000251,1,0.000251,0.010399,1,0.010399,1.125e-05,4,4.5e-05,0.00013475,4,0.000539,2.06e-05,5,0.000103,0.0001514,5,0.000757,1.6e-05,4,6.4e-05,1.8e-05,1,1.8e-05,0.000836,1,0.000836,5.7e-05,1,5.7e-05,0.0104,cuda,30,case30_ieee,mixed,case30_ieee,0.011238,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000837,cuda_mixed_edge,True
0.008546,1,0.008546,0.001574,1,0.001574,7.2e-05,1,7.2e-05,6.4e-05,3,0.000192,1.125e-05,4,4.5e-05,5.625e-05,4,0.000225,1.4e-05,1,1.4e-05,0.010123,1,0.010123,0.000252,1,0.000252,0.010391,1,0.010391,1.125e-05,4,4.5e-05,0.00013475,4,0.000539,2.06e-05,5,0.000103,0.0001516,5,0.000758,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000837,1,0.000837,5.7e-05,1,5.7e-05,0.010392,cuda,30,case30_ieee,mixed,case30_ieee,0.01123,2.26031943699e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000837,cuda_mixed_edge,True
0.008555,1,0.008555,0.00158,1,0.00158,7.2e-05,1,7.2e-05,6.433333333333e-05,3,0.000193,1.1e-05,4,4.4e-05,5.65e-05,4,0.000226,1.5e-05,1,1.5e-05,0.010138,1,0.010138,0.000258,1,0.000258,0.010412,1,0.010412,1.125e-05,4,4.5e-05,0.00013475,4,0.000539,2.06e-05,5,0.000103,0.0001516,5,0.000758,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000837,1,0.000837,5.7e-05,1,5.7e-05,0.010413,cuda,30,case30_ieee,mixed,case30_ieee,0.011251,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000838,cuda_mixed_edge,True
0.008905,1,0.008905,0.001587,1,0.001587,7.3e-05,1,7.3e-05,6.466666666667e-05,3,0.000194,1.15e-05,4,4.6e-05,5.675e-05,4,0.000227,1.4e-05,1,1.4e-05,0.010496,1,0.010496,0.000253,1,0.000253,0.010764,1,0.010764,1.15e-05,4,4.6e-05,0.0001365,4,0.000546,2.12e-05,5,0.000106,0.0001544,5,0.000772,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000851,1,0.000851,5.8e-05,1,5.8e-05,0.010765,cuda,30,case30_ieee,mixed,case30_ieee,0.011617,2.261128963019e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000852,cuda_mixed_edge,True
0.008564,1,0.008564,0.001583,1,0.001583,7.2e-05,1,7.2e-05,6.433333333333e-05,3,0.000193,1.125e-05,4,4.5e-05,5.7e-05,4,0.000228,1.4e-05,1,1.4e-05,0.01015,1,0.01015,0.000257,1,0.000257,0.010422,1,0.010422,1.175e-05,4,4.7e-05,0.000136,4,0.000544,2.06e-05,5,0.000103,0.000153,5,0.000765,1.625e-05,4,6.5e-05,1.8e-05,1,1.8e-05,0.000846,1,0.000846,5.9e-05,1,5.9e-05,0.010423,cuda,30,case30_ieee,mixed,case30_ieee,0.01127,2.073087293601e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000847,cuda_mixed_edge,True
