nd_label,run_name,source_exp,analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
auto,cuda_edge_nd_auto,20260412,0.010831,0.0107102,0.0106845,0.010662,5.9921800892682303e-05,cuda,case118_ieee,mixed,0.011609,0.0115016,0.011474999999999999,0.011454,5.763525155859207e-05,6.805669096454e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000804,0.0007909,0.000791,0.000778,9.503800409426862e-06,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.010768,0.0105779,0.010554999999999998,0.010511,7.996311649754537e-05,cuda,case118_ieee,mixed,0.011604,0.011412499999999999,0.011387,0.011345,7.97304486657667e-05,7.621421334805e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000843,0.0008343000000000001,0.0008335,0.000829,4.831608887776875e-06,cuda_mixed_edge,True
nd_6,cuda_edge_nd_nd_6,20260413,0.010994,0.010772,0.010731000000000001,0.010702,9.925612211736764e-05,cuda,case118_ieee,mixed,0.011902,0.0116926,0.0116465,0.011603,0.00010150555540352333,9.011008113315e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000943,0.0009203,0.000919,0.000901,1.349114936212297e-05,cuda_mixed_edge,True
nd_7,cuda_edge_nd_nd_7,20260413,0.010916,0.0106472,0.010614499999999999,0.010585,9.91214742962728e-05,cuda,case118_ieee,mixed,0.011703,0.0114353,0.011401999999999999,0.011372,9.935911298584194e-05,7.704976944533e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000793,0.0007876,0.0007875,0.000784,2.5905812303633845e-06,cuda_mixed_edge,True
nd_8,cuda_edge_nd_nd_8,20260412,0.010789,0.0106527,0.010624,0.010608,5.930907743901166e-05,cuda,case118_ieee,mixed,0.011566,0.0114344,0.011407,0.01139,5.7571597935864885e-05,7.502027994279e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.00079,0.0007814,0.000782,0.000775,4.5752959831396e-06,cuda_mixed_edge,True
nd_9,cuda_edge_nd_nd_9,20260412,0.010922,0.0107093,0.01066,0.010631,9.766729237569735e-05,cuda,case118_ieee,mixed,0.011708,0.0114998,0.011453,0.011421,9.694649154158307e-05,7.714243019823e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000794,0.0007899,0.0007905,0.000786,3.4464152068167338e-06,cuda_mixed_edge,True
nd_10,cuda_edge_nd_nd_10,20260412,0.011081,0.0108602,0.0108015,0.010753,0.00010838696108542457,cuda,case118_ieee,mixed,0.011916,0.0117009,0.0116525,0.011592,0.00010787075599994633,7.239264399013e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000856,0.0008404,0.0008395,0.000827,9.179687721631192e-06,cuda_mixed_edge,True
nd_11,cuda_edge_nd_nd_11,20260412,0.010907,0.0107801,0.0107835,0.010713,6.033692438668416e-05,cuda,case118_ieee,mixed,0.011698,0.0115608,0.011567000000000001,0.011487,6.413665965039881e-05,7.616912307456e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000791,0.0007802,0.000778,0.000773,6.321040701937902e-06,cuda_mixed_edge,True
auto,cuda_edge_nd_auto,20260412,0.017281,0.016852,0.0167665,0.016735,0.00018777705456796972,cuda,case1354_pegase,mixed,0.019282,0.0188498,0.0187605,0.018723,0.0001920762580041814,8.971400788892e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002014,0.0019976,0.002002,0.001973,1.4017449443065233e-05,cuda_mixed_edge,True
nd_5,cuda_edge_nd_nd_5,20260413,0.014818,0.0143298,0.014277999999999999,0.014249,0.00017254744919071444,cuda,case1354_pegase,mixed,0.016798,0.0162989,0.0162465,0.016208,0.0001771662433359635,1.047767896568e-11,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.001986,0.0019686,0.0019675,0.001951,1.1127543404643347e-05,cuda_mixed_edge,True
