measurement_mode,case_name,nd_label,source_exp,elapsed_ms_mean,analyze_ms_mean,solve_ms_mean,elapsed_ratio_vs_baseline,elapsed_speedup_vs_baseline,analyze_ratio_vs_baseline,solve_ratio_vs_baseline,runs,success_all
end2end,case118_ieee,auto,20260412,11.5016,10.7102,0.7908999999999999,1.0,1.0,1.0,1.0,10,True
end2end,case118_ieee,nd_5,20260413,11.4125,10.5779,0.8343,0.9922532517214996,1.0078072289156628,0.9876472894997291,1.0548741939562525,10,True
end2end,case118_ieee,nd_6,20260413,11.692599999999999,10.772,0.9203,1.016606385198581,0.9836648820621591,1.005770200369741,1.1636110759893792,10,True
end2end,case118_ieee,nd_7,20260413,11.4353,10.647200000000002,0.7876,0.9942355846143145,1.0057978365237465,0.9941177569046331,0.9958275382475661,10,True
end2end,case118_ieee,nd_8,20260412,11.4344,10.6527,0.7814,0.9941573346317034,1.0058770027286084,0.9946312860637522,0.9879883676823872,10,True
end2end,case118_ieee,nd_9,20260412,11.499799999999999,10.709299999999999,0.7898999999999999,0.9998435000347776,1.000156524461295,0.9999159679557803,0.9987356176507776,10,True
end2end,case118_ieee,nd_10,20260412,11.7009,10.8602,0.8404,1.0173280239271059,0.9829671221871821,1.0140053407032548,1.062586926286509,10,True
end2end,case118_ieee,nd_11,20260412,11.5608,10.780100000000001,0.7802,1.005147109967309,0.9948792471109266,1.0065264887677168,0.9864711088633203,10,True
end2end,case1354_pegase,auto,20260412,18.8498,16.852,1.9976,1.0,1.0,1.0,1.0,10,True
end2end,case1354_pegase,nd_5,20260413,16.298900000000003,14.3298,1.9686000000000001,0.8646723042154296,1.1565074943707854,0.8503323047709471,0.985482579094914,10,True
end2end,case1354_pegase,nd_6,20260413,16.5795,14.6562,1.9224999999999999,0.8795584038026929,1.1369341656865406,0.8697009257061477,0.9624048858630355,10,True
end2end,case1354_pegase,nd_7,20260413,16.9464,15.0026,1.9434,0.8990228013029317,1.11231884057971,0.8902563493947305,0.9728674409291149,10,True
end2end,case1354_pegase,nd_8,20260412,17.4447,15.4971,1.9471,0.9254580950461014,1.0805459537853903,0.9196000474721101,0.9747196635963156,10,True
end2end,case1354_pegase,nd_9,20260412,17.8893,15.979899999999999,1.9089,0.9490445521968403,1.0536913126841185,0.9482494659387609,0.9555967160592711,10,True
end2end,case1354_pegase,nd_10,20260412,19.2162,17.048399999999997,2.1675,1.0194378720198625,0.9809327546549265,1.0116544030382149,1.08505206247497,10,True
end2end,case1354_pegase,nd_11,20260412,19.053300000000004,17.1687,1.8841999999999999,1.0107958705132152,0.9893194354783683,1.0187930215998102,0.9432318782539046,10,True
end2end,case2746wop_k,auto,20260412,24.610799999999998,22.3678,2.2424,1.0,1.0,1.0,1.0,10,True
end2end,case2746wop_k,nd_5,20260413,22.4692,19.579900000000002,2.8888999999999996,0.9129812927657778,1.095312694710982,0.8753610100233372,1.2883071708883338,10,True
end2end,case2746wop_k,nd_6,20260413,21.459200000000003,19.151999999999997,2.3066,0.8719423992718646,1.1468647479868772,0.8562308318207422,1.0286300392436676,10,True
end2end,case2746wop_k,nd_7,20260413,21.7787,19.485,2.2934,0.8849245046889984,1.1300399013715234,0.8711183039905579,1.0227434891188014,10,True
end2end,case2746wop_k,nd_8,20260412,24.3518,21.4208,2.9305,0.9894761649357194,1.0106357640913606,0.9576623539194735,1.3068587227970032,10,True
end2end,case2746wop_k,nd_9,20260412,24.4194,21.8806,2.5380999999999996,0.9922229265200645,1.0078380304184378,0.9782186893659637,1.1318676418123437,10,True
end2end,case2746wop_k,nd_10,20260412,25.165699999999998,22.6534,2.5118,1.0225470118809628,0.9779501464294655,1.0127683545096076,1.120139136639315,10,True
end2end,case2746wop_k,nd_11,20260412,26.543400000000002,24.2511,2.2916999999999996,1.0785265005607296,0.9271909401207078,1.0841969259381792,1.0219853728148411,10,True
end2end,case30_ieee,auto,20260412,10.9326,10.246,0.6859999999999999,1.0,1.0,1.0,1.0,10,True
end2end,case30_ieee,nd_5,20260413,10.8696,10.1813,0.6878,0.9942374183634267,1.0057959814528594,0.99368534062073,1.0026239067055394,10,True
end2end,case30_ieee,nd_6,20260413,11.071299999999999,10.355,0.7160000000000001,1.0126868265554396,0.9874721125793721,1.0106382978723405,1.0437317784256561,10,True
end2end,case30_ieee,nd_7,20260413,10.8723,10.187,0.6849,0.9944843861478513,1.005546204574929,0.9942416552801092,0.998396501457726,10,True
end2end,case30_ieee,nd_8,20260412,10.8925,10.2089,0.683,0.9963320710535463,1.0036814321781042,0.9963790747608823,0.9956268221574346,10,True
end2end,case30_ieee,nd_9,20260412,10.878300000000001,10.1987,0.6792,0.9950332034465726,1.004991588759273,0.9953835643177825,0.9900874635568514,10,True
end2end,case30_ieee,nd_10,20260412,11.1506,10.432500000000001,0.7177,1.019940361853539,0.9804494825390562,1.0182022252586376,1.0462099125364432,10,True
end2end,case30_ieee,nd_11,20260412,11.2318,10.517999999999999,0.7134,1.0273676892962331,0.9733613490268702,1.0265469451493263,1.0399416909620993,10,True
end2end,case4601_goc,auto,20260412,36.4663,32.3485,4.117500000000001,1.0,1.0,1.0,1.0,10,True
end2end,case4601_goc,nd_5,20260413,34.6688,27.9762,6.692,0.9507079138821323,1.0518477709064058,0.8648376277107129,1.625258044930176,10,True
end2end,case4601_goc,nd_6,20260413,32.9582,27.0424,5.9155,0.9037988498970282,1.1064408857279826,0.8359707559855943,1.4366727383120823,10,True
end2end,case4601_goc,nd_7,20260413,31.873600000000003,26.913800000000002,4.9594000000000005,0.8740563204931678,1.1440910345866169,0.8319953011731611,1.204468731026108,10,True
end2end,case4601_goc,nd_8,20260412,33.080400000000004,28.824099999999998,4.255699999999999,0.9071498890756673,1.102353659568808,0.8910490440051315,1.0335640558591375,10,True
end2end,case4601_goc,nd_9,20260412,34.582800000000006,30.4137,4.1684,0.9483495720706517,1.0544634905212993,0.9401888804735922,1.012361870066788,10,True
end2end,case4601_goc,nd_10,20260412,36.388400000000004,32.2617,4.1262,0.9978637810800659,1.0021407921205656,0.9973167225682797,1.0021129326047358,10,True
end2end,case4601_goc,nd_11,20260412,38.6907,34.4662,4.224,1.0609987851797413,0.9425081479528672,1.0654651684003895,1.0258652094717668,10,True
end2end,case793_goc,auto,20260412,15.4729,14.0372,1.435,1.0,1.0,1.0,1.0,10,True
end2end,case793_goc,nd_5,20260413,14.0111,12.591899999999999,1.4186999999999999,0.9055251439613777,1.104331565687205,0.8970378708004444,0.9886411149825782,10,True
end2end,case793_goc,nd_6,20260413,14.4832,12.9381,1.5445,0.9360365542335309,1.0683343460008836,0.9217009090131936,1.0763066202090592,10,True
end2end,case793_goc,nd_7,20260413,14.426400000000001,12.9817,1.4446,0.9323656198902599,1.0725406199744911,0.9248069415552959,1.0066898954703833,10,True
end2end,case793_goc,nd_8,20260412,14.8419,13.2616,1.5797,0.9592190216442943,1.042514772367419,0.9447468156042516,1.1008362369337978,10,True
end2end,case793_goc,nd_9,20260412,15.4004,13.7784,1.6217,0.9953143883822684,1.0047076699306512,0.9815632747271535,1.1301045296167247,10,True
end2end,case793_goc,nd_10,20260412,15.708900000000002,14.2259,1.4824,1.0152524736797888,0.984976669276652,1.0134428518507963,1.0330313588850173,10,True
end2end,case793_goc,nd_11,20260412,15.4502,14.059800000000001,1.3903,0.9985329188452069,1.0014692366441857,1.0016100076938421,0.9688501742160279,10,True
end2end,case8387_pegase,auto,20260412,53.809799999999996,47.7562,6.053,1.0,1.0,1.0,1.0,10,True
end2end,case8387_pegase,nd_5,20260413,50.6125,42.7317,7.8801,0.9405814554226182,1.0631721412694493,0.8947885300756759,1.3018503221543036,10,True
end2end,case8387_pegase,nd_6,20260413,48.7631,41.0769,7.6858,0.9062122512999492,1.103494240522034,0.8601375318806773,1.2697505369238395,10,True
end2end,case8387_pegase,nd_7,20260413,46.8042,40.128,6.6757,0.8698081018699197,1.1496788749727587,0.8402678605081644,1.1028746076325788,10,True
end2end,case8387_pegase,nd_8,20260412,46.7624,40.4564,6.3054,0.8690312916977949,1.1507065505619898,0.8471444545420281,1.0416983314059143,10,True
end2end,case8387_pegase,nd_9,20260412,50.022000000000006,44.0582,5.9631,0.9296076179432001,1.075722682019911,0.9225650282057618,0.985147860565009,10,True
end2end,case8387_pegase,nd_10,20260412,53.76390000000001,47.7975,5.9661,0.9991469955286957,1.0008537327091225,1.0008648091766095,0.9856434825706262,10,True
end2end,case8387_pegase,nd_11,20260412,57.2109,51.460499999999996,5.7503,1.0632059587658755,0.9405515382558217,1.0775668918381278,0.9499917396332398,10,True
end2end,case9241_pegase,auto,20260412,59.2833,52.1002,7.1826,1.0,1.0,1.0,1.0,10,True
end2end,case9241_pegase,nd_5,20260413,61.7764,49.8519,11.9238,1.0420540017171784,0.9596431647036732,0.9568466147922656,1.6600952301395038,10,True
end2end,case9241_pegase,nd_6,20260413,53.9145,45.1168,8.7974,0.9094382397741017,1.0995798903819938,0.865962126824849,1.224821095425055,10,True
end2end,case9241_pegase,nd_7,20260413,52.8234,44.1555,8.6674,0.8910333938900162,1.1222923931439475,0.8475111419917775,1.2067217999053268,10,True
end2end,case9241_pegase,nd_8,20260412,52.6984,44.6035,8.0944,0.8889248742900615,1.1249544578203512,0.8561099573514113,1.1269456742683708,10,True
end2end,case9241_pegase,nd_9,20260412,57.4801,49.130399999999995,8.3491,0.9695833396588922,1.031370857044438,0.9429982994307122,1.162406370952023,10,True
end2end,case9241_pegase,nd_10,20260412,61.1735,52.8577,8.3154,1.0318841899826765,0.9691009996158467,1.0145392915958096,1.1577144766519087,10,True
end2end,case9241_pegase,nd_11,20260412,62.7012,55.8672,6.8335,1.057653673125484,0.9454890815486785,1.0723029854012076,0.9513964302620221,10,True
operators,case118_ieee,auto,20260412,11.5725,10.717600000000001,0.8542000000000001,1.0,1.0,1.0,1.0,10,True
operators,case118_ieee,nd_5,20260413,11.4796,10.5807,0.8983,0.9919723482393605,1.0080926164674728,0.9872266178995297,1.0516272535705922,10,True
operators,case118_ieee,nd_6,20260413,11.6156,10.6838,0.9313,1.0037243465111256,0.9962894727779882,0.9968463088751212,1.0902598922968858,10,True
operators,case118_ieee,nd_7,20260413,11.4906,10.6285,0.8616,0.9929228775113416,1.0071275651402014,0.991686571620512,1.0086630765628657,10,True
operators,case118_ieee,nd_8,20260412,11.518,10.6568,0.8608,0.9952905595160942,1.0047317242576836,0.9943270881540643,1.0077265277452587,10,True
operators,case118_ieee,nd_9,20260412,11.5268,10.6694,0.8569,0.996050982933679,1.0039646736301489,0.9955027244905574,1.003160852259424,10,True
operators,case118_ieee,nd_10,20260412,11.899,10.9343,0.9644,1.0282134370274356,0.9725607193881839,1.0202190788982608,1.1290095996253804,10,True
operators,case118_ieee,nd_11,20260412,11.6709,10.8135,0.8569,1.00850291639663,0.9915687736164306,1.0089478987833096,1.003160852259424,10,True
operators,case1354_pegase,auto,20260412,18.9556,16.8414,2.1134999999999997,1.0,1.0,1.0,1.0,10,True
operators,case1354_pegase,nd_5,20260413,16.4298,14.3599,2.0692,0.8667517778387389,1.1537328512824259,0.8526547674183856,0.9790395079252426,10,True
operators,case1354_pegase,nd_6,20260413,16.602099999999997,14.5853,2.0162999999999998,0.8758414399966234,1.1417591750441212,0.8660384528602135,0.9540099361249113,10,True
operators,case1354_pegase,nd_7,20260413,17.0914,15.0338,2.057,0.9016543923695373,1.1090723989842846,0.892669255525075,0.9732670925005915,10,True
operators,case1354_pegase,nd_8,20260412,17.5102,15.464699999999999,2.045,0.9237481272025154,1.082546173087686,0.9182550144287291,0.9675893068370003,10,True
operators,case1354_pegase,nd_9,20260412,18.088800000000003,16.0466,2.0417,0.9542720884593472,1.047919154393879,0.9528067737836523,0.9660279157795129,10,True
operators,case1354_pegase,nd_10,20260412,19.349800000000002,16.9954,2.3538,1.0207959653084049,0.9796276964102988,1.0091441329105657,1.113697657913414,10,True
operators,case1354_pegase,nd_11,20260412,19.127200000000002,17.1674,1.9594999999999998,1.0090527337567792,0.9910284829980341,1.0193570605769118,0.927135083983913,10,True
operators,case2746wop_k,auto,20260412,24.7055,22.3755,2.3294,1.0,1.0,1.0,1.0,10,True
operators,case2746wop_k,nd_5,20260413,22.613999999999997,19.6232,2.9902,0.915342737447127,1.0924869549836387,0.876994927487654,1.2836782003949514,10,True
operators,case2746wop_k,nd_6,20260413,21.512,19.111900000000002,2.3994999999999997,0.8707372852198904,1.148452026775753,0.8541440414739336,1.030093586331244,10,True
operators,case2746wop_k,nd_7,20260413,21.9406,19.524199999999997,2.416,0.888085648944567,1.1260175200313574,0.8725704453531764,1.0371769554391688,10,True
operators,case2746wop_k,nd_8,20260412,23.042099999999998,20.6707,2.3709,0.9326708627633522,1.072189600774235,0.9238095238095239,1.0178157465441744,10,True
operators,case2746wop_k,nd_9,20260412,23.8487,21.4834,2.3648000000000002,0.9653194632774079,1.0359264865590159,0.9601304998770978,1.0151970464497295,10,True
operators,case2746wop_k,nd_10,20260412,25.3833,22.719199999999997,2.6637000000000004,1.0274351864969338,0.9732974041988237,1.0153605506022212,1.1435133510775308,10,True
operators,case2746wop_k,nd_11,20260412,27.2082,24.5114,2.6966,1.1013013296634353,0.9080167008475386,1.0954570847578824,1.1576371597836352,10,True
operators,case30_ieee,auto,20260412,11.029499999999999,10.270299999999999,0.7586,1.0,1.0,1.0,1.0,10,True
operators,case30_ieee,nd_5,20260413,10.9996,10.2485,0.7506,0.9972890883539599,1.0027182806647514,0.9978773745654947,0.9894542578433957,10,True
operators,case30_ieee,nd_6,20260413,10.9379,10.1817,0.7559999999999999,0.9916949997733353,1.0083745508735678,0.9913731828671023,0.9965726337991034,10,True
operators,case30_ieee,nd_7,20260413,10.9521,10.200600000000001,0.7512000000000001,0.992982456140351,1.007067137809187,0.993213440697935,0.9902451885051411,10,True
operators,case30_ieee,nd_8,20260412,10.952399999999999,10.2056,0.7466,0.9930096559227526,1.0070395529746905,0.9937002813939224,0.9841813867650936,10,True
operators,case30_ieee,nd_9,20260412,10.975999999999999,10.2241,0.7514000000000001,0.9951493721383563,1.0048742711370262,0.995501591969076,0.9905088320590562,10,True
operators,case30_ieee,nd_10,20260412,11.2928,10.4486,0.8438,1.0238723423545946,0.9766842589968829,1.017360739218913,1.1123121539678353,10,True
operators,case30_ieee,nd_11,20260412,11.0841,10.331999999999999,0.7516,1.0049503603971168,0.9950740249546647,1.0060076141884853,0.9907724756129712,10,True
operators,case4601_goc,auto,20260412,36.5397,32.3325,4.2066,1.0,1.0,1.0,1.0,10,True
operators,case4601_goc,nd_5,20260413,34.8495,28.0611,6.7879000000000005,0.9537434625900048,1.048499978478888,0.8678914405010437,1.6136309608710124,10,True
operators,case4601_goc,nd_6,20260413,33.090599999999995,27.069300000000002,6.0209,0.9056067783807746,1.1042320175518126,0.8372164231036883,1.4312984357913756,10,True
operators,case4601_goc,nd_7,20260413,32.0097,26.956,5.0535,0.8760252547229451,1.141519601870683,0.8337122090775535,1.20132648694908,10,True
operators,case4601_goc,nd_8,20260412,33.2594,28.8669,4.392,0.9102264112732178,1.0986277563636146,0.8928137323126885,1.0440735986307232,10,True
operators,case4601_goc,nd_9,20260412,34.732800000000005,30.4765,4.2557,0.9505496761057152,1.0520228717523494,0.9425964586716152,1.0116721342652024,10,True
operators,case4601_goc,nd_10,20260412,37.410399999999996,32.6232,4.7867999999999995,1.0238288765370267,0.9767257233282726,1.0089909533750867,1.137926116103266,10,True
operators,case4601_goc,nd_11,20260412,38.8375,34.490399999999994,4.3464,1.0628850264233147,0.9408355326681688,1.0667408953839013,1.0332334902296392,10,True
operators,case793_goc,auto,20260412,15.501299999999999,14.0172,1.4838,1.0,1.0,1.0,1.0,10,True
operators,case793_goc,nd_5,20260413,14.0946,12.5864,1.5079,0.9092527723481257,1.0998041803243794,0.8979254059298575,1.0162420811430113,10,True
operators,case793_goc,nd_6,20260413,14.1886,12.750900000000001,1.4372,0.9153167798829775,1.092517936935286,0.9096609879291158,0.9685941501550074,10,True
operators,case793_goc,nd_7,20260413,14.4923,12.991599999999998,1.5003,0.9349086850780258,1.069623179205509,0.9268327483377563,1.0111200970481196,10,True
operators,case793_goc,nd_8,20260412,14.8706,13.284799999999999,1.585,0.959313089869882,1.0424125455596949,0.9477499072567986,1.068203261895134,10,True
operators,case793_goc,nd_9,20260412,15.823,13.923599999999999,1.8988,1.020753098127254,0.9796688365038234,0.993322489512884,1.2796872893921014,10,True
operators,case793_goc,nd_10,20260412,15.953999999999999,14.2469,1.7064000000000001,1.029204002244973,0.9716246709289207,1.0163870102445567,1.1500202183582693,10,True
operators,case793_goc,nd_11,20260412,15.653699999999999,14.1321,1.5211000000000001,1.0098314334926748,0.9902642825657831,1.0081970721684785,1.025138158781507,10,True
operators,case8387_pegase,auto,20260412,53.9607,47.8503,6.11,1.0,1.0,1.0,1.0,10,True
operators,case8387_pegase,nd_5,20260413,50.7521,42.7544,7.997300000000001,0.9405382065095522,1.0632210292776063,0.8935032800212329,1.3088870703764321,10,True
operators,case8387_pegase,nd_6,20260413,49.0081,41.17550000000001,7.832199999999999,0.9082183885679762,1.101056764085937,0.8605066216930721,1.2818657937806872,10,True
