case_name,metric,AUTO_ms,5_ms,6_ms,7_ms,8_ms,9_ms,10_ms,11_ms
case118_ieee,cudss_analysis_ms,8.9081,8.749600000000001,8.8079,8.8135,8.838,8.8525,8.9571,8.9579
case118_ieee,cudss_factorization_ms,0.0757,0.077,0.0837,0.0764,0.0769,0.0765,0.0829,0.07629999999999999
case118_ieee,cudss_refactorization_ms,0.06936666666666799,0.070100000000002,0.076899999999999,0.069766666666669,0.070166666666664,0.06963333333333199,0.075433333333333,0.069833333333334
case118_ieee,cudss_solve_ms,0.061325,0.072275,0.07275,0.061425,0.061425,0.061175,0.067925,0.06165
case118_ieee,nr_iteration_linear_solve_ms,0.1429,0.15485,0.16225,0.143975,0.14415,0.14350000000000002,0.158475,0.14385
case1354_pegase,cudss_analysis_ms,14.5645,12.1236,12.3464,12.7542,13.2048,13.751999999999999,14.6149,14.9123
case1354_pegase,cudss_factorization_ms,0.2835,0.19779999999999998,0.1829,0.2757,0.2738,0.27290000000000003,0.31,0.2659
case1354_pegase,cudss_refactorization_ms,0.17504999999999998,0.190825,0.175425,0.1689,0.166575,0.1677,0.1807,0.16244999999999998
case1354_pegase,cudss_solve_ms,0.12346,0.11882000000000001,0.12464,0.11824,0.1167,0.11534,0.12840000000000001,0.10744
case1354_pegase,nr_iteration_linear_solve_ms,0.33555999999999997,0.3265,0.3166,0.32394,0.3213,0.31996,0.35904,0.3055
case2746wop_k,cudss_analysis_ms,19.717200000000002,16.938,16.442,16.848,17.9818,18.8079,19.833,21.6422
case2746wop_k,cudss_factorization_ms,0.3825,0.4583,0.315,0.39790000000000003,0.3827,0.3832,0.418,0.41859999999999997
case2746wop_k,cudss_refactorization_ms,0.27450000000001,0.45333333333333,0.30913333333334,0.28940000000001,0.27476666666667,0.27233333333334,0.28053333333332,0.28753333333333
case2746wop_k,cudss_solve_ms,0.15265,0.16342500000000001,0.158325,0.156875,0.158925,0.160675,0.158975,0.16355
case2746wop_k,nr_iteration_linear_solve_ms,0.47450000000000003,0.63915,0.490525,0.494575,0.482525,0.482125,0.5097499999999999,0.5191
case30_ieee,cudss_analysis_ms,8.474,8.4029,8.3994,8.4185,8.414200000000001,8.4376,8.5236,8.5379
case30_ieee,cudss_factorization_ms,0.0669,0.0658,0.06549999999999999,0.06620000000000001,0.066,0.0661,0.0713,0.0659
case30_ieee,cudss_refactorization_ms,0.059866666666666,0.058499999999999,0.063500000000002,0.058733333333333,0.058499999999999,0.058833333333334,0.063866666666666,0.058633333333333995
case30_ieee,cudss_solve_ms,0.051399999999999994,0.051025,0.050275,0.050825,0.050625,0.0509,0.0564,0.05125
case30_ieee,nr_iteration_linear_solve_ms,0.123575,0.12185,0.12465,0.12225,0.12145,0.1224,0.1347,0.122375
case4601_goc,cudss_analysis_ms,28.8927,24.5821,23.6124,23.4864,25.3594,27.0138,28.9801,30.9282
case4601_goc,cudss_factorization_ms,0.5543,1.0399,0.8917,0.702,0.5868,0.5601,0.5839,0.5702999999999999
case4601_goc,cudss_refactorization_ms,0.45105,0.93995,0.7872,0.59715,0.48105,0.4544,0.462375,0.461875
case4601_goc,cudss_solve_ms,0.21496,0.23966,0.23612,0.2314,0.21660000000000001,0.21714,0.22058,0.21933999999999998
case4601_goc,nr_iteration_linear_solve_ms,0.71252,1.22738,1.07314,0.87758,0.74614,0.71974,0.75974,0.7324
case793_goc,cudss_analysis_ms,11.999,10.548399999999999,10.7254,10.9679,11.2415,11.7582,12.0419,12.0727
case793_goc,cudss_factorization_ms,0.2202,0.1337,0.1263,0.1252,0.2283,0.2592,0.25279999999999997,0.2191
case793_goc,cudss_refactorization_ms,0.11414166666666001,0.12683333333333,0.11914166666666,0.11875,0.121225,0.1325,0.11989166666667,0.11384166666667
case793_goc,cudss_solve_ms,0.08444,0.09861,0.096575,0.09935,0.09926,0.10711999999999999,0.08991,0.08369499999999999
case793_goc,nr_iteration_linear_solve_ms,0.235015,0.240405,0.23097,0.23300500000000002,0.257125,0.28398,0.256935,0.232335
case8387_pegase,cudss_analysis_ms,42.6591,37.57,36.0007,34.8885,35.4031,38.879799999999996,42.9536,46.2529
case8387_pegase,cudss_factorization_ms,0.6567000000000001,0.9739,0.9276,0.7617,0.6922,0.6738,0.6903,0.632
case8387_pegase,cudss_refactorization_ms,0.55754,0.86558,0.83262,0.66094,0.5945,0.57454,0.575,0.53262
case8387_pegase,cudss_solve_ms,0.24220000000001,0.24943333333334,0.25613333333334,0.25863333333335,0.25709999999999,0.22038333333334,0.24665,0.22581666666668
case8387_pegase,nr_iteration_linear_solve_ms,0.85321666666666,1.1689333333332,1.1408666666667,0.97178333333333,0.90754999999999,0.84945,0.91875,0.8139833333333301
case9241_pegase,cudss_analysis_ms,46.5733,42.025800000000004,39.4603,38.588300000000004,39.082100000000004,42.8902,46.9092,50.3801
case9241_pegase,cudss_factorization_ms,0.6906,0.9707,0.9242,0.8866,0.8123,0.6952,0.7167,0.6414
case9241_pegase,cudss_refactorization_ms,0.59258333333333,0.85735000000001,0.81871666666667,0.79619999999999,0.71848333333333,0.59578333333333,0.6199,0.5448
case9241_pegase,cudss_solve_ms,0.24175714285716,0.25815714285714,0.2607,0.26677142857142,0.26355714285715,0.23378571428571,0.24739999999999002,0.24848571428572
case9241_pegase,nr_iteration_linear_solve_ms,0.89332857142858,1.1729428571428,1.1376428571429,1.1141714285715,1.0339142857142,0.8863142857142899,0.96698571428572,0.85014285714286
