measurement_mode,case_name,AUTO_elapsed_ms,5_elapsed_ms,6_elapsed_ms,7_elapsed_ms,8_elapsed_ms,9_elapsed_ms,10_elapsed_ms,11_elapsed_ms
end2end,case118_ieee,11.5016,11.4125,11.692599999999999,11.4353,11.4344,11.499799999999999,11.7009,11.5608
end2end,case1354_pegase,18.8498,16.298900000000003,16.5795,16.9464,17.4447,17.8893,19.2162,19.053300000000004
end2end,case2746wop_k,24.610799999999998,22.4692,21.459200000000003,21.7787,24.3518,24.4194,25.165699999999998,26.543400000000002
end2end,case30_ieee,10.9326,10.8696,11.071299999999999,10.8723,10.8925,10.878300000000001,11.1506,11.2318
end2end,case4601_goc,36.4663,34.6688,32.9582,31.873600000000003,33.080400000000004,34.582800000000006,36.388400000000004,38.6907
end2end,case793_goc,15.4729,14.0111,14.4832,14.426400000000001,14.8419,15.4004,15.708900000000002,15.4502
end2end,case8387_pegase,53.809799999999996,50.6125,48.7631,46.8042,46.7624,50.022000000000006,53.76390000000001,57.2109
end2end,case9241_pegase,59.2833,61.7764,53.9145,52.8234,52.6984,57.4801,61.1735,62.7012
operators,case118_ieee,11.5725,11.4796,11.6156,11.4906,11.518,11.5268,11.899,11.6709
operators,case1354_pegase,18.9556,16.4298,16.602099999999997,17.0914,17.5102,18.088800000000003,19.349800000000002,19.127200000000002
operators,case2746wop_k,24.7055,22.613999999999997,21.512,21.9406,23.042099999999998,23.8487,25.3833,27.2082
operators,case30_ieee,11.029499999999999,10.9996,10.9379,10.9521,10.952399999999999,10.975999999999999,11.2928,11.0841
operators,case4601_goc,36.5397,34.8495,33.090599999999995,32.0097,33.2594,34.732800000000005,37.410399999999996,38.8375
operators,case793_goc,15.501299999999999,14.0946,14.1886,14.4923,14.8706,15.823,15.953999999999999,15.653699999999999
operators,case8387_pegase,53.9607,50.7521,49.0081,46.8455,46.991400000000006,50.194,55.709500000000006,57.29
operators,case9241_pegase,59.502,56.9405,54.2117,53.0432,52.9267,55.7618,61.4846,62.982
