CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.008465,1,0.008465,0.001672,1,0.001672,6.5e-05,1,6.5e-05,5.833333333333e-05,3,0.000175,9e-06,4,3.6e-05,5.05e-05,4,0.000202,2e-05,1,2e-05,0.010141,1,0.010141,0.000245,1,0.000245,0.010408,1,0.010408,9.5e-06,4,3.8e-05,0.0001205,4,0.000482,1.8e-05,5,9e-05,0.0001352,5,0.000676,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.00074,1,0.00074,4.6e-05,1,4.6e-05,0.010409,cuda,30,case30_ieee,mixed,case30_ieee,0.011151,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000742,cuda_mixed_edge,True
0.008416,1,0.008416,0.001557,1,0.001557,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.5e-06,4,3.8e-05,5.125e-05,4,0.000205,1.3e-05,1,1.3e-05,0.009976,1,0.009976,0.000206,1,0.000206,0.010197,1,0.010197,1e-05,4,4e-05,0.00012225,4,0.000489,1.82e-05,5,9.1e-05,0.0001374,5,0.000687,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000752,1,0.000752,4.7e-05,1,4.7e-05,0.010198,cuda,30,case30_ieee,mixed,case30_ieee,0.010952,2.735805010015e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000753,cuda_mixed_edge,True
0.008405,1,0.008405,0.001555,1,0.001555,6.6e-05,1,6.6e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.4e-05,1,1.4e-05,0.009963,1,0.009963,0.000218,1,0.000218,0.010197,1,0.010197,1e-05,4,4e-05,0.0001225,4,0.00049,1.92e-05,5,9.6e-05,0.000138,5,0.00069,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000757,1,0.000757,4.7e-05,1,4.7e-05,0.010198,cuda,30,case30_ieee,mixed,case30_ieee,0.010956,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000758,cuda_mixed_edge,True
0.00841,1,0.00841,0.001556,1,0.001556,6.6e-05,1,6.6e-05,5.833333333333e-05,3,0.000175,9e-06,4,3.6e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.009969,1,0.009969,0.000209,1,0.000209,0.010194,1,0.010194,9.75e-06,4,3.9e-05,0.00012175,4,0.000487,1.82e-05,5,9.1e-05,0.0001366,5,0.000683,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000749,1,0.000749,4.7e-05,1,4.7e-05,0.010194,cuda,30,case30_ieee,mixed,case30_ieee,0.010945,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.00075,cuda_mixed_edge,True
0.008388,1,0.008388,0.001556,1,0.001556,6.6e-05,1,6.6e-05,5.833333333333e-05,3,0.000175,9e-06,4,3.6e-05,5.075e-05,4,0.000203,1.3e-05,1,1.3e-05,0.009947,1,0.009947,0.000216,1,0.000216,0.010177,1,0.010177,9.75e-06,4,3.9e-05,0.0001215,4,0.000486,1.8e-05,5,9e-05,0.0001364,5,0.000682,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000747,1,0.000747,4.7e-05,1,4.7e-05,0.010178,cuda,30,case30_ieee,mixed,case30_ieee,0.010927,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000749,cuda_mixed_edge,True
0.00838,1,0.00838,0.001564,1,0.001564,6.6e-05,1,6.6e-05,5.866666666667e-05,3,0.000176,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.3e-05,1,1.3e-05,0.009947,1,0.009947,0.00021,1,0.00021,0.010172,1,0.010172,9.75e-06,4,3.9e-05,0.000122,4,0.000488,1.82e-05,5,9.1e-05,0.000137,5,0.000685,1.5e-05,4,6e-05,1.6e-05,1,1.6e-05,0.00075,1,0.00075,4.7e-05,1,4.7e-05,0.010173,cuda,30,case30_ieee,mixed,case30_ieee,0.010925,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000751,cuda_mixed_edge,True
0.008395,1,0.008395,0.001563,1,0.001563,6.6e-05,1,6.6e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.3e-05,1,1.3e-05,0.009961,1,0.009961,0.000217,1,0.000217,0.010193,1,0.010193,1e-05,4,4e-05,0.0001215,4,0.000486,1.8e-05,5,9e-05,0.0001364,5,0.000682,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000749,1,0.000749,4.8e-05,1,4.8e-05,0.010194,cuda,30,case30_ieee,mixed,case30_ieee,0.010944,2.735805010015e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000749,cuda_mixed_edge,True
0.008388,1,0.008388,0.001633,1,0.001633,6.6e-05,1,6.6e-05,5.866666666667e-05,3,0.000176,9.25e-06,4,3.7e-05,5.15e-05,4,0.000206,1.3e-05,1,1.3e-05,0.010024,1,0.010024,0.000209,1,0.000209,0.010248,1,0.010248,9.75e-06,4,3.9e-05,0.0001225,4,0.00049,1.82e-05,5,9.1e-05,0.0001374,5,0.000687,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000751,1,0.000751,4.7e-05,1,4.7e-05,0.010249,cuda,30,case30_ieee,mixed,case30_ieee,0.011001,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000752,cuda_mixed_edge,True
0.008386,1,0.008386,0.001876,1,0.001876,6.5e-05,1,6.5e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.3e-05,1,1.3e-05,0.010265,1,0.010265,0.000218,1,0.000218,0.010498,1,0.010498,9.75e-06,4,3.9e-05,0.00012175,4,0.000487,1.82e-05,5,9.1e-05,0.0001368,5,0.000684,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000748,1,0.000748,4.7e-05,1,4.7e-05,0.010499,cuda,30,case30_ieee,mixed,case30_ieee,0.011249,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000749,cuda_mixed_edge,True
0.008396,1,0.008396,0.001559,1,0.001559,6.6e-05,1,6.6e-05,5.866666666667e-05,3,0.000176,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.4e-05,1,1.4e-05,0.009958,1,0.009958,0.000218,1,0.000218,0.010192,1,0.010192,9.5e-06,4,3.8e-05,0.00012225,4,0.000489,1.82e-05,5,9.1e-05,0.000137,5,0.000685,1.5e-05,4,6e-05,1.6e-05,1,1.6e-05,0.000752,1,0.000752,4.7e-05,1,4.7e-05,0.010193,cuda,30,case30_ieee,mixed,case30_ieee,0.010946,1.986674713628e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000753,cuda_mixed_edge,True
