case,solver,converged,outer_iterations,final_mismatch,linear_tol,inner_max_iter,gmres_restart,fd_eps,preconditioner,total_jv_calls,total_inner_iterations,max_inner_iterations,linear_failures,failure_reason,total_sec,mismatch_sec,linear_solve_sec,preconditioner_setup_sec,voltage_update_sec,jv_sec,jv_mismatch_sec,jv_update_sec
case_ACTIVSg200,fgmres,true,4,4.60789231533528688e-09,1.00000000000000002e-02,500,30,auto,amg_fd,137,76,36,0,none,7.95026451000000023e-01,4.91884899999999944e-03,4.76129100999999999e-01,2.99354387000000000e-01,1.10868999999999985e-04,1.68368930000000090e-02,2.85210000000000097e-04,8.79618999999999562e-04
case_ACTIVSg500,fgmres,true,5,6.64945784477140132e-09,1.00000000000000002e-02,500,30,auto,amg_fd,202,82,27,0,none,4.08751839999999977e-01,1.93870000000000012e-04,4.05185748000000012e-01,2.51403617999999995e-01,1.09749999999999998e-04,7.41359499999999939e-03,5.72400000000000252e-04,1.76791499999999968e-03
MemphisCase2026_Mar7,fgmres,false,3,2.29952943811562172e-07,1.00000000000000002e-02,500,30,auto,amg_fd,1068,939,500,1,linear_max_inner_iterations,9.07593230000000029e-01,1.53840000000000004e-04,9.01172646000000022e-01,1.91027991000000008e-01,8.05790000000000022e-05,3.50145389999999557e-02,3.21560000000000465e-03,9.91367000000000290e-03
case_ACTIVSg2000,fgmres,true,6,8.82022233028578739e-10,1.00000000000000002e-02,500,30,auto,amg_fd,656,536,206,0,none,9.05569716999999996e-01,3.45950000000000034e-04,8.90657981000000043e-01,3.41496087999999975e-01,1.19509999999999999e-04,2.05602660000000145e-02,1.64304800000000090e-03,5.09202200000000420e-03
Base_Florida_42GW,fgmres,false,2,1.39964381768076223e+01,1.00000000000000002e-02,500,30,auto,amg_fd,593,512,500,1,linear_max_inner_iterations,6.53469889000000026e-01,1.81559999999999990e-04,6.19885016999999983e-01,1.54231767999999991e-01,2.12599999999999997e-05,2.03641080000000023e-02,1.78918600000000142e-03,5.50878400000000268e-03
Texas7k_20220923,fgmres,false,2,1.56696866067373465e-02,1.00000000000000002e-02,500,30,auto,amg_fd,605,535,500,1,linear_max_inner_iterations,9.88395656999999983e-01,1.80150000000000015e-04,9.46688054000000001e-01,1.88473769000000013e-01,3.08899999999999973e-05,4.39569279999999021e-02,1.82734399999999984e-03,5.59752600000000110e-03
Base_Texas_66GW,fgmres,false,1,9.90262319344648034e+01,1.00000000000000002e-02,500,30,auto,amg_fd,541,500,500,1,linear_max_inner_iterations,5.55334251999999973e-01,8.29700000000000001e-05,5.13088440999999951e-01,7.99870040000000004e-02,0.00000000000000000e+00,1.80643409999999977e-02,1.82296500000000061e-03,5.03656399999999511e-03
Base_MIOHIN_76GW,fgmres,false,2,8.36100142641989841e+00,1.00000000000000002e-02,500,30,auto,amg_fd,688,604,500,1,linear_max_inner_iterations,8.39136859000000013e-01,2.26540000000000010e-04,7.77368303000000038e-01,1.77863963999999986e-01,3.21199999999999974e-05,2.38536049999999583e-02,2.08392700000000061e-03,6.40357200000000581e-03
Base_West_Interconnect_121GW,fgmres,false,1,3.20489705451276308e+01,1.00000000000000002e-02,500,30,auto,amg_fd,576,500,500,1,linear_max_inner_iterations,8.36322568000000044e-01,2.08550000000000001e-04,7.12580636999999961e-01,1.14775090999999996e-01,0.00000000000000000e+00,2.34018460000000109e-02,1.74303599999999924e-03,5.56518599999999541e-03
case_ACTIVSg25k,fgmres,false,1,4.57794500514584755e+01,1.00000000000000002e-02,500,30,auto,amg_fd,541,500,500,1,linear_max_inner_iterations,1.14032701199999997e+00,2.14989000000000011e-04,1.01171621099999998e+00,1.10439413000000000e-01,0.00000000000000000e+00,5.37288680000000129e-02,1.64205400000000086e-03,5.27007599999999334e-03
case_ACTIVSg70k,fgmres,false,1,1.30121074113438510e+02,1.00000000000000002e-02,500,30,auto,amg_fd,552,500,500,1,linear_max_inner_iterations,1.34273483299999996e+00,5.70998999999999986e-04,9.73611122999999967e-01,2.05248521999999989e-01,0.00000000000000000e+00,2.93287310000000072e-02,1.64114700000000100e-03,5.08564699999999870e-03
Base_Eastern_Interconnect_515GW,fgmres,false,1,5.13700457878366592e+02,1.00000000000000002e-02,500,30,auto,amg_fd,549,500,500,1,linear_max_inner_iterations,1.51835649100000003e+00,3.54239000000000008e-04,1.07678699800000000e+00,2.55532735999999983e-01,0.00000000000000000e+00,3.07521549999999894e-02,1.67562800000000192e-03,5.18188300000000344e-03
