analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.010978,0.0108097,0.0107745,0.010692,0.00011409065596172969,cuda,case118_ieee,mixed,0.011839,0.0116717,0.011644999999999999,0.011555,0.00011156866346186421,7.343758934297e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000871,0.0008613,0.000862,0.000851,6.515792780280512e-06,cuda_mixed_edge,True
0.117969,0.0419457,0.014697,0.014535,0.04502784296175966,cuda,case1354_pegase,mixed,0.12028,0.0441012,0.016814500000000003,0.016638,0.04511035700935109,8.222074527057e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002311,0.002155,0.0021085,0.002089,8.368459303307335e-05,cuda_mixed_edge,True
0.017754,0.0173454,0.017314000000000003,0.016941,0.00025831083773022144,cuda,case2746wop_k,mixed,0.020128,0.0197641,0.0197705,0.019243,0.00029733835944929836,7.933786516053e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.00253,0.0024181,0.0024549999999999997,0.002299,8.183377460845053e-05,cuda_mixed_edge,True
0.011145,0.0105472,0.0104415,0.010396,0.00023335990324913254,cuda,case30_ieee,mixed,0.011897,0.0112968,0.011208,0.011134,0.0002358897105758442,2.53326813439e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000776,0.0007492,0.0007505000000000001,0.000736,1.2568037060557847e-05,cuda_mixed_edge,True
0.070278,0.0277021,0.021551,0.021285,0.015402261972768082,cuda,case4601_goc,mixed,0.074519,0.0319406,0.025808499999999998,0.025504,0.01540570038943017,5.578335571244e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004289,0.0042380000000000004,0.004226,0.004218,2.408780235351954e-05,cuda_mixed_edge,True
0.013564,0.0130711,0.0129985,0.012983,0.00018030865511980032,cuda,case793_goc,mixed,0.015169,0.014622099999999999,0.014543,0.014513,0.00020086615222857034,2.707202382786e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.001604,0.0015504,0.001544,0.001528,2.104070129798695e-05,cuda_mixed_edge,True
0.071822,0.037086,0.0317705,0.030093,0.012898354864951661,cuda,case8387_pegase,mixed,0.077934,0.043223700000000004,0.0378935,0.036226,0.012888973056669627,4.537929587656e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.00632,0.0061373,0.006111500000000001,0.006077,7.00667142403898e-05,cuda_mixed_edge,True
0.123298,0.0645112,0.0494135,0.032139,0.039179655215997554,cuda,case9241_pegase,mixed,0.130991,0.0719219,0.056782,0.039395,0.03922894744799786,2.550425801107e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007693,0.0074102,0.007437,0.007256,0.00014211325686851943,cuda_mixed_edge,True
0.0715,0.024964899999999998,0.0115105,0.010687,0.022788618355320367,cuda,case118_ieee,fp64,0.072526,0.0259701,0.0125125,0.011681,0.022795231272497905,6.149927833685e-11,cuda_fp64_edge,5.0,edge_based,operators,cuda_fp64_edge,10,0.001025,0.0010046,0.0010025,0.000994,8.235424835563884e-06,cuda_fp64_edge,True
0.015115,0.0147168,0.0146995,0.014263,0.00021920857647455313,cuda,case1354_pegase,fp64,0.017866,0.0174368,0.017407,0.017,0.000220877442135779,4.516170921764e-12,cuda_fp64_edge,6.0,edge_based,operators,cuda_fp64_edge,10,0.002751,0.0027198,0.0027145,0.002697,1.917057931078532e-05,cuda_fp64_edge,True
