ABLATION.cpu_dx_to_cuda.avg_sec,ABLATION.cpu_dx_to_cuda.count,ABLATION.cpu_dx_to_cuda.total_sec,ABLATION.cpu_jacobian_to_cuda_csr.avg_sec,ABLATION.cpu_jacobian_to_cuda_csr.count,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,ABLATION.cpu_naive_jacobian.avg_sec,ABLATION.cpu_naive_jacobian.count,ABLATION.cpu_naive_jacobian.total_sec,ABLATION.cuda_F_to_cpu.avg_sec,ABLATION.cuda_F_to_cpu.count,ABLATION.cuda_F_to_cpu.total_sec,ABLATION.cuda_J_to_cpu_csc.avg_sec,ABLATION.cuda_J_to_cpu_csc.count,ABLATION.cuda_J_to_cpu_csc.total_sec,ABLATION.cuda_to_cpu_voltage.avg_sec,ABLATION.cuda_to_cpu_voltage.count,ABLATION.cuda_to_cpu_voltage.total_sec,CPU.naive.jacobian.assemble.avg_sec,CPU.naive.jacobian.assemble.count,CPU.naive.jacobian.assemble.total_sec,CPU.naive.jacobian.dS_dVa.avg_sec,CPU.naive.jacobian.dS_dVa.count,CPU.naive.jacobian.dS_dVa.total_sec,CPU.naive.jacobian.dS_dVm.avg_sec,CPU.naive.jacobian.dS_dVm.count,CPU.naive.jacobian.dS_dVm.total_sec,CPU.naive.solve.superlu.avg_sec,CPU.naive.solve.superlu.count,CPU.naive.solve.superlu.total_sec,CPU.solve.buildYbusCSC.avg_sec,CPU.solve.buildYbusCSC.count,CPU.solve.buildYbusCSC.total_sec,CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.analyze.cudss64.analysis.avg_sec,CUDA.analyze.cudss64.analysis.count,CUDA.analyze.cudss64.analysis.total_sec,CUDA.analyze.cudss64.setup.avg_sec,CUDA.analyze.cudss64.setup.count,CUDA.analyze.cudss64.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.factorization64.avg_sec,CUDA.solve.factorization64.count,CUDA.solve.factorization64.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.refactorization64.avg_sec,CUDA.solve.refactorization64.count,CUDA.solve.refactorization64.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.rhsPrepare64.avg_sec,CUDA.solve.rhsPrepare64.count,CUDA.solve.rhsPrepare64.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,CUDA.solve.solve64.avg_sec,CUDA.solve.solve64.count,CUDA.solve.solve64.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009254,1,0.009254,0.00163,1,0.00163,,,,,,,7.4e-05,1,7.4e-05,,,,5.833333333333e-05,3,0.000175,,,,9e-06,4,3.6e-05,,,,5.075e-05,4,0.000203,,,,1.8e-05,1,1.8e-05,0.010887,1,0.010887,0.000238,1,0.000238,0.011144,1,0.011144,9.75e-06,4,3.9e-05,0.00012325,4,0.000493,1.8e-05,5,9e-05,0.0001374,5,0.000687,1.525e-05,4,6.1e-05,1.4e-05,1,1.4e-05,0.00075,1,0.00075,4.5e-05,1,4.5e-05,0.011145,cuda,30,case30_ieee,mixed,case30_ieee,0.011897,2.011654731682e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000751,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008687,1,0.008687,0.001531,1,0.001531,,,,,,,6.6e-05,1,6.6e-05,,,,6.9e-05,3,0.000207,,,,9e-06,4,3.6e-05,,,,5.1e-05,4,0.000204,,,,1.4e-05,1,1.4e-05,0.010221,1,0.010221,0.000207,1,0.000207,0.010443,1,0.010443,9.75e-06,4,3.9e-05,0.00012925,4,0.000517,1.78e-05,5,8.9e-05,0.0001426,5,0.000713,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000775,1,0.000775,4.4e-05,1,4.4e-05,0.010444,cuda,30,case30_ieee,mixed,case30_ieee,0.01122,2.53326813439e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000776,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00866,1,0.00866,0.001542,1,0.001542,,,,,,,6.5e-05,1,6.5e-05,,,,5.8e-05,3,0.000174,,,,9e-06,4,3.6e-05,,,,5.025e-05,4,0.000201,,,,1.4e-05,1,1.4e-05,0.010206,1,0.010206,0.000206,1,0.000206,0.010427,1,0.010427,9.5e-06,4,3.8e-05,0.00012,4,0.00048,1.78e-05,5,8.9e-05,0.0001348,5,0.000674,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000736,1,0.000736,4.4e-05,1,4.4e-05,0.010428,cuda,30,case30_ieee,mixed,case30_ieee,0.011165,1.836555972341e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000736,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008649,1,0.008649,0.001537,1,0.001537,,,,,,,6.5e-05,1,6.5e-05,,,,5.8e-05,3,0.000174,,,,9e-06,4,3.6e-05,,,,5.025e-05,4,0.000201,,,,1.5e-05,1,1.5e-05,0.010189,1,0.010189,0.000203,1,0.000203,0.010408,1,0.010408,9.75e-06,4,3.9e-05,0.00012025,4,0.000481,1.76e-05,5,8.8e-05,0.0001346,5,0.000673,1.525e-05,4,6.1e-05,1.4e-05,1,1.4e-05,0.000735,1,0.000735,4.4e-05,1,4.4e-05,0.010409,cuda,30,case30_ieee,mixed,case30_ieee,0.011145,2.0444064565e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000736,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00863,1,0.00863,0.001533,1,0.001533,,,,,,,6.5e-05,1,6.5e-05,,,,5.833333333333e-05,3,0.000175,,,,9e-06,4,3.6e-05,,,,5.025e-05,4,0.000201,,,,1.4e-05,1,1.4e-05,0.010166,1,0.010166,0.000214,1,0.000214,0.010396,1,0.010396,9.5e-06,4,3.8e-05,0.00012025,4,0.000481,1.78e-05,5,8.9e-05,0.0001348,5,0.000674,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000736,1,0.000736,4.5e-05,1,4.5e-05,0.010396,cuda,30,case30_ieee,mixed,case30_ieee,0.011134,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.000737,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008731,1,0.008731,0.001537,1,0.001537,,,,,,,6.6e-05,1,6.6e-05,,,,5.833333333333e-05,3,0.000175,,,,9e-06,4,3.6e-05,,,,5.05e-05,4,0.000202,,,,1.4e-05,1,1.4e-05,0.010271,1,0.010271,0.000204,1,0.000204,0.01049,1,0.01049,9.5e-06,4,3.8e-05,0.000121,4,0.000484,1.78e-05,5,8.9e-05,0.0001356,5,0.000678,1.5e-05,4,6e-05,1.4e-05,1,1.4e-05,0.000739,1,0.000739,4.4e-05,1,4.4e-05,0.010491,cuda,30,case30_ieee,mixed,case30_ieee,0.011231,2.0444064565e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.00074,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008649,1,0.008649,0.001539,1,0.001539,,,,,,,6.6e-05,1,6.6e-05,,,,5.933333333333e-05,3,0.000178,,,,9e-06,4,3.6e-05,,,,5.125e-05,4,0.000205,,,,1.4e-05,1,1.4e-05,0.010191,1,0.010191,0.000211,1,0.000211,0.010418,1,0.010418,9.75e-06,4,3.9e-05,0.0001225,4,0.00049,1.78e-05,5,8.9e-05,0.0001368,5,0.000684,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000749,1,0.000749,4.6e-05,1,4.6e-05,0.010419,cuda,30,case30_ieee,mixed,case30_ieee,0.011169,2.330187809691e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.00075,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008968,1,0.008968,0.001537,1,0.001537,,,,,,,6.7e-05,1,6.7e-05,,,,5.933333333333e-05,3,0.000178,,,,9.25e-06,4,3.7e-05,,,,5.125e-05,4,0.000205,,,,1.4e-05,1,1.4e-05,0.010508,1,0.010508,0.000207,1,0.000207,0.010731,1,0.010731,1e-05,4,4e-05,0.000123,4,0.000492,1.82e-05,5,9.1e-05,0.0001378,5,0.000689,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000754,1,0.000754,4.6e-05,1,4.6e-05,0.010732,cuda,30,case30_ieee,mixed,case30_ieee,0.011487,1.53040088654e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000754,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008643,1,0.008643,0.001693,1,0.001693,,,,,,,6.7e-05,1,6.7e-05,,,,5.933333333333e-05,3,0.000178,,,,9e-06,4,3.6e-05,,,,5.1e-05,4,0.000204,,,,1.5e-05,1,1.5e-05,0.010339,1,0.010339,0.000213,1,0.000213,0.010568,1,0.010568,1e-05,4,4e-05,0.0001225,4,0.00049,1.86e-05,5,9.3e-05,0.000138,5,0.00069,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000754,1,0.000754,4.6e-05,1,4.6e-05,0.010569,cuda,30,case30_ieee,mixed,case30_ieee,0.011324,1.816665808469e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000755,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008672,1,0.008672,0.001536,1,0.001536,,,,,,,6.6e-05,1,6.6e-05,,,,5.933333333333e-05,3,0.000178,,,,9.75e-06,4,3.9e-05,,,,5.15e-05,4,0.000206,,,,1.4e-05,1,1.4e-05,0.010211,1,0.010211,0.000212,1,0.000212,0.010438,1,0.010438,1e-05,4,4e-05,0.00012325,4,0.000493,1.82e-05,5,9.1e-05,0.0001382,5,0.000691,1.55e-05,4,6.2e-05,1.5e-05,1,1.5e-05,0.000756,1,0.000756,4.6e-05,1,4.6e-05,0.010439,cuda,30,case30_ieee,mixed,case30_ieee,0.011196,2.151148657702e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000757,cuda_mixed_edge,True
