analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.000109,8.02e-05,7.6e-05,6.6e-05,1.3838753958037953e-05,cpu,case118_ieee,fp64,0.000276,0.0002311,0.0002265,0.00021,2.0877686121258208e-05,6.147611450104e-11,cpp,5.0,edge_based,end2end,cpp,10,0.000167,0.0001506,0.000148,0.000143,8.002777295692063e-06,cpu_fp64_edge,True
0.012805,0.0030424,0.0016085000000000001,0.001575,0.0035746258296809504,cpu,case1354_pegase,fp64,0.017972,0.0098107,0.0063505,0.006174,0.005061910685589868,3.984390782696e-12,cpp,6.0,edge_based,end2end,cpp,10,0.016368,0.0067679,0.0047174999999999995,0.004599,0.0043790215662608675,cpu_fp64_edge,True
0.003855,0.0033382999999999998,0.003295,0.003227,0.00018410688320767487,cpu,case2746wop_k,fp64,0.011979,0.011473,0.011438,0.011305,0.00018650230859458848,5.405607988541e-12,cpp,5.0,edge_based,end2end,cpp,10,0.008208,0.0081342,0.008140000000000001,0.00806,4.7832578391255e-05,cpu_fp64_edge,True
3.5e-05,2.33e-05,2.15e-05,2e-05,4.547282460742655e-06,cpu,case30_ieee,fp64,8.7e-05,7.17e-05,6.9e-05,6.7e-05,6.129165250396392e-06,1.221902438322e-14,cpp,5.0,edge_based,end2end,cpp,10,5.2e-05,4.79e-05,4.75e-05,4.6e-05,1.9692073983655905e-06,cpu_fp64_edge,True
0.006581,0.0064229,0.006418,0.006347,7.227486115901956e-05,cpu,case4601_goc,fp64,0.043176,0.0423719,0.042211,0.042176,0.0003137803371787343,2.583094188978e-11,cpp,6.0,edge_based,end2end,cpp,10,0.036594,0.0359482,0.0358495,0.035728,0.00025947288447500215,cpu_fp64_edge,True
0.000953,0.0008891,0.0008825,0.000877,2.264435176079603e-05,cpu,case793_goc,fp64,0.003045,0.0029473999999999998,0.0029354999999999997,0.002917,3.7662831663178076e-05,5.425693783145e-10,cpp,5.0,edge_based,end2end,cpp,10,0.002091,0.0020576,0.0020525,0.002036,1.8319388636087123e-05,cpu_fp64_edge,True
0.012154,0.012044299999999999,0.012032000000000001,0.01198,5.559786166951226e-05,cpu,case8387_pegase,fp64,0.057131,0.057038,0.057027999999999995,0.056951,6.895731368833241e-05,1.243738445567e-11,cpp,7.0,edge_based,end2end,cpp,10,0.045085,0.0449932,0.0449805,0.044938,4.842359388195435e-05,cpu_fp64_edge,True
0.014037,0.01389,0.013898500000000001,0.013758,9.759553723858985e-05,cpu,case9241_pegase,fp64,0.076292,0.0750851,0.0749735,0.074666,0.00045173110241479835,6.293632281995e-12,cpp,8.0,edge_based,end2end,cpp,10,0.062308,0.0611948,0.0610855,0.06087,0.00041614575438046866,cpu_fp64_edge,True
1e-06,1e-06,1e-06,1e-06,0.0,cpu,case118_ieee,fp64,0.001263,0.001074,0.0010525,0.001009,7.481681332130871e-05,6.148233213186e-11,cpp_naive,5.0,pypower_like,end2end,cpp_naive,10,0.001261,0.0010720999999999999,0.0010505,0.001007,7.483975473562754e-05,cpp_pypowerlike,True
0.000151,2.4800000000000003e-05,1e-05,1e-05,4.436164509523465e-05,cpu,case1354_pegase,fp64,0.02018,0.019378,0.0192705,0.01925,0.00028522739466374313,2.743706727289e-12,cpp_naive,6.0,pypower_like,end2end,cpp_naive,10,0.020028,0.0193528,0.01926,0.01924,0.00024113610725526435,cpp_pypowerlike,True
2e-05,1.9200000000000003e-05,1.9e-05,1.9e-05,4.216370213557842e-07,cpu,case2746wop_k,fp64,0.034509,0.0333575,0.033156,0.033111,0.00043940091791741385,7.484325521004e-12,cpp_naive,5.0,pypower_like,end2end,cpp_naive,10,0.034488,0.033338,0.033137,0.033091,0.00043885532923732353,cpp_pypowerlike,True
0.0,0.0,0.0,0.0,0.0,cpu,case30_ieee,fp64,0.000519,0.0004722,0.00046750000000000003,0.000433,3.247836886982541e-05,7.836186998988e-15,cpp_naive,5.0,pypower_like,end2end,cpp_naive,10,0.000518,0.0004713,0.00046699999999999997,0.000432,3.245869169678082e-05,cpp_pypowerlike,True
3.8e-05,3.63e-05,3.6e-05,3.5e-05,1.1595018087284071e-06,cpu,case4601_goc,fp64,0.102287,0.102031,0.101998,0.101856,0.00014374282590794027,2.575676017455e-11,cpp_naive,6.0,pypower_like,end2end,cpp_naive,10,0.102249,0.10199420000000001,0.10196050000000001,0.10182,0.00014314235338757462,cpp_pypowerlike,True
6e-06,6e-06,6e-06,6e-06,0.0,cpu,case793_goc,fp64,0.010026,0.0092203,0.0090895,0.008863,0.0003707107437822049,5.425077054255e-10,cpp_naive,5.0,pypower_like,end2end,cpp_naive,10,0.01002,0.0092139,0.009083,0.008857,0.0003707818915631008,cpp_pypowerlike,True
9.6e-05,9.12e-05,9.15e-05,8.4e-05,3.8528488738133044e-06,cpu,case8387_pegase,fp64,0.180965,0.1770708,0.1767335,0.176081,0.0013949643404442638,1.649114178548e-11,cpp_naive,7.0,pypower_like,end2end,cpp_naive,10,0.180868,0.1769791,0.17664449999999998,0.17599,0.001392793471967598,cpp_pypowerlike,True
0.002897,0.0004231,0.00013,0.000109,0.0008712734549688366,cpu,case9241_pegase,fp64,0.253095,0.2411335,0.239022,0.237787,0.0047549454547636824,8.17568235334e-12,cpp_naive,8.0,pypower_like,end2end,cpp_naive,10,0.252985,0.2407098,0.238847,0.237656,0.0045562171638810715,cpp_pypowerlike,True
0.011183,0.0109191,0.0108535,0.010806,0.0001287740915971325,cuda,case118_ieee,mixed,0.012018,0.011752,0.0116835,0.01164,0.00012645245043976878,7.382300326597e-11,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000854,0.0008323,0.0008294999999999999,0.000812,1.3055862880543598e-05,cuda_mixed_edge,True
0.01689,0.0151545,0.0149765,0.014593,0.0006793770430818708,cuda,case1354_pegase,mixed,0.019348,0.0176206,0.017437,0.017071,0.0006762831754031247,9.336422935578e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.002502,0.0024654,0.0024605,0.002448,1.5203800694416965e-05,cuda_mixed_edge,True
0.018918,0.0174427,0.0173045,0.01694,0.0005790194872943975,cuda,case2746wop_k,mixed,0.021406,0.019928500000000002,0.0197865,0.019413,0.0005780179255198087,6.914485714487e-10,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.00251,0.0024854,0.0024825,0.002473,1.1226951698677827e-05,cuda_mixed_edge,True
0.011156,0.0106439,0.0106395,0.010472,0.00019855614934935736,cuda,case30_ieee,mixed,0.011882,0.0113653,0.011356,0.011191,0.00020096215785288748,2.53326813439e-13,cuda_edge,5.0,edge_based,end2end,cuda_edge,10,0.000732,0.0007209,0.0007245,0.000701,1.0723287224022715e-05,cuda_mixed_edge,True
0.032506,0.0228965,0.021764,0.021559,0.003391624921938025,cuda,case4601_goc,mixed,0.036687,0.0270545,0.025973000000000003,0.025658,0.003397764992527358,3.931699410487e-10,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.004365,0.0041577,0.004111,0.004076,0.00010119513602716072,cuda_mixed_edge,True
0.013732,0.0132977,0.013201000000000001,0.013122,0.0002093227438935175,cuda,case793_goc,mixed,0.015328,0.0148846,0.0147855,0.014697,0.00021572163132662928,3.21175031015e-12,cuda_edge,6.0,edge_based,end2end,cuda_edge,10,0.0016,0.0015865,0.001592,0.001571,1.0585629672133622e-05,cuda_mixed_edge,True
0.083915,0.0387483,0.031309500000000004,0.030722,0.01724934535988089,cuda,case8387_pegase,mixed,0.089889,0.0451475,0.037629499999999996,0.036716,0.017099466419550444,2.870494286711e-09,cuda_edge,7.0,edge_based,end2end,cuda_edge,10,0.010243,0.0063988,0.0059640000000000006,0.005928,0.001351231849502931,cuda_mixed_edge,True
0.035155,0.0336002,0.0334795,0.032807,0.0006373768813574018,cuda,case9241_pegase,mixed,0.042377,0.0408215,0.0406795,0.040145,0.0006332582850271715,3.688385903991e-09,cuda_edge,8.0,edge_based,end2end,cuda_edge,10,0.007338,0.0072204999999999995,0.007199,0.00716,6.424302815610948e-05,cuda_mixed_edge,True
,,,,,python,case118_ieee,fp64,0.017382148653268814,0.012019703723490238,0.011178008280694485,0.01112024113535881,0.0020130338469889295,6.14822223325176e-11,pypower,4.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case1354_pegase,fp64,0.03989194519817829,0.03838953040540218,0.038208626210689545,0.038141243159770966,0.000533795213441117,4.120073105607632e-12,pypower,5.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case2746wop_k,fp64,0.055179083719849586,0.054779920540750024,0.054750253446400166,0.05439136363565922,0.00025147492395195104,1.4977732648068056e-11,pypower,4.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case30_ieee,fp64,0.01057901419699192,0.010008883476257325,0.009934422560036182,0.009760940447449684,0.00027056420394335645,2.0731932157010958e-14,pypower,4.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case4601_goc,fp64,0.14772269129753113,0.13975823372602464,0.1389731653034687,0.13775447942316532,0.002856717396213676,2.5815461548407613e-11,pypower,5.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case793_goc,fp64,0.02219264581799507,0.02195422165095806,0.02197036426514387,0.02171250618994236,0.00014876285768912378,5.425149218751812e-10,pypower,4.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case8387_pegase,fp64,0.24741505272686481,0.2407513063400984,0.24007434863597155,0.23943554423749447,0.002371248012962951,1.548287886787847e-11,pypower,6.0,pypower,end2end,pypower,10,,,,,,pypower,True
,,,,,python,case9241_pegase,fp64,0.3215163368731737,0.316926678083837,0.3167428094893694,0.31416668742895126,0.002083753884405053,5.097700039868869e-12,pypower,7.0,pypower,end2end,pypower,10,,,,,,pypower,True
