analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.010314511135220528,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.0101539995521307,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.01057901419699192,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.010039739310741425,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009960493072867393,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009908352047204971,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009777680039405823,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.00982208363711834,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009772021323442459,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case30_ieee,pglib_opf_case30_ieee,fp64,,0.009760940447449684,2.0731932157010958e-14,pypower,4,pypower,,end2end,,pypower,,9,,pypower,True
0.0,cpu,30,case30_ieee,,fp64,case30_ieee,0.000475,7.836186998988e-15,cpp_naive,5,pypower_like,0.341154734562,end2end,24,cpp_naive,5,0,0.000474,cpp_pypowerlike,True
0.0,cpu,30,case30_ieee,,fp64,case30_ieee,0.000507,7.836186998988e-15,cpp_naive,5,pypower_like,0.341154734562,end2end,24,cpp_naive,5,1,0.000506,cpp_pypowerlike,True
0.0,cpu,30,case30_ieee,,fp64,case30_ieee,0.000519,7.836186998988e-15,cpp_naive,5,pypower_like,0.341154734562,end2end,24,cpp_naive,5,2,0.000518,cpp_pypowerlike,True
0.0,cpu,30,case30_ieee,,fp64,case30_ieee,0.000466,7.836186998988e-15,cpp_naive,5,pypower_like,0.341154734562,end2end,24,cpp_naive,5,3,0.000466,cpp_pypowerlike,True
