analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.019845,0.011641,0.010717,0.010697,0.0028829833313581423,cuda,case118_ieee,mixed,0.02071,0.0125225,0.011584500000000001,0.011552,0.0028776331033990026,7.827865677562e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.001055,0.0008811,0.0008625,0.000851,6.143008672918795e-05,cuda_mixed_edge,True
0.031561,0.0165114,0.014918,0.014551,0.00529382865440715,cuda,case1354_pegase,mixed,0.033897,0.018855999999999998,0.017279,0.016896,0.00529076463702974,7.9420059341e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.002373,0.0023439999999999997,0.002343,0.002331,1.2301761391497317e-05,cuda_mixed_edge,True
0.109729,0.0267671,0.0175125,0.016951,0.029158447148296494,cuda,case2746wop_k,mixed,0.112321,0.0292767,0.0199155,0.01933,0.02918790638470362,1.379230005232e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.00284,0.0025089,0.00247,0.002306,0.00015901114566106505,cuda_mixed_edge,True
0.049235,0.0244604,0.0106515,0.010312,0.018554069707509217,cuda,case30_ieee,mixed,0.04999,0.0252241,0.011418000000000001,0.011079,0.01855255908343764,2.227889810659e-13,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.000791,0.0007633,0.000761,0.000746,1.51880801215222e-05,cuda_mixed_edge,True
0.049356,0.025942899999999998,0.0215155,0.021203,0.009619881385847632,cuda,case4601_goc,mixed,0.053588,0.030172,0.025765,0.025413,0.00962057587788913,3.949496285571e-10,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.004261,0.0042285,0.004226000000000001,0.004209,1.4009917122445051e-05,cuda_mixed_edge,True
0.105835,0.0240873,0.013121500000000001,0.012803,0.029224216651605905,cuda,case793_goc,mixed,0.10743,0.0256515,0.014693999999999999,0.014359,0.02923417293454129,2.900001472355e-12,cuda_edge,6.0,edge_based,operators,cuda_edge,10,0.001595,0.0015637000000000001,0.001558,0.001544,1.6111072796889307e-05,cuda_mixed_edge,True
0.057806,0.0349162,0.0302495,0.029997,0.009371076990162635,cuda,case8387_pegase,mixed,0.063907,0.0410652,0.0363815,0.036065,0.009369467348787765,3.177430540902e-09,cuda_edge,7.0,edge_based,operators,cuda_edge,10,0.006272,0.0061484999999999995,0.006128,0.006068,7.591259593916037e-05,cuda_mixed_edge,True
0.043772,0.0342127,0.0325535,0.032232,0.0036366515749763242,cuda,case9241_pegase,mixed,0.051139,0.0414729,0.0397865,0.039476,0.003674520692855358,2.839868011757e-09,cuda_edge,8.0,edge_based,operators,cuda_edge,10,0.007366,0.0072597,0.0072445,0.00723,4.293936293063614e-05,cuda_mixed_edge,True
0.021404,0.0119686,0.010727,0.010693,0.003352352215650643,cuda,case118_ieee,mixed,0.022265,0.0128322,0.011604,0.011541,0.003352223070010573,9.990110216559e-11,cuda_vertex,5.0,vertex_based,operators,cuda_vertex,10,0.000886,0.0008634,0.00086,0.000843,1.452354410374179e-05,cuda_mixed_vertex,True
0.037006,0.019348,0.014965,0.014708,0.009275701291247171,cuda,case1354_pegase,mixed,0.040069,0.0220122,0.017647,0.017331,0.009377413808366,1.505557992169e-11,cuda_vertex,6.0,vertex_based,operators,cuda_vertex,10,0.003063,0.0026638,0.0026405,0.002363,0.00017095990433107084,cuda_mixed_vertex,True
0.017587,0.0173316,0.017488,0.016861,0.00028454962465076014,cuda,case2746wop_k,mixed,0.020275,0.0197332,0.0198155,0.019191,0.0003391544387640141,7.734357528016e-10,cuda_vertex,5.0,vertex_based,operators,cuda_vertex,10,0.002688,0.0024009,0.0023325000000000004,0.002309,0.00012143809579827537,cuda_mixed_vertex,True
0.010504,0.0103743,0.0103435,0.010318,6.612286543498626e-05,cuda,case30_ieee,mixed,0.011253,0.0111243,0.011097,0.011064,6.863599638673582e-05,3.760893268713e-13,cuda_vertex,5.0,vertex_based,operators,cuda_vertex,10,0.000756,0.0007494,0.0007485,0.000741,6.1680178699842205e-06,cuda_mixed_vertex,True
0.040913,0.0242406,0.0221635,0.021404,0.005951788474437279,cuda,case4601_goc,mixed,0.045164,0.0290964,0.0264145,0.025643,0.006237449090417938,3.715241447821e-10,cuda_vertex,6.0,vertex_based,operators,cuda_vertex,10,0.010133,0.0048552,0.00425,0.004238,0.0018552512737871625,cuda_mixed_vertex,True
0.027642,0.0151665,0.013459,0.013162,0.00448290409965088,cuda,case793_goc,mixed,0.029512,0.0170375,0.0153375,0.015025,0.004482532921116017,9.688938207297e-09,cuda_vertex,5.9,vertex_based,operators,cuda_vertex,10,0.001975,0.0018703,0.001866,0.001637,9.472421959445103e-05,cuda_mixed_vertex,True
0.039826,0.032811,0.030352,0.029953,0.0037672242655125625,cuda,case8387_pegase,mixed,0.045949,0.0389445,0.036467,0.036073,0.003771801816697749,1.986737441229e-09,cuda_vertex,7.0,vertex_based,operators,cuda_vertex,10,0.006195,0.0061329,0.006124,0.006105,2.5030869829960784e-05,cuda_mixed_vertex,True
0.076084,0.0396115,0.032995,0.032123,0.013908383596873426,cuda,case9241_pegase,mixed,0.083585,0.0469919,0.04037399999999999,0.039545,0.013937607306612329,8.478822158264e-10,cuda_vertex,8.0,vertex_based,operators,cuda_vertex,10,0.007561,0.0073799,0.0073555,0.007301,8.579102517163437e-05,cuda_mixed_vertex,True
