CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.009006,1,0.009006,0.001591,1,0.001591,6.9e-05,1,6.9e-05,6.066666666667e-05,3,0.000182,1e-05,4,4e-05,5.225e-05,4,0.000209,1.8e-05,1,1.8e-05,0.0106,1,0.0106,0.000258,1,0.000258,0.010878,1,0.010878,1.025e-05,4,4.1e-05,0.00012625,4,0.000505,2e-05,5,0.0001,0.0001428,5,0.000714,1.55e-05,4,6.2e-05,1.7e-05,1,1.7e-05,0.000783,1,0.000783,4.9e-05,1,4.9e-05,0.010879,cuda,30,case30_ieee,mixed,case30_ieee,0.011664,2.182698466413e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,0,0.000784,cuda_mixed_edge,True
0.046904,1,0.046904,0.001683,1,0.001683,6.7e-05,1,6.7e-05,5.9e-05,3,0.000177,9e-06,4,3.6e-05,5.05e-05,4,0.000202,1.5e-05,1,1.5e-05,0.048591,1,0.048591,0.000213,1,0.000213,0.04882,1,0.04882,9.75e-06,4,3.9e-05,0.0001215,4,0.000486,1.76e-05,5,8.8e-05,0.0001364,5,0.000682,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000745,1,0.000745,4.5e-05,1,4.5e-05,0.048821,cuda,30,case30_ieee,mixed,case30_ieee,0.049568,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,1,0.000746,cuda_mixed_edge,True
0.047193,1,0.047193,0.001544,1,0.001544,8.1e-05,1,8.1e-05,5.933333333333e-05,3,0.000178,9.5e-06,4,3.8e-05,5.325e-05,4,0.000213,1.6e-05,1,1.6e-05,0.04874,1,0.04874,0.000218,1,0.000218,0.048977,1,0.048977,1.025e-05,4,4.1e-05,0.00012875,4,0.000515,1.9e-05,5,9.5e-05,0.0001438,5,0.000719,1.55e-05,4,6.2e-05,1.5e-05,1,1.5e-05,0.00079,1,0.00079,5.2e-05,1,5.2e-05,0.048979,cuda,30,case30_ieee,mixed,case30_ieee,0.04977,2.227889810659e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,2,0.000791,cuda_mixed_edge,True
0.047055,1,0.047055,0.001723,1,0.001723,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,9.25e-06,4,3.7e-05,5.125e-05,4,0.000205,1.9e-05,1,1.9e-05,0.048781,1,0.048781,0.000433,1,0.000433,0.049234,1,0.049234,9.75e-06,4,3.9e-05,0.00012275,4,0.000491,1.82e-05,5,9.1e-05,0.0001378,5,0.000689,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000753,1,0.000753,4.6e-05,1,4.6e-05,0.049235,cuda,30,case30_ieee,mixed,case30_ieee,0.04999,2.073087293601e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,3,0.000754,cuda_mixed_edge,True
0.033156,1,0.033156,0.001544,1,0.001544,6.6e-05,1,6.6e-05,5.866666666667e-05,3,0.000176,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.5e-05,1,1.5e-05,0.034703,1,0.034703,0.000221,1,0.000221,0.034941,1,0.034941,9.5e-06,4,3.8e-05,0.000122,4,0.000488,1.8e-05,5,9e-05,0.000137,5,0.000685,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000749,1,0.000749,4.6e-05,1,4.6e-05,0.034942,cuda,30,case30_ieee,mixed,case30_ieee,0.035692,1.796177962769e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,4,0.00075,cuda_mixed_edge,True
0.008577,1,0.008577,0.001609,1,0.001609,6.7e-05,1,6.7e-05,5.833333333333e-05,3,0.000175,9.25e-06,4,3.7e-05,5.1e-05,4,0.000204,1.6e-05,1,1.6e-05,0.010189,1,0.010189,0.000216,1,0.000216,0.010423,1,0.010423,9.5e-06,4,3.8e-05,0.00012175,4,0.000487,1.8e-05,5,9e-05,0.000137,5,0.000685,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000747,1,0.000747,4.5e-05,1,4.5e-05,0.010424,cuda,30,case30_ieee,mixed,case30_ieee,0.011172,2.0444064565e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,5,0.000748,cuda_mixed_edge,True
0.008562,1,0.008562,0.001531,1,0.001531,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,1e-05,4,4e-05,5.15e-05,4,0.000206,1.5e-05,1,1.5e-05,0.010095,1,0.010095,0.000211,1,0.000211,0.010322,1,0.010322,1e-05,4,4e-05,0.000124,4,0.000496,1.86e-05,5,9.3e-05,0.0001388,5,0.000694,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.00076,1,0.00076,4.6e-05,1,4.6e-05,0.010323,cuda,30,case30_ieee,mixed,case30_ieee,0.011084,1.468825061579e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,6,0.000761,cuda_mixed_edge,True
0.008579,1,0.008579,0.001544,1,0.001544,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,1e-05,4,4e-05,5.125e-05,4,0.000205,1.5e-05,1,1.5e-05,0.010126,1,0.010126,0.00022,1,0.00022,0.010362,1,0.010362,1e-05,4,4e-05,0.0001235,4,0.000494,1.86e-05,5,9.3e-05,0.0001386,5,0.000693,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.00076,1,0.00076,4.7e-05,1,4.7e-05,0.010363,cuda,30,case30_ieee,mixed,case30_ieee,0.011124,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,7,0.000761,cuda_mixed_edge,True
0.008545,1,0.008545,0.001532,1,0.001532,6.7e-05,1,6.7e-05,5.866666666667e-05,3,0.000176,1e-05,4,4e-05,5.175e-05,4,0.000207,1.4e-05,1,1.4e-05,0.010081,1,0.010081,0.000215,1,0.000215,0.010311,1,0.010311,1.025e-05,4,4.1e-05,0.00012325,4,0.000493,1.84e-05,5,9.2e-05,0.0001386,5,0.000693,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000766,1,0.000766,5.3e-05,1,5.3e-05,0.010312,cuda,30,case30_ieee,mixed,case30_ieee,0.011079,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,8,0.000767,cuda_mixed_edge,True
0.008552,1,0.008552,0.00154,1,0.00154,6.6e-05,1,6.6e-05,5.933333333333e-05,3,0.000178,1e-05,4,4e-05,5.425e-05,4,0.000217,1.4e-05,1,1.4e-05,0.010094,1,0.010094,0.000215,1,0.000215,0.010325,1,0.010325,1e-05,4,4e-05,0.00012625,4,0.000505,1.86e-05,5,9.3e-05,0.000141,5,0.000705,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.00077,1,0.00077,4.7e-05,1,4.7e-05,0.010326,cuda,30,case30_ieee,mixed,case30_ieee,0.011098,2.215972172788e-13,cuda_edge,5,edge_based,0.341154734562,operators,24,cuda_edge,5,9,0.000771,cuda_mixed_edge,True
