case_name,count_mean,metric,ms_mean,ms_stdev,profile,profile_elapsed_speedup_vs_cuda_edge,profile_solve_speedup_vs_cuda_edge,runs,sec_mean,sec_stdev,section,share_of_profile_elapsed,share_of_profile_solve,source_column,success_all
case30_ieee,,elapsed,11.2968,0.2358897105758442,cuda_edge,1.0,1.0,10,0.0112968,0.0002358897105758442,top_level,1.0,15.078483715963694,elapsed_sec,True
case30_ieee,,analyze,10.5472,0.23335990324913253,cuda_edge,1.0,1.0,10,0.0105472,0.00023335990324913254,top_level,0.9336449259967424,14.077949813134008,analyze_sec,True
case30_ieee,,solve,0.7492,0.012568037060557846,cuda_edge,1.0,1.0,10,0.0007492,1.2568037060557847e-05,top_level,0.06631966574605198,1.0,solve_sec,True
case30_ieee,1.0,upload,0.045000000000000005,0.0009428090415820638,cuda_edge,1.0,1.0,10,4.5e-05,9.428090415820639e-07,nr,0.003983428935627789,0.0600640683395622,NR.solve.upload.total_sec,True
case30_ieee,5.0,mismatch,0.0898,0.0014757295747452454,cuda_edge,1.0,1.0,10,8.98e-05,1.4757295747452455e-06,nr,0.007949153742652787,0.1198611852642819,NR.iteration.mismatch.total_sec,True
case30_ieee,4.0,jacobian,0.039,0.0008164965809277265,cuda_edge,1.0,1.0,10,3.9e-05,8.164965809277265e-07,nr,0.0034523050775440833,0.05205552589428724,NR.iteration.jacobian.total_sec,True
case30_ieee,4.0,linear_solve,0.49010000000000004,0.01079557522526912,cuda_edge,1.0,1.0,10,0.0004901,1.0795575225269119e-05,nr,0.04338396714113732,0.654164442071543,NR.iteration.linear_solve.total_sec,True
case30_ieee,4.0,voltage_update,0.0605,0.0007071067811865472,cuda_edge,1.0,1.0,10,6.05e-05,7.071067811865472e-07,nr,0.005355498902344027,0.08075280298985585,NR.iteration.voltage_update.total_sec,True
case30_ieee,1.0,download,0.0144,0.0005163977794943225,cuda_edge,1.0,1.0,10,1.44e-05,5.163977794943225e-07,nr,0.0012746972594008922,0.019220501868659902,NR.solve.download.total_sec,True
case30_ieee,4.0,rhs_prepare,0.0364,0.0009660917830792953,cuda_edge,1.0,1.0,10,3.6400000000000004e-05,9.660917830792953e-07,cudss,0.0032221514057078115,0.04858515750133476,CUDA.solve.rhsPrepare.total_sec,True
case30_ieee,1.0,factorization,0.0667,0.0026687491868330787,cuda_edge,1.0,1.0,10,6.67e-05,2.668749186833079e-06,cudss,0.005904326889030522,0.08902829684997329,CUDA.solve.factorization32.total_sec,True
case30_ieee,3.0,refactorization,0.1792,0.009919677414109793,cuda_edge,1.0,1.0,10,0.0001792,9.919677414109793e-06,cudss,0.015862899228099994,0.2391884676988788,CUDA.solve.refactorization32.total_sec,True
case30_ieee,4.0,solve,0.20320000000000002,0.001873795909674021,cuda_edge,1.0,1.0,10,0.0002032,1.873795909674021e-06,cudss,0.017987394660434815,0.27122263747997866,CUDA.solve.solve32.total_sec,True
case30_ieee,,cuda_to_cpu_voltage,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cuda_to_cpu_voltage.total_sec,True
case30_ieee,,cpu_naive_jacobian,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cpu_naive_jacobian.total_sec,True
case30_ieee,,cpu_jacobian_to_cuda_csr,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,True
case30_ieee,,cuda_F_to_cpu,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cuda_F_to_cpu.total_sec,True
case30_ieee,,cuda_J_to_cpu_csc,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cuda_J_to_cpu_csc.total_sec,True
case30_ieee,,cpu_dx_to_cuda,,,cuda_edge,1.0,1.0,10,,,ablation_bridge,,,ABLATION.cpu_dx_to_cuda.total_sec,True
case30_ieee,,cpu_naive_jacobian_dS_dVm,,,cuda_edge,1.0,1.0,10,,,cpu_reference,,,CPU.naive.jacobian.dS_dVm.total_sec,True
case30_ieee,,cpu_naive_jacobian_dS_dVa,,,cuda_edge,1.0,1.0,10,,,cpu_reference,,,CPU.naive.jacobian.dS_dVa.total_sec,True
case30_ieee,,cpu_naive_jacobian_assemble,,,cuda_edge,1.0,1.0,10,,,cpu_reference,,,CPU.naive.jacobian.assemble.total_sec,True
