analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.22619,0.1941165,0.18920350000000002,0.184265,0.012476764638051538,cuda,Base_Eastern_Interconnect_515GW,mixed,0.270367,0.2281002,0.222039,0.217637,0.016819218807331365,8.692620982678e-09,cuda_edge,6.7,edge_based,operators,cuda_edge,10,0.044177,0.033983,0.0335925,0.028527,0.00532561428903329,cuda_mixed_edge,True
0.025394,0.0245808,0.024923,0.023604,0.0007044258181904841,cuda,Base_Florida_42GW,mixed,0.029051,0.0282528,0.02858,0.027279,0.0006964343791373631,4.031332906385e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.003736,0.0036717,0.0036635,0.00365,2.617483948799349e-05,cuda_mixed_edge,True
0.038365,0.036788,0.036455,0.03615,0.0007209153132573126,cuda,Base_MIOHIN_76GW,mixed,0.043849,0.042297,0.041929999999999995,0.041615,0.0007792228322002773,2.626677912362e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.005841,0.0055084,0.005472,0.005456,0.00011715630584821279,cuda_mixed_edge,True
0.028795,0.0279539,0.0276115,0.027262,0.0006532483703258151,cuda,Base_Texas_66GW,mixed,0.033522,0.0325087,0.032264,0.03174,0.0006916616144393807,6.132871988029e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.004841,0.0045544,0.0044765,0.004468,0.00012966126809670054,cuda_mixed_edge,True
0.067656,0.0610885,0.0605785,0.056548,0.0029927178004839215,cuda,Base_West_Interconnect_121GW,mixed,0.086859,0.0733516,0.07257150000000001,0.066591,0.005267507953904242,8.144892316153e-09,cuda_edge,5.7,edge_based,operators,cuda_edge,10,0.019202,0.0122628,0.012131,0.010032,0.002644371456509089,cuda_mixed_edge,True
0.014468,0.0140191,0.0139255,0.013837,0.0002074289436570187,cuda,MemphisCase2026_Mar7,mixed,0.016533,0.0153113,0.015102500000000001,0.015027,0.00047134112440519677,6.910477684967e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,10,0.002276,0.0012915000000000001,0.0011815,0.00117,0.0003460161364252636,cuda_mixed_edge,True
0.026775,0.0259985,0.0259035,0.025418,0.00048467107975982607,cuda,Texas7k_20220923,mixed,0.029995,0.0291944,0.029102,0.028598,0.00048672858053653623,2.022147480276e-10,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.003258,0.0031951,0.0031825,0.003172,2.8037474921968274e-05,cuda_mixed_edge,True
0.011914,0.0114145,0.011348,0.011249,0.00019897696684122306,cuda,case_ACTIVSg200,mixed,0.01255,0.0120502,0.0119865,0.011875,0.00020012040819910841,4.292415858268e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,10,0.000645,0.0006351,0.0006355,0.000625,6.454111523328011e-06,cuda_mixed_edge,True
0.039687,0.0195163,0.016850999999999998,0.016674,0.007170239869689779,cuda,case_ACTIVSg2000,mixed,0.042008,0.021861,0.0192735,0.018999,0.0071619909863730544,6.352583779089e-09,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.002521,0.0023444,0.0023220000000000003,0.002316,6.275915161242306e-05,cuda_mixed_edge,True
0.118198,0.0681374,0.0624295,0.06144,0.017645576192223237,cuda,case_ACTIVSg25k,mixed,0.126811,0.0767489,0.0710275,0.070034,0.017648435312766084,4.818383033166e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.008691,0.0086111,0.008601999999999999,0.008579,3.393932494581762e-05,cuda_mixed_edge,True
