ABLATION.cpu_dx_to_cuda.avg_sec,ABLATION.cpu_dx_to_cuda.count,ABLATION.cpu_dx_to_cuda.total_sec,ABLATION.cpu_jacobian_to_cuda_csr.avg_sec,ABLATION.cpu_jacobian_to_cuda_csr.count,ABLATION.cpu_jacobian_to_cuda_csr.total_sec,ABLATION.cpu_naive_jacobian.avg_sec,ABLATION.cpu_naive_jacobian.count,ABLATION.cpu_naive_jacobian.total_sec,ABLATION.cuda_F_to_cpu.avg_sec,ABLATION.cuda_F_to_cpu.count,ABLATION.cuda_F_to_cpu.total_sec,ABLATION.cuda_J_to_cpu_csc.avg_sec,ABLATION.cuda_J_to_cpu_csc.count,ABLATION.cuda_J_to_cpu_csc.total_sec,ABLATION.cuda_to_cpu_voltage.avg_sec,ABLATION.cuda_to_cpu_voltage.count,ABLATION.cuda_to_cpu_voltage.total_sec,CPU.naive.jacobian.assemble.avg_sec,CPU.naive.jacobian.assemble.count,CPU.naive.jacobian.assemble.total_sec,CPU.naive.jacobian.dS_dVa.avg_sec,CPU.naive.jacobian.dS_dVa.count,CPU.naive.jacobian.dS_dVa.total_sec,CPU.naive.jacobian.dS_dVm.avg_sec,CPU.naive.jacobian.dS_dVm.count,CPU.naive.jacobian.dS_dVm.total_sec,CPU.naive.solve.superlu.avg_sec,CPU.naive.solve.superlu.count,CPU.naive.solve.superlu.total_sec,CPU.solve.buildYbusCSC.avg_sec,CPU.solve.buildYbusCSC.count,CPU.solve.buildYbusCSC.total_sec,CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.analyze.cudss64.analysis.avg_sec,CUDA.analyze.cudss64.analysis.count,CUDA.analyze.cudss64.analysis.total_sec,CUDA.analyze.cudss64.setup.avg_sec,CUDA.analyze.cudss64.setup.count,CUDA.analyze.cudss64.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.factorization64.avg_sec,CUDA.solve.factorization64.count,CUDA.solve.factorization64.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.refactorization64.avg_sec,CUDA.solve.refactorization64.count,CUDA.solve.refactorization64.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.rhsPrepare64.avg_sec,CUDA.solve.rhsPrepare64.count,CUDA.solve.rhsPrepare64.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,CUDA.solve.solve64.avg_sec,CUDA.solve.solve64.count,CUDA.solve.solve64.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009686,1,0.009686,0.001801,1,0.001801,,,,,,,0.00011,1,0.00011,,,,0.000103,1,0.000103,,,,1.3e-05,2,2.6e-05,,,,7.65e-05,2,0.000153,,,,8e-05,1,8e-05,0.011491,1,0.011491,0.00034,1,0.00034,0.011912,1,0.011912,1.3e-05,2,2.6e-05,0.000197,2,0.000394,2.6e-05,3,7.8e-05,0.0001806666666667,3,0.000542,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000635,1,0.000635,7.1e-05,1,7.1e-05,0.011914,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.01255,3.927514220391e-12,cuda_edge,3,edge_based,0.0005626048489424,operators,162,cuda_edge,37,0,0.000636,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009483,1,0.009483,0.001717,1,0.001717,,,,,,,0.00011,1,0.00011,,,,0.000104,1,0.000104,,,,1.25e-05,2,2.5e-05,,,,7.7e-05,2,0.000154,,,,6.1e-05,1,6.1e-05,0.011202,1,0.011202,0.000263,1,0.000263,0.011527,1,0.011527,1.3e-05,2,2.6e-05,0.0001985,2,0.000397,2.6e-05,3,7.8e-05,0.000182,3,0.000546,2.05e-05,2,4.1e-05,2e-05,1,2e-05,0.000634,1,0.000634,6.6e-05,1,6.6e-05,0.011528,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012164,4.187255327939e-12,cuda_edge,3,edge_based,0.0005626048489239,operators,162,cuda_edge,37,1,0.000635,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009369,1,0.009369,0.001714,1,0.001714,,,,,,,0.000109,1,0.000109,,,,0.000103,1,0.000103,,,,1.3e-05,2,2.6e-05,,,,7.85e-05,2,0.000157,,,,6.6e-05,1,6.6e-05,0.011086,1,0.011086,0.000265,1,0.000265,0.011419,1,0.011419,1.25e-05,2,2.5e-05,0.0001985,2,0.000397,2.6e-05,3,7.8e-05,0.0001813333333333,3,0.000544,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000634,1,0.000634,6.8e-05,1,6.8e-05,0.01142,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012056,4.264104074091e-12,cuda_edge,3,edge_based,0.0005626048488814,operators,162,cuda_edge,37,2,0.000635,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009331,1,0.009331,0.001671,1,0.001671,,,,,,,0.00011,1,0.00011,,,,0.000102,1,0.000102,,,,1.2e-05,2,2.4e-05,,,,7.7e-05,2,0.000154,,,,6.3e-05,1,6.3e-05,0.011004,1,0.011004,0.000261,1,0.000261,0.01133,1,0.01133,1.25e-05,2,2.5e-05,0.000197,2,0.000394,2.566666666667e-05,3,7.7e-05,0.00018,3,0.00054,2e-05,2,4e-05,1.8e-05,1,1.8e-05,0.000624,1,0.000624,6.4e-05,1,6.4e-05,0.011331,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011957,4.075760786999e-12,cuda_edge,3,edge_based,0.0005626048489202,operators,162,cuda_edge,37,3,0.000625,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009335,1,0.009335,0.001582,1,0.001582,,,,,,,0.000109,1,0.000109,,,,0.000103,1,0.000103,,,,1.2e-05,2,2.4e-05,,,,7.65e-05,2,0.000153,,,,6.5e-05,1,6.5e-05,0.01092,1,0.01092,0.000262,1,0.000262,0.011248,1,0.011248,1.25e-05,2,2.5e-05,0.0001965,2,0.000393,2.6e-05,3,7.8e-05,0.00018,3,0.00054,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000624,1,0.000624,6.4e-05,1,6.4e-05,0.011249,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011875,4.292415858268e-12,cuda_edge,3,edge_based,0.0005626048489202,operators,162,cuda_edge,37,4,0.000625,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009342,1,0.009342,0.00158,1,0.00158,,,,,,,0.000109,1,0.000109,,,,0.000103,1,0.000103,,,,1.25e-05,2,2.5e-05,,,,7.7e-05,2,0.000154,,,,6.4e-05,1,6.4e-05,0.010924,1,0.010924,0.000262,1,0.000262,0.011252,1,0.011252,1.3e-05,2,2.6e-05,0.0001975,2,0.000395,2.8e-05,3,8.4e-05,0.000183,3,0.000549,2e-05,2,4e-05,2e-05,1,2e-05,0.000636,1,0.000636,6.5e-05,1,6.5e-05,0.011253,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011891,4.099203033416e-12,cuda_edge,3,edge_based,0.0005626048489258,operators,162,cuda_edge,37,5,0.000637,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009355,1,0.009355,0.001592,1,0.001592,,,,,,,0.00011,1,0.00011,,,,0.000104,1,0.000104,,,,1.25e-05,2,2.5e-05,,,,7.7e-05,2,0.000154,,,,6.3e-05,1,6.3e-05,0.010949,1,0.010949,0.000265,1,0.000265,0.011279,1,0.011279,1.35e-05,2,2.7e-05,0.0001975,2,0.000395,2.566666666667e-05,3,7.7e-05,0.000181,3,0.000543,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000631,1,0.000631,6.8e-05,1,6.8e-05,0.01128,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011913,4.07542665837e-12,cuda_edge,3,edge_based,0.0005626048489258,operators,162,cuda_edge,37,6,0.000632,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009382,1,0.009382,0.00177,1,0.00177,,,,,,,0.000111,1,0.000111,,,,0.000104,1,0.000104,,,,1.35e-05,2,2.7e-05,,,,7.8e-05,2,0.000156,,,,6.3e-05,1,6.3e-05,0.011155,1,0.011155,0.000262,1,0.000262,0.011481,1,0.011481,1.3e-05,2,2.6e-05,0.0002,2,0.0004,2.666666666667e-05,3,8e-05,0.0001836666666667,3,0.000551,2e-05,2,4e-05,2e-05,1,2e-05,0.00064,1,0.00064,6.8e-05,1,6.8e-05,0.011482,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012123,4.098638724992e-12,cuda_edge,3,edge_based,0.0005626048489147,operators,162,cuda_edge,37,7,0.000641,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009435,1,0.009435,0.001586,1,0.001586,,,,,,,0.000112,1,0.000112,,,,0.000103,1,0.000103,,,,1.3e-05,2,2.6e-05,,,,7.75e-05,2,0.000155,,,,6.5e-05,1,6.5e-05,0.011023,1,0.011023,0.000273,1,0.000273,0.011364,1,0.011364,1.3e-05,2,2.6e-05,0.0001995,2,0.000399,2.633333333333e-05,3,7.9e-05,0.000183,3,0.000549,2e-05,2,4e-05,2e-05,1,2e-05,0.000639,1,0.000639,6.8e-05,1,6.8e-05,0.011365,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012005,4.065872805513e-12,cuda_edge,3,edge_based,0.000562604848911,operators,162,cuda_edge,37,8,0.00064,cuda_mixed_edge,True
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009387,1,0.009387,0.001596,1,0.001596,,,,,,,0.000111,1,0.000111,,,,0.000104,1,0.000104,,,,1.3e-05,2,2.6e-05,,,,7.85e-05,2,0.000157,,,,6.4e-05,1,6.4e-05,0.010986,1,0.010986,0.00027,1,0.00027,0.011322,1,0.011322,1.4e-05,2,2.8e-05,0.0002005,2,0.000401,2.666666666667e-05,3,8e-05,0.0001843333333333,3,0.000553,2.05e-05,2,4.1e-05,2e-05,1,2e-05,0.000644,1,0.000644,6.7e-05,1,6.7e-05,0.011323,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011968,4.093774757833e-12,cuda_edge,3,edge_based,0.0005626048489147,operators,162,cuda_edge,37,9,0.000645,cuda_mixed_edge,True
