CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.051388,1,0.051388,0.001567,1,0.001567,0.001264,1,0.001264,0.001141666666667,3,0.003425,7.625e-05,4,0.000305,0.0004775,4,0.00191,0.012245,1,0.012245,0.052959,1,0.052959,0.000986,1,0.000986,0.066194,1,0.066194,2.375e-05,4,9.5e-05,0.001735,4,0.00694,0.0001152,5,0.000576,0.0015468,5,0.007734,2.925e-05,4,0.000117,8.5e-05,1,8.5e-05,0.008706,1,0.008706,0.000883,1,0.000883,0.066196,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.074904,1.966892412377e-09,cuda_edge,5,edge_based,0.05938100424763,operators,22247,cuda_edge,2752,0,0.008707,cuda_mixed_edge,True
0.050072,1,0.050072,0.001532,1,0.001532,0.001243,1,0.001243,0.001144,3,0.003432,7.55e-05,4,0.000302,0.00047875,4,0.001915,0.008919,1,0.008919,0.051608,1,0.051608,0.000938,1,0.000938,0.061467,1,0.061467,2.375e-05,4,9.5e-05,0.00173225,4,0.006929,0.0001088,5,0.000544,0.0015382,5,0.007691,2.925e-05,4,0.000117,8.5e-05,1,8.5e-05,0.008622,1,0.008622,0.000842,1,0.000842,0.061468,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070092,1.855526399197e-09,cuda_edge,5,edge_based,0.05938100423923,operators,22247,cuda_edge,2752,1,0.008623,cuda_mixed_edge,True
0.050592,1,0.050592,0.001531,1,0.001531,0.001248,1,0.001248,0.001144666666667,3,0.003434,7.525e-05,4,0.000301,0.00047825,4,0.001913,0.009045,1,0.009045,0.052127,1,0.052127,0.000929,1,0.000929,0.062103,1,0.062103,2.425e-05,4,9.7e-05,0.00173975,4,0.006959,0.0001092,5,0.000546,0.0015444,5,0.007722,2.925e-05,4,0.000117,8.4e-05,1,8.4e-05,0.008644,1,0.008644,0.000832,1,0.000832,0.062105,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070751,2.281305431707e-09,cuda_edge,5,edge_based,0.05938100423859,operators,22247,cuda_edge,2752,2,0.008645,cuda_mixed_edge,True
0.04999,1,0.04999,0.001543,1,0.001543,0.00125,1,0.00125,0.001147,3,0.003441,7.575e-05,4,0.000303,0.000477,4,0.001908,0.008772,1,0.008772,0.051536,1,0.051536,0.00094,1,0.00094,0.061251,1,0.061251,2.4e-05,4,9.6e-05,0.00174075,4,0.006963,0.0001108,5,0.000554,0.0015476,5,0.007738,2.925e-05,4,0.000117,8.5e-05,1,8.5e-05,0.008656,1,0.008656,0.000831,1,0.000831,0.061252,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.06991,3.092000825844e-09,cuda_edge,5,edge_based,0.05938100422907,operators,22247,cuda_edge,2752,3,0.008658,cuda_mixed_edge,True
0.05037,1,0.05037,0.001525,1,0.001525,0.001268,1,0.001268,0.001141333333333,3,0.003424,7.575e-05,4,0.000303,0.00047725,4,0.001909,0.00947,1,0.00947,0.051898,1,0.051898,0.000922,1,0.000922,0.062292,1,0.062292,2.325e-05,4,9.3e-05,0.00174225,4,0.006969,0.0001108,5,0.000554,0.001548,5,0.00774,2.875e-05,4,0.000115,8.4e-05,1,8.4e-05,0.008656,1,0.008656,0.000829,1,0.000829,0.062293,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070951,3.205679535199e-09,cuda_edge,5,edge_based,0.05938100424435,operators,22247,cuda_edge,2752,4,0.008657,cuda_mixed_edge,True
0.050166,1,0.050166,0.001527,1,0.001527,0.001246,1,0.001246,0.001140333333333,3,0.003421,7.575e-05,4,0.000303,0.0004805,4,0.001922,0.00875,1,0.00875,0.051696,1,0.051696,0.000924,1,0.000924,0.061372,1,0.061372,2.525e-05,4,0.000101,0.001739,4,0.006956,0.0001096,5,0.000548,0.0015456,5,0.007728,2.925e-05,4,0.000117,8.5e-05,1,8.5e-05,0.008642,1,0.008642,0.000825,1,0.000825,0.061373,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070018,2.794660389473e-09,cuda_edge,5,edge_based,0.05938100424581,operators,22247,cuda_edge,2752,5,0.008644,cuda_mixed_edge,True
0.05048,1,0.05048,0.001525,1,0.001525,0.001257,1,0.001257,0.001141,3,0.003423,7.55e-05,4,0.000302,0.00048025,4,0.001921,0.009088,1,0.009088,0.052008,1,0.052008,0.000921,1,0.000921,0.06202,1,0.06202,2.4e-05,4,9.6e-05,0.001742,4,0.006968,0.0001096,5,0.000548,0.0015468,5,0.007734,2.925e-05,4,0.000117,8.4e-05,1,8.4e-05,0.008648,1,0.008648,0.000826,1,0.000826,0.062021,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070671,2.490915675299e-09,cuda_edge,5,edge_based,0.05938100424602,operators,22247,cuda_edge,2752,6,0.00865,cuda_mixed_edge,True
0.050196,1,0.050196,0.001586,1,0.001586,0.001268,1,0.001268,0.001145333333333,3,0.003436,7.575e-05,4,0.000303,0.00047725,4,0.001909,0.008718,1,0.008718,0.051786,1,0.051786,0.000922,1,0.000922,0.061428,1,0.061428,2.375e-05,4,9.5e-05,0.00174475,4,0.006979,0.00011,5,0.00055,0.0015494,5,0.007747,2.925e-05,4,0.000117,8.4e-05,1,8.4e-05,0.008659,1,0.008659,0.000824,1,0.000824,0.06143,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.07009,1.519830206651e-09,cuda_edge,5,edge_based,0.05938100425816,operators,22247,cuda_edge,2752,7,0.00866,cuda_mixed_edge,True
0.050546,1,0.050546,0.001541,1,0.001541,0.001241,1,0.001241,0.001138333333333,3,0.003415,7.65e-05,4,0.000306,0.000479,4,0.001916,0.009724,1,0.009724,0.05209,1,0.05209,0.000921,1,0.000921,0.062738,1,0.062738,2.35e-05,4,9.4e-05,0.001738,4,0.006952,0.000112,5,0.00056,0.001546,5,0.00773,2.95e-05,4,0.000118,8.5e-05,1,8.5e-05,0.008649,1,0.008649,0.000829,1,0.000829,0.06274,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.07139,2.32464522994e-09,cuda_edge,5,edge_based,0.0593810042501,operators,22247,cuda_edge,2752,8,0.00865,cuda_mixed_edge,True
0.052802,1,0.052802,0.001982,1,0.001982,0.001258,1,0.001258,0.001142666666667,3,0.003428,7.6e-05,4,0.000304,0.0005265,4,0.002106,0.008666,1,0.008666,0.054787,1,0.054787,0.000929,1,0.000929,0.064384,1,0.064384,2.35e-05,4,9.4e-05,0.00179025,4,0.007161,0.0001148,5,0.000574,0.0015902,5,0.007951,2.925e-05,4,0.000117,9.9e-05,1,9.9e-05,0.008898,1,0.008898,0.000844,1,0.000844,0.064386,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.073286,1.150833167372e-09,cuda_edge,5,edge_based,0.05938100424612,operators,22247,cuda_edge,2752,9,0.0089,cuda_mixed_edge,True
