analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.062221,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070713,1.335729853563e-09,cuda_edge,5,edge_based,0.05938100424954,end2end,22247,cuda_edge,2752,0,0.008492,cuda_mixed_edge,True
0.061666,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070099,2.986365048623e-09,cuda_edge,5,edge_based,0.05938100424334,end2end,22247,cuda_edge,2752,1,0.008433,cuda_mixed_edge,True
0.062933,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.071403,1.961915959359e-09,cuda_edge,5,edge_based,0.05938100424219,end2end,22247,cuda_edge,2752,2,0.008469,cuda_mixed_edge,True
0.071191,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.079709,6.388485608894e-09,cuda_edge,5,edge_based,0.059381004226,end2end,22247,cuda_edge,2752,3,0.008518,cuda_mixed_edge,True
0.061247,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.069711,1.598139234519e-09,cuda_edge,5,edge_based,0.05938100425179,end2end,22247,cuda_edge,2752,4,0.008463,cuda_mixed_edge,True
0.06287,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.071331,3.52033270982e-09,cuda_edge,5,edge_based,0.05938100425376,end2end,22247,cuda_edge,2752,5,0.008461,cuda_mixed_edge,True
0.061073,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.069555,3.043588683886e-09,cuda_edge,5,edge_based,0.05938100424778,end2end,22247,cuda_edge,2752,6,0.008481,cuda_mixed_edge,True
0.062901,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.071348,2.152312731891e-09,cuda_edge,5,edge_based,0.05938100423662,end2end,22247,cuda_edge,2752,7,0.008447,cuda_mixed_edge,True
0.061099,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.069551,3.583240971717e-09,cuda_edge,5,edge_based,0.05938100424494,end2end,22247,cuda_edge,2752,8,0.008451,cuda_mixed_edge,True
0.062422,cuda,25000,case_ACTIVSg25k,mixed,case_ACTIVSg25k,0.070915,2.879636410647e-09,cuda_edge,5,edge_based,0.05938100424705,end2end,22247,cuda_edge,2752,9,0.008492,cuda_mixed_edge,True
0.157217,cuda,70000,case_ACTIVSg70k,mixed,case_ACTIVSg70k,0.186109,3.752609024527e-09,cuda_edge,7,edge_based,0.08741618908721,end2end,64105,cuda_edge,5894,0,0.028891,cuda_mixed_edge,True
0.197981,cuda,70000,case_ACTIVSg70k,mixed,case_ACTIVSg70k,0.226879,3.746044165095e-09,cuda_edge,7,edge_based,0.08741618923683,end2end,64105,cuda_edge,5894,1,0.028897,cuda_mixed_edge,True
