analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.133762,0.1194974,0.116716,0.114956,0.006925395314829805,cpu,Base_Eastern_Interconnect_515GW,fp64,1.093109,0.9796705,0.9668760000000001,0.961101,0.04013687172732272,3.363926647793e-11,cpp,6.0,edge_based,end2end,cpp,10,0.959346,0.8601725,0.849603,0.846002,0.03489036316249963,cpu_fp64_edge,True
0.008339,0.0080893,0.0080685,0.007985,0.00010681453292714596,cpu,Base_Florida_42GW,fp64,0.038487,0.0373943,0.0372275,0.037003,0.000467423208190988,5.235145650317e-12,cpp,5.0,edge_based,end2end,cpp,10,0.030148,0.0293045,0.029145499999999998,0.029018,0.0003841224486482868,cpu_fp64_edge,True
0.01203,0.0117358,0.011664500000000001,0.011616,0.00014663620895869405,cpu,Base_MIOHIN_76GW,fp64,0.085272,0.0850002,0.08498649999999999,0.084799,0.00015434218837087502,7.494354309944e-12,cpp,5.0,edge_based,end2end,cpp,10,0.073377,0.073264,0.073243,0.073132,7.530235351198727e-05,cpu_fp64_edge,True
0.010869,0.010586,0.0105595,0.010339,0.00017342433508593926,cpu,Base_Texas_66GW,fp64,0.051801,0.0507505,0.0505455,0.050304,0.00048717216897337475,6.225686632888e-12,cpp,5.0,edge_based,end2end,cpp,10,0.040993,0.0401639,0.039998,0.039869,0.0003610710764132493,cpu_fp64_edge,True
0.033634,0.0327761,0.0327205,0.032268,0.00040010733282180416,cpu,Base_West_Interconnect_121GW,fp64,0.15999,0.15869919999999998,0.1586205,0.157964,0.0005494350229503425,1.282485816127e-10,cpp,5.0,edge_based,end2end,cpp,10,0.126356,0.1259227,0.12597799999999998,0.125411,0.00030755994898917213,cpu_fp64_edge,True
0.001209,0.0011935,0.0012025,0.001107,3.066394915495686e-05,cpu,MemphisCase2026_Mar7,fp64,0.003177,0.0031427,0.003156,0.003044,3.718138721935428e-05,2.11701206269e-12,cpp,3.0,edge_based,end2end,cpp,10,0.00197,0.0019486,0.001949,0.001932,1.2276445377677984e-05,cpu_fp64_edge,True
0.008785,0.0087241,0.008713499999999999,0.008693,2.9034270937788115e-05,cpu,Texas7k_20220923,fp64,0.036406,0.0363202,0.036326,0.036207,6.619466242328896e-05,3.877894193309e-12,cpp,4.0,edge_based,end2end,cpp,10,0.027665,0.0275956,0.027619,0.027495,5.9132995113651524e-05,cpu_fp64_edge,True
0.000187,0.0001686,0.0001655,0.000161,8.527081042837051e-06,cpu,case_ACTIVSg200,fp64,0.000455,0.0004127,0.0004065,0.000394,2.006683277893594e-05,2.56128451781e-13,cpp,3.0,edge_based,end2end,cpp,10,0.000267,0.0002433,0.00024,0.000232,1.1738351199759223e-05,cpu_fp64_edge,True
0.002594,0.0023972,0.0025570000000000002,0.001984,0.0002784487984052603,cpu,case_ACTIVSg2000,fp64,0.01111,0.0108292,0.010902,0.01046,0.00026239698507753053,1.025027793975e-09,cpp,4.0,edge_based,end2end,cpp,10,0.008532,0.0084315,0.008456499999999999,0.008284,8.02361099090261e-05,cpu_fp64_edge,True
0.03374,0.0335576,0.033548999999999995,0.033427,9.089089918993884e-05,cpu,case_ACTIVSg25k,fp64,0.1437,0.1429929,0.142931,0.142452,0.00035428596422162076,1.209629176481e-10,cpp,5.0,edge_based,end2end,cpp,10,0.10996,0.1094347,0.109413,0.108956,0.0002929042505666329,cpu_fp64_edge,True
