analyze_sec,backend,buses,case_name,case_stem,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007965942844748497,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007875382900238037,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,1,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007868433371186256,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,2,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007889972999691963,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,3,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.00790463387966156,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,4,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007794221863150597,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,5,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007920775562524796,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,6,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007756773382425308,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,7,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007708733901381493,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,8,,pypower,True
,python,,case_ACTIVSg200,pglib_opf_case_ACTIVSg200,fp64,,0.007683183997869492,2.52435225500669e-13,pypower,2,pypower,,end2end,,pypower,,9,,pypower,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001226,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,0,0.001224,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001207,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,1,0.001205,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001214,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,2,0.001212,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001208,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,3,0.001206,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001213,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,4,0.001211,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001203,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,5,0.001201,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.0012,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,6,0.001197,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001211,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,7,0.001209,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001203,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,8,0.001201,cpp_pypowerlike,True
2e-06,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.001198,2.56128451781e-13,cpp_naive,3,pypower_like,0.0005626048490686,end2end,162,cpp_naive,37,9,0.001196,cpp_pypowerlike,True
0.000187,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000455,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,0,0.000267,cpu_fp64_edge,True
0.000179,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000438,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,1,0.000258,cpu_fp64_edge,True
0.000173,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000418,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,2,0.000244,cpu_fp64_edge,True
0.000166,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000417,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,3,0.00025,cpu_fp64_edge,True
0.000165,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000406,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,4,0.000241,cpu_fp64_edge,True
0.000164,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.0004,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,5,0.000235,cpu_fp64_edge,True
0.000162,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000395,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,6,0.000232,cpu_fp64_edge,True
0.000161,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000394,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,7,0.000232,cpu_fp64_edge,True
0.000167,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000407,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,8,0.000239,cpu_fp64_edge,True
0.000162,cpu,200,case_ACTIVSg200,,fp64,case_ACTIVSg200,0.000397,2.56128451781e-13,cpp,3,edge_based,0.0005626048490686,end2end,162,cpp,37,9,0.000235,cpu_fp64_edge,True
0.012089,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.012672,4.253740624727e-12,cuda_edge,3,edge_based,0.0005626048488907,end2end,162,cuda_edge,37,0,0.000582,cuda_mixed_edge,True
0.011319,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.01189,4.056489742146e-12,cuda_edge,3,edge_based,0.0005626048489424,end2end,162,cuda_edge,37,1,0.00057,cuda_mixed_edge,True
0.011375,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011942,4.36935958624e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,2,0.000567,cuda_mixed_edge,True
0.011325,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011888,6.189402722999e-12,cuda_edge,3,edge_based,0.0005626048489258,end2end,162,cuda_edge,37,3,0.000563,cuda_mixed_edge,True
0.011412,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011977,4.229063784094e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,4,0.000565,cuda_mixed_edge,True
0.011617,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.012181,4.289364936771e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,5,0.000563,cuda_mixed_edge,True
0.011294,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011859,4.19861426815e-12,cuda_edge,3,edge_based,0.0005626048489147,end2end,162,cuda_edge,37,6,0.000565,cuda_mixed_edge,True
0.011349,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011914,4.039954670296e-12,cuda_edge,3,edge_based,0.0005626048489332,end2end,162,cuda_edge,37,7,0.000564,cuda_mixed_edge,True
0.011274,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.011838,4.409834175006e-12,cuda_edge,3,edge_based,0.0005626048489202,end2end,162,cuda_edge,37,8,0.000564,cuda_mixed_edge,True
0.011317,cuda,200,case_ACTIVSg200,,mixed,case_ACTIVSg200,0.01189,3.97628710586e-12,cuda_edge,3,edge_based,0.0005626048489332,end2end,162,cuda_edge,37,9,0.000573,cuda_mixed_edge,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013945121318101883,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,0,,pypower,True
,python,,case_ACTIVSg500,pglib_opf_case_ACTIVSg500,fp64,,0.013871962204575539,3.471928421412708e-11,pypower,3,pypower,,end2end,,pypower,,1,,pypower,True
