analyze_sec_max,analyze_sec_mean,analyze_sec_median,analyze_sec_min,analyze_sec_stdev,backend,case_name,compute,elapsed_sec_max,elapsed_sec_mean,elapsed_sec_median,elapsed_sec_min,elapsed_sec_stdev,final_mismatch_max,implementation,iterations_mean,jacobian,measurement_mode,profile,runs,solve_sec_max,solve_sec_mean,solve_sec_median,solve_sec_min,solve_sec_stdev,source_profile,success_all
0.25803,0.1975705,0.1887265,0.182482,0.022277286919640815,cuda,Base_Eastern_Interconnect_515GW,mixed,0.301739,0.2330056,0.22199750000000001,0.216275,0.025979834240340244,4.09003853008e-09,cuda_edge,6.8,edge_based,operators,cuda_edge,10,0.043708,0.0354344,0.033761,0.028715,0.004532152718815493,cuda_mixed_edge,True
0.112562,0.032656199999999996,0.023648500000000003,0.023402,0.02807889421611898,cuda,Base_Florida_42GW,mixed,0.116207,0.036327200000000004,0.0273425,0.027061,0.028069759397298406,3.787662405941e-10,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.003764,0.0036707,0.003659,0.003645,3.588887168902237e-05,cuda_mixed_edge,True
0.038918,0.0365396,0.036281,0.036143,0.0008424794359508131,cuda,Base_MIOHIN_76GW,mixed,0.04538,0.043057,0.042788,0.042642,0.0008261470140894338,2.466814361516e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.006765,0.006517,0.0064600000000000005,0.00644,0.00011517233464103553,cuda_mixed_edge,True
0.028672,0.0276721,0.02721,0.027063,0.0007188324561398154,cuda,Base_Texas_66GW,mixed,0.033191,0.032179,0.03186,0.031498,0.0007168543940175173,8.434319909156e-11,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.004672,0.0045066,0.004455,0.004431,9.610665371809019e-05,cuda_mixed_edge,True
0.064984,0.0581671,0.057744000000000004,0.055171,0.0026020369990537116,cuda,Base_West_Interconnect_121GW,mixed,0.073028,0.0672363,0.066693,0.064942,0.002314826369778566,7.772284593699e-09,cuda_edge,5.6,edge_based,operators,cuda_edge,10,0.009824,0.009069,0.009757,0.007971,0.0009150537324842366,cuda_mixed_edge,True
0.117965,0.0373618,0.014099500000000001,0.01353,0.04172867156284753,cuda,MemphisCase2026_Mar7,mixed,0.119004,0.0383985,0.01512,0.014557,0.041736680907406454,7.929901533156e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,10,0.00107,0.0010360999999999999,0.0010325,0.001019,1.8168654325513493e-05,cuda_mixed_edge,True
0.06694,0.0301063,0.0258435,0.025156,0.012982612423716747,cuda,Texas7k_20220923,mixed,0.070265,0.033305799999999997,0.0290215,0.028327,0.01302638869372475,1.625161082231e-10,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.003324,0.0031992,0.0031865,0.003168,4.635323313666725e-05,cuda_mixed_edge,True
0.011596,0.0112015,0.011162499999999999,0.011095,0.00014390834274325844,cuda,case_ACTIVSg200,mixed,0.012241,0.0118366,0.0118005,0.011736,0.0001476401029530934,4.439794571589e-12,cuda_edge,3.0,edge_based,operators,cuda_edge,10,0.000644,0.0006345,0.0006349999999999999,0.000626,7.02772288076936e-06,cuda_mixed_edge,True
0.019219,0.0166106,0.0162635,0.01606,0.0009483195898242555,cuda,case_ACTIVSg2000,mixed,0.021475,0.0187378,0.018339,0.01815,0.0009955923753111906,4.864719496349e-09,cuda_edge,4.0,edge_based,operators,cuda_edge,10,0.002276,0.0021268,0.0020889999999999997,0.002061,7.992468677170754e-05,cuda_mixed_edge,True
0.081288,0.0715009,0.0723935,0.06276,0.005232205386938773,cuda,case_ACTIVSg25k,mixed,0.096237,0.0837934,0.086656,0.071381,0.00805289258175802,4.26915916344e-09,cuda_edge,5.0,edge_based,operators,cuda_edge,10,0.016655,0.0122922,0.014055,0.008608,0.0032330805674395985,cuda_mixed_edge,True
