CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,pq,profile,pv,repeat_idx,solve_sec,source_profile,success
0.009608,1,0.009608,0.001603,1,0.001603,0.000109,1,0.000109,0.000102,1,0.000102,1.35e-05,2,2.7e-05,7.65e-05,2,0.000153,7.6e-05,1,7.6e-05,0.011215,1,0.011215,0.000303,1,0.000303,0.011595,1,0.011595,1.25e-05,2,2.5e-05,0.0001975,2,0.000395,2.8e-05,3,8.4e-05,0.0001823333333333,3,0.000547,2.05e-05,2,4.1e-05,2e-05,1,2e-05,0.000643,1,0.000643,7.3e-05,1,7.3e-05,0.011596,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012241,4.439794571589e-12,cuda_edge,3,edge_based,0.0005626048489147,operators,162,cuda_edge,37,0,0.000644,cuda_mixed_edge,True
0.009355,1,0.009355,0.001532,1,0.001532,0.000108,1,0.000108,0.000104,1,0.000104,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.1e-05,1,6.1e-05,0.01089,1,0.01089,0.00023,1,0.00023,0.011183,1,0.011183,1.35e-05,2,2.7e-05,0.000197,2,0.000394,2.6e-05,3,7.8e-05,0.0001813333333333,3,0.000544,2.05e-05,2,4.1e-05,2e-05,1,2e-05,0.000632,1,0.000632,6.6e-05,1,6.6e-05,0.011184,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011818,4.102433233091e-12,cuda_edge,3,edge_based,0.0005626048489258,operators,162,cuda_edge,37,1,0.000633,cuda_mixed_edge,True
0.009289,1,0.009289,0.001629,1,0.001629,0.000109,1,0.000109,0.000102,1,0.000102,1.25e-05,2,2.5e-05,7.7e-05,2,0.000154,6.4e-05,1,6.4e-05,0.01092,1,0.01092,0.000229,1,0.000229,0.011216,1,0.011216,1.35e-05,2,2.7e-05,0.0001965,2,0.000393,2.666666666667e-05,3,8e-05,0.0001813333333333,3,0.000544,2e-05,2,4e-05,2e-05,1,2e-05,0.000643,1,0.000643,7.8e-05,1,7.8e-05,0.011217,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011861,4.412904754205e-12,cuda_edge,3,edge_based,0.0005626048489332,operators,162,cuda_edge,37,2,0.000644,cuda_mixed_edge,True
0.009294,1,0.009294,0.001544,1,0.001544,0.000109,1,0.000109,0.000102,1,0.000102,1.2e-05,2,2.4e-05,7.7e-05,2,0.000154,6.6e-05,1,6.6e-05,0.010842,1,0.010842,0.000231,1,0.000231,0.01114,1,0.01114,1.3e-05,2,2.6e-05,0.000196,2,0.000392,2.566666666667e-05,3,7.7e-05,0.0001793333333333,3,0.000538,2e-05,2,4e-05,2e-05,1,2e-05,0.000626,1,0.000626,6.6e-05,1,6.6e-05,0.011141,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011768,4.130313890218e-12,cuda_edge,3,edge_based,0.0005626048489202,operators,162,cuda_edge,37,3,0.000627,cuda_mixed_edge,True
0.009296,1,0.009296,0.001615,1,0.001615,0.000108,1,0.000108,0.000102,1,0.000102,1.2e-05,2,2.4e-05,7.65e-05,2,0.000153,6.3e-05,1,6.3e-05,0.010914,1,0.010914,0.000229,1,0.000229,0.011207,1,0.011207,1.3e-05,2,2.6e-05,0.0001955,2,0.000391,2.566666666667e-05,3,7.7e-05,0.000179,3,0.000537,2e-05,2,4e-05,2e-05,1,2e-05,0.000625,1,0.000625,6.6e-05,1,6.6e-05,0.011208,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011835,4.140617453392e-12,cuda_edge,3,edge_based,0.0005626048489295,operators,162,cuda_edge,37,4,0.000626,cuda_mixed_edge,True
0.009275,1,0.009275,0.00154,1,0.00154,0.000109,1,0.000109,0.000102,1,0.000102,1.25e-05,2,2.5e-05,7.65e-05,2,0.000153,6.5e-05,1,6.5e-05,0.010818,1,0.010818,0.000229,1,0.000229,0.011114,1,0.011114,1.3e-05,2,2.6e-05,0.000196,2,0.000392,2.6e-05,3,7.8e-05,0.0001796666666667,3,0.000539,2e-05,2,4e-05,2e-05,1,2e-05,0.000627,1,0.000627,6.6e-05,1,6.6e-05,0.011115,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011743,4.182240840496e-12,cuda_edge,3,edge_based,0.0005626048488999,operators,162,cuda_edge,37,5,0.000628,cuda_mixed_edge,True
0.009298,1,0.009298,0.001538,1,0.001538,0.000109,1,0.000109,0.000102,1,0.000102,1.25e-05,2,2.5e-05,7.65e-05,2,0.000153,6.3e-05,1,6.3e-05,0.010838,1,0.010838,0.00023,1,0.00023,0.011133,1,0.011133,1.3e-05,2,2.6e-05,0.000196,2,0.000392,2.6e-05,3,7.8e-05,0.0001796666666667,3,0.000539,2e-05,2,4e-05,2e-05,1,2e-05,0.000627,1,0.000627,6.7e-05,1,6.7e-05,0.011134,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011763,4.098960783083e-12,cuda_edge,3,edge_based,0.000562604848887,operators,162,cuda_edge,37,6,0.000628,cuda_mixed_edge,True
0.009276,1,0.009276,0.001525,1,0.001525,0.00011,1,0.00011,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.75e-05,2,0.000155,6.2e-05,1,6.2e-05,0.010804,1,0.010804,0.000226,1,0.000226,0.011095,1,0.011095,1.3e-05,2,2.6e-05,0.000199,2,0.000398,2.7e-05,3,8.1e-05,0.0001826666666667,3,0.000548,2e-05,2,4e-05,2.1e-05,1,2.1e-05,0.000639,1,0.000639,6.8e-05,1,6.8e-05,0.011095,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011736,4.266596028007e-12,cuda_edge,3,edge_based,0.0005626048489202,operators,162,cuda_edge,37,7,0.00064,cuda_mixed_edge,True
0.009305,1,0.009305,0.001547,1,0.001547,0.00011,1,0.00011,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.75e-05,2,0.000155,6.4e-05,1,6.4e-05,0.010855,1,0.010855,0.000234,1,0.000234,0.011155,1,0.011155,1.3e-05,2,2.6e-05,0.000198,2,0.000396,2.666666666667e-05,3,8e-05,0.0001816666666667,3,0.000545,2e-05,2,4e-05,2e-05,1,2e-05,0.000636,1,0.000636,6.9e-05,1,6.9e-05,0.011156,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011794,4.278588512797e-12,cuda_edge,3,edge_based,0.0005626048489147,operators,162,cuda_edge,37,8,0.000637,cuda_mixed_edge,True
0.00932,1,0.00932,0.001539,1,0.001539,0.000109,1,0.000109,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.75e-05,2,0.000155,7.1e-05,1,7.1e-05,0.010862,1,0.010862,0.000234,1,0.000234,0.011168,1,0.011168,1.3e-05,2,2.6e-05,0.000198,2,0.000396,2.7e-05,3,8.1e-05,0.000182,3,0.000546,2e-05,2,4e-05,2.1e-05,1,2.1e-05,0.000637,1,0.000637,6.7e-05,1,6.7e-05,0.011169,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011807,4.213432642646e-12,cuda_edge,3,edge_based,0.0005626048489332,operators,162,cuda_edge,37,9,0.000638,cuda_mixed_edge,True
