case,runs,buses,iterations_mean,factorize_ms_per_nr_iter,factorize_pct_of_nr_iter,iter_total_ms,factorization_count_mean,refactorization_count_mean,factor_per_call_ms,refactor_per_call_ms
case_ACTIVSg200,10,200,3.0,0.07113333333333333,39.106940449296154,0.1819,1.0,1.0,0.1101,0.10329999999999999
case_ACTIVSg500,10,500,4.0,0.124925,48.2520018742076,0.25889999999999996,1.0,2.0,0.2568,0.12145000000000002
MemphisCase2026_Mar7,10,993,3.0,0.22023333333333336,55.742842354077155,0.3809666666666666,1.0,1.0,0.4526,0.20810000000000003
case_ACTIVSg2000,10,2000,4.0,0.300425,56.726955701114015,0.5299750000000001,1.0,2.0,0.48719999999999997,0.35724999999999996
Base_Florida_42GW,10,5658,5.0,0.39526,59.06017025301073,0.66924,1.0,3.0,0.5754,0.4669666666666668
Texas7k_20220923,10,6717,4.0,0.42982499999999996,60.91903584223123,0.7055749999999998,1.0,2.0,0.6431,0.5381
Base_Texas_66GW,10,7336,5.0,0.5036599999999999,61.085665336117266,0.8248599999999999,1.0,3.0,0.6984999999999999,0.6066
Base_MIOHIN_76GW,10,10189,5.0,0.6285200000000001,62.79133813652518,1.0010999999999999,1.0,3.0,0.8740000000000002,0.7562
Base_West_Interconnect_121GW,10,20758,5.7,1.0850166666666665,56.980091809318175,1.8720100000000002,1.0,3.7,1.9580000000000002,1.15375
case_ACTIVSg25k,10,25000,5.0,0.93606,60.864608970621745,1.5379400000000003,1.0,3.0,1.2570999999999999,1.1410666666666667
case_ACTIVSg70k,10,70000,7.0,2.432214285714285,62.18204988672144,3.918785714285714,1.0,5.0,2.9005999999999994,2.82498
Base_Eastern_Interconnect_515GW,10,78478,6.7,2.8295571428571433,64.04298017496028,4.4272166666666655,1.0,4.7,3.4176,3.30991
