case,runs,buses,iterations_mean,linear_solve_count_mean,rhs_prepare_ms_per_nr_iter,factorization_ms_per_nr_iter,refactorization_ms_per_nr_iter,factor_plus_refactor_ms_per_nr_iter,cudss_solve_ms_per_nr_iter,measured_subphase_sum_ms_per_nr_iter,linear_solve_stage_ms_per_nr_iter,factorization_count_mean,refactorization_count_mean,cudss_solve_count_mean
case_ACTIVSg200,10,200,3.0,2.0,0.008466666666666667,0.036699999999999997,0.03443333333333333,0.07113333333333333,0.05156666666666667,0.13116666666666665,0.13216666666666668,1.0,1.0,2.0
case_ACTIVSg500,10,500,4.0,3.0,0.011974999999999998,0.0642,0.06072500000000001,0.12492500000000001,0.06367500000000001,0.200575,0.20185,1.0,2.0,3.0
MemphisCase2026_Mar7,10,993,3.0,2.0,0.012599999999999997,0.1508666666666667,0.06936666666666666,0.22023333333333336,0.08793333333333334,0.3207666666666667,0.322,1.0,1.0,2.0
case_ACTIVSg2000,10,2000,4.0,3.0,0.020074999999999996,0.12179999999999999,0.17862499999999998,0.30042499999999994,0.13855,0.45904999999999996,0.46055,1.0,2.0,3.0
Base_Florida_42GW,10,5658,5.0,4.0,0.021920000000000002,0.11508000000000003,0.28018,0.39526,0.17981999999999998,0.597,0.5993999999999999,1.0,3.0,4.0
Texas7k_20220923,10,6717,4.0,3.0,0.022524999999999996,0.160775,0.26905,0.429825,0.17674999999999996,0.6291,0.63145,1.0,2.0,3.0
Base_Texas_66GW,10,7336,5.0,4.0,0.02546,0.1397,0.36395999999999995,0.50366,0.21180000000000004,0.74092,0.7436800000000001,1.0,3.0,4.0
Base_MIOHIN_76GW,10,10189,5.0,4.0,0.032240000000000005,0.1748,0.45371999999999996,0.62852,0.23754,0.8983,0.9017799999999999,1.0,3.0,4.0
Base_West_Interconnect_121GW,10,20758,5.7,4.7,0.14498333333333333,0.33893666666666666,0.7460799999999999,1.0850166666666665,0.36147,1.5914699999999997,1.5978633333333334,1.0,3.7,4.7
case_ACTIVSg25k,10,25000,5.0,4.0,0.059640000000000006,0.25142,0.6846400000000001,0.9360600000000001,0.382,1.3777000000000001,1.38506,1.0,3.0,4.0
case_ACTIVSg70k,10,70000,7.0,6.0,0.20267142857142856,0.4143714285714285,2.017842857142857,2.4322142857142857,0.849342857142857,3.484228571428571,3.506857142857143,1.0,5.0,6.0
Base_Eastern_Interconnect_515GW,10,78478,6.7,5.7,0.22867619047619048,0.5126142857142857,2.3169428571428567,2.8295571428571424,0.8656476190476189,3.923880952380952,3.9527476190476194,1.0,4.7,5.7
