baseline_count_mean,baseline_ms_mean,baseline_sec_mean,case_name,delta_ms_mg_minus_baseline,measurement_mode,metric,mg_count_mean,mg_ms_mean,mg_sec_mean,profile,speedup_baseline_over_mg
,10.8976,0.0108976,case118_ieee,6.230900000000001,end2end,analyze_sec,,17.128500000000003,0.0171285,cuda_edge,0.636226172753014
,11.7278,0.0117278,case118_ieee,8.346599999999999,end2end,elapsed_sec,,20.0744,0.0200744,cuda_edge,0.5842167138245726
,0.8297,0.0008297,case118_ieee,2.1159,end2end,solve_sec,,2.9456,0.0029456,cuda_edge,0.28167436175991306
,16.8932,0.0168932,case1354_pegase,6.502499999999998,end2end,analyze_sec,,23.395699999999998,0.0233957,cuda_edge,0.7220643109631257
,18.9258,0.0189258,case1354_pegase,11.551200000000001,end2end,elapsed_sec,,30.477,0.030477,cuda_edge,0.62098631755094
,2.0319000000000003,0.0020319,case1354_pegase,5.0489999999999995,end2end,solve_sec,,7.080900000000001,0.0070809,cuda_edge,0.2869550480871076
,22.3835,0.0223835,case2746wop_k,7.570199999999999,end2end,analyze_sec,,29.9537,0.0299537,cuda_edge,0.7472699532945847
,24.6119,0.0246119,case2746wop_k,12.637300000000003,end2end,elapsed_sec,,37.2492,0.0372492,cuda_edge,0.6607363379616206
,2.2279999999999998,0.002228,case2746wop_k,5.0669,end2end,solve_sec,,7.2949,0.0072949,cuda_edge,0.30541885426805027
,10.236699999999999,0.0102367,case30_ieee,6.529700000000001,end2end,analyze_sec,,16.7664,0.0167664,cuda_edge,0.6105484779081973
,10.928099999999999,0.0109281,case30_ieee,8.2957,end2end,elapsed_sec,,19.2238,0.0192238,cuda_edge,0.5684672125178165
,0.691,0.000691,case30_ieee,1.7662000000000002,end2end,solve_sec,,2.4572000000000003,0.0024572,cuda_edge,0.2812143903630148
,32.209599999999995,0.0322096,case4601_goc,8.5905,end2end,analyze_sec,,40.8001,0.0408001,cuda_edge,0.7894490454680257
,36.355399999999996,0.036355399999999996,case4601_goc,16.043900000000008,end2end,elapsed_sec,,52.399300000000004,0.0523993,cuda_edge,0.6938146120272598
,4.1453,0.0041453,case4601_goc,7.4533000000000005,end2end,solve_sec,,11.598600000000001,0.0115986,cuda_edge,0.35739658234614524
,14.1989,0.0141989,case793_goc,6.2912,end2end,analyze_sec,,20.4901,0.0204901,cuda_edge,0.6929639191609607
,15.7284,0.0157284,case793_goc,9.707,end2end,elapsed_sec,,25.4354,0.0254354,cuda_edge,0.6183665285389653
,1.5291000000000001,0.0015291,case793_goc,3.416,end2end,solve_sec,,4.9451,0.0049451,cuda_edge,0.30921518270611315
,47.8226,0.0478226,case8387_pegase,9.524499999999998,end2end,analyze_sec,,57.3471,0.0573471,cuda_edge,0.8339148797410855
,53.8273,0.0538273,case8387_pegase,18.739299999999993,end2end,elapsed_sec,,72.5666,0.0725666,cuda_edge,0.7417641173763136
,6.0044,0.0060044,case8387_pegase,9.214500000000001,end2end,solve_sec,,15.2189,0.0152189,cuda_edge,0.3945357417421758
,52.0568,0.0520568,case9241_pegase,9.9312,end2end,analyze_sec,,61.988,0.061988,cuda_edge,0.8397883461315093
,59.192299999999996,0.059192299999999996,case9241_pegase,21.54960000000001,end2end,elapsed_sec,,80.7419,0.0807419,cuda_edge,0.7331051164265393
,7.135,0.007135,case9241_pegase,11.618700000000002,end2end,solve_sec,,18.753700000000002,0.0187537,cuda_edge,0.3804582562374358
1.0,8.9228,0.0089228,case118_ieee,6.0225,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,14.9453,0.0149453,cuda_edge,0.5970305045733442
1.0,1.6726,0.0016726,case118_ieee,0.1893000000000001,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.8619,0.0018619,cuda_edge,0.8983296632472205
1.0,0.0814,8.14e-05,case118_ieee,0.24810000000000001,operators,CUDA.solve.factorization32.total_sec,1.0,0.32949999999999996,0.0003295,cuda_edge,0.24704097116843704
3.0,0.2241,0.0002241,case118_ieee,0.6966,operators,CUDA.solve.refactorization32.total_sec,3.0,0.9207,0.0009207,cuda_edge,0.2434017595307918
4.0,0.04700000000000001,4.7000000000000004e-05,case118_ieee,0.0012999999999999978,operators,CUDA.solve.rhsPrepare.total_sec,4.0,0.0483,4.83e-05,cuda_edge,0.9730848861283644
4.0,0.2671,0.0002671,case118_ieee,1.1022,operators,CUDA.solve.solve32.total_sec,4.0,1.3693,0.0013693,cuda_edge,0.1950631709632659
1.0,0.0395,3.95e-05,case118_ieee,-9.999999999999565e-05,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.039400000000000004,3.94e-05,cuda_edge,1.0025380710659897
1.0,10.598400000000002,0.010598400000000001,case118_ieee,6.211600000000002,operators,NR.analyze.linear_solve.total_sec,1.0,16.810000000000002,0.016810000000000002,cuda_edge,0.6304818560380725
1.0,0.2667,0.0002667,case118_ieee,0.012100000000000024,operators,NR.analyze.storage_prepare.total_sec,1.0,0.2788,0.0002788,cuda_edge,0.956599713055954
1.0,10.9062,0.0109062,case118_ieee,6.223500000000001,operators,NR.analyze.total.total_sec,1.0,17.1297,0.0171297,cuda_edge,0.636683654704986
4.0,0.0501,5.01e-05,case118_ieee,0.0021999999999999993,operators,NR.iteration.jacobian.total_sec,4.0,0.0523,5.23e-05,cuda_edge,0.9579349904397706
4.0,0.6242,0.0006242,case118_ieee,2.0495,operators,NR.iteration.linear_solve.total_sec,4.0,2.6737,0.0026737,cuda_edge,0.23345925122489433
5.0,0.11349999999999999,0.0001135,case118_ieee,0.008100000000000007,operators,NR.iteration.mismatch.total_sec,5.0,0.1216,0.0001216,cuda_edge,0.9333881578947368
5.0,0.8635999999999999,0.0008636,case118_ieee,2.0617,operators,NR.iteration.total.total_sec,5.0,2.9253,0.0029253,cuda_edge,0.2952175845212457
4.0,0.06899999999999999,6.9e-05,case118_ieee,0.002600000000000009,operators,NR.iteration.voltage_update.total_sec,4.0,0.07160000000000001,7.16e-05,cuda_edge,0.9636871508379887
1.0,0.0183,1.83e-05,case118_ieee,0.00039999999999999953,operators,NR.solve.download.total_sec,1.0,0.0187,1.87e-05,cuda_edge,0.9786096256684492
1.0,0.9460999999999999,0.0009461,case118_ieee,2.0648999999999997,operators,NR.solve.total.total_sec,1.0,3.0109999999999997,0.003011,cuda_edge,0.31421454666223847
1.0,0.0609,6.09e-05,case118_ieee,0.002699999999999998,operators,NR.solve.upload.total_sec,1.0,0.0636,6.36e-05,cuda_edge,0.9575471698113208
,10.9073,0.0109073,case118_ieee,6.223500000000001,operators,analyze_sec,,17.1308,0.0171308,cuda_edge,0.6367069839120181
,11.8549,0.0118549,case118_ieee,8.288600000000002,operators,elapsed_sec,,20.143500000000003,0.0201435,cuda_edge,0.5885223521235138
,0.9470999999999999,0.0009471,case118_ieee,2.0648000000000004,operators,solve_sec,,3.0119000000000002,0.0030119,cuda_edge,0.3144526710714167
1.0,14.611600000000001,0.0146116,case1354_pegase,6.137599999999998,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,20.7492,0.0207492,cuda_edge,0.7042006438802461
1.0,1.6624999999999999,0.0016625,case1354_pegase,0.17580000000000004,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.8383,0.0018383,cuda_edge,0.9043681662405483
1.0,0.3089,0.00030890000000000003,case1354_pegase,0.5759000000000001,operators,CUDA.solve.factorization32.total_sec,1.0,0.8848,0.0008848,cuda_edge,0.34911844484629295
4.0,0.7231,0.0007231,case1354_pegase,1.7761,operators,CUDA.solve.refactorization32.total_sec,4.0,2.4992,0.0024992,cuda_edge,0.28933258642765686
5.0,0.1062,0.0001062,case1354_pegase,0.0029999999999999914,operators,CUDA.solve.rhsPrepare.total_sec,5.0,0.10919999999999999,0.0001092,cuda_edge,0.9725274725274726
5.0,0.6415,0.0006414999999999999,case1354_pegase,2.3764,operators,CUDA.solve.solve32.total_sec,5.0,3.0179,0.0030179,cuda_edge,0.21256502866231483
1.0,0.4178,0.0004178,case1354_pegase,0.0063999999999999925,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.4242,0.0004242,cuda_edge,0.984912776991985
1.0,16.2768,0.0162768,case1354_pegase,6.313599999999999,operators,NR.analyze.linear_solve.total_sec,1.0,22.5904,0.0225904,cuda_edge,0.7205184503151781
1.0,0.3202,0.0003202,case1354_pegase,0.009400000000000013,operators,NR.analyze.storage_prepare.total_sec,1.0,0.3296,0.0003296,cuda_edge,0.9714805825242718
1.0,17.0166,0.0170166,case1354_pegase,6.3295999999999975,operators,NR.analyze.total.total_sec,1.0,23.346199999999996,0.023346199999999998,cuda_edge,0.7288809313721292
5.0,0.062299999999999994,6.23e-05,case1354_pegase,0.0031000000000000077,operators,NR.iteration.jacobian.total_sec,5.0,0.0654,6.54e-05,cuda_edge,0.9525993883792048
5.0,1.7887,0.0017887,case1354_pegase,4.7317,operators,NR.iteration.linear_solve.total_sec,5.0,6.5204,0.0065204,cuda_edge,0.2743236611250844
6.0,0.2148,0.0002148,case1354_pegase,0.011099999999999999,operators,NR.iteration.mismatch.total_sec,6.0,0.2259,0.0002259,cuda_edge,0.950863213811421
6.0,2.1803,0.0021803,case1354_pegase,4.747599999999999,operators,NR.iteration.total.total_sec,6.0,6.9279,0.0069279,cuda_edge,0.3147129721849334
5.0,0.106,0.000106,case1354_pegase,0.0012999999999999908,operators,NR.iteration.voltage_update.total_sec,5.0,0.10729999999999999,0.00010729999999999999,cuda_edge,0.9878844361602983
1.0,0.0287,2.87e-05,case1354_pegase,0.00039999999999999953,operators,NR.solve.download.total_sec,1.0,0.0291,2.91e-05,cuda_edge,0.9862542955326461
1.0,2.3354999999999997,0.0023355,case1354_pegase,4.7504,operators,NR.solve.total.total_sec,1.0,7.0859,0.0070859,cuda_edge,0.3295982161757857
1.0,0.1227,0.0001227,case1354_pegase,0.0021999999999999993,operators,NR.solve.upload.total_sec,1.0,0.1249,0.0001249,cuda_edge,0.9823859087269816
,17.0178,0.0170178,case1354_pegase,6.329600000000001,operators,analyze_sec,,23.3474,0.0233474,cuda_edge,0.7288948662377823
