analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.010359,cuda,30,case30_ieee,mixed,case30_ieee,0.011053,2.329280552552e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,0,0.000693,cuda_mixed_edge,True,baseline
0.010234,cuda,30,case30_ieee,mixed,case30_ieee,0.010932,2.073087293601e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,1,0.000698,cuda_mixed_edge,True,baseline
0.010242,cuda,30,case30_ieee,mixed,case30_ieee,0.010932,2.330856106253e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,2,0.00069,cuda_mixed_edge,True,baseline
0.010222,cuda,30,case30_ieee,mixed,case30_ieee,0.010913,1.707125573533e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,3,0.00069,cuda_mixed_edge,True,baseline
0.010227,cuda,30,case30_ieee,mixed,case30_ieee,0.010917,2.330856106253e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,4,0.000689,cuda_mixed_edge,True,baseline
0.010225,cuda,30,case30_ieee,mixed,case30_ieee,0.010917,2.215972172788e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,5,0.000691,cuda_mixed_edge,True,baseline
0.01021,cuda,30,case30_ieee,mixed,case30_ieee,0.010898,2.330856106253e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,6,0.000688,cuda_mixed_edge,True,baseline
0.010219,cuda,30,case30_ieee,mixed,case30_ieee,0.01091,2.215972172788e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,7,0.000691,cuda_mixed_edge,True,baseline
0.010216,cuda,30,case30_ieee,mixed,case30_ieee,0.010908,2.27022921156e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,8,0.000692,cuda_mixed_edge,True,baseline
0.010213,cuda,30,case30_ieee,mixed,case30_ieee,0.010901,1.468825061579e-13,cuda_mixed_edge,5,edge_based,0.341154734562,end2end,,False,24,cuda_edge,CUDA mixed edge,5,9,0.000688,cuda_mixed_edge,True,baseline
0.011179,cuda,118,case118_ieee,mixed,case118_ieee,0.012013,7.063183371514e-11,cuda_mixed_edge,5,edge_based,1.002563617485,end2end,,False,64,cuda_edge,CUDA mixed edge,53,0,0.000834,cuda_mixed_edge,True,baseline
0.010857,cuda,118,case118_ieee,mixed,case118_ieee,0.011689,6.334344715324e-11,cuda_mixed_edge,5,edge_based,1.002563617496,end2end,,False,64,cuda_edge,CUDA mixed edge,53,1,0.000831,cuda_mixed_edge,True,baseline
0.010851,cuda,118,case118_ieee,mixed,case118_ieee,0.011684,6.632409415057e-11,cuda_mixed_edge,5,edge_based,1.002563617479,end2end,,False,64,cuda_edge,CUDA mixed edge,53,2,0.000832,cuda_mixed_edge,True,baseline
0.011067,cuda,118,case118_ieee,mixed,case118_ieee,0.011896,6.706497886341e-11,cuda_mixed_edge,5,edge_based,1.002563617484,end2end,,False,64,cuda_edge,CUDA mixed edge,53,3,0.000829,cuda_mixed_edge,True,baseline
0.010869,cuda,118,case118_ieee,mixed,case118_ieee,0.01171,7.207031758219e-11,cuda_mixed_edge,5,edge_based,1.00256361748,end2end,,False,64,cuda_edge,CUDA mixed edge,53,4,0.00084,cuda_mixed_edge,True,baseline
0.010941,cuda,118,case118_ieee,mixed,case118_ieee,0.01177,6.742503083634e-11,cuda_mixed_edge,5,edge_based,1.002563617504,end2end,,False,64,cuda_edge,CUDA mixed edge,53,5,0.000828,cuda_mixed_edge,True,baseline
0.010798,cuda,118,case118_ieee,mixed,case118_ieee,0.011613,6.805342398102e-11,cuda_mixed_edge,5,edge_based,1.00256361751,end2end,,False,64,cuda_edge,CUDA mixed edge,53,6,0.000815,cuda_mixed_edge,True,baseline
0.010785,cuda,118,case118_ieee,mixed,case118_ieee,0.011615,6.511704353398e-11,cuda_mixed_edge,5,edge_based,1.002563617484,end2end,,False,64,cuda_edge,CUDA mixed edge,53,7,0.00083,cuda_mixed_edge,True,baseline
0.010829,cuda,118,case118_ieee,mixed,case118_ieee,0.011664,7.09742818157e-11,cuda_mixed_edge,5,edge_based,1.002563617484,end2end,,False,64,cuda_edge,CUDA mixed edge,53,8,0.000835,cuda_mixed_edge,True,baseline
0.0108,cuda,118,case118_ieee,mixed,case118_ieee,0.011624,6.993712030045e-11,cuda_mixed_edge,5,edge_based,1.002563617488,end2end,,False,64,cuda_edge,CUDA mixed edge,53,9,0.000823,cuda_mixed_edge,True,baseline
0.014525,cuda,793,case793_goc,mixed,case793_goc,0.016103,1.882578519186e-12,cuda_mixed_edge,6,edge_based,1.161718975814,end2end,,False,704,cuda_edge,CUDA mixed edge,88,0,0.001578,cuda_mixed_edge,True,baseline
0.014091,cuda,793,case793_goc,mixed,case793_goc,0.015685,1.789390964207e-12,cuda_mixed_edge,6,edge_based,1.161718975814,end2end,,False,704,cuda_edge,CUDA mixed edge,88,1,0.001593,cuda_mixed_edge,True,baseline
0.01445,cuda,793,case793_goc,mixed,case793_goc,0.016022,1.948861648543e-12,cuda_mixed_edge,6,edge_based,1.161718975814,end2end,,False,704,cuda_edge,CUDA mixed edge,88,2,0.001572,cuda_mixed_edge,True,baseline
0.014076,cuda,793,case793_goc,mixed,case793_goc,0.015639,1.939594691971e-12,cuda_mixed_edge,6,edge_based,1.161718975814,end2end,,False,704,cuda_edge,CUDA mixed edge,88,3,0.001562,cuda_mixed_edge,True,baseline
0.014208,cuda,793,case793_goc,mixed,case793_goc,0.015509,8.214624297913e-09,cuda_mixed_edge,5,edge_based,1.161718975766,end2end,,False,704,cuda_edge,CUDA mixed edge,88,4,0.001301,cuda_mixed_edge,True,baseline
0.014139,cuda,793,case793_goc,mixed,case793_goc,0.015717,1.773644118928e-12,cuda_mixed_edge,6,edge_based,1.161718975814,end2end,,False,704,cuda_edge,CUDA mixed edge,88,5,0.001577,cuda_mixed_edge,True,baseline
