CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.008532,1,0.008532,0.00166,1,0.00166,6.6e-05,1,6.6e-05,6.1e-05,3,0.000183,9e-06,4,3.6e-05,5.075e-05,4,0.000203,1.7e-05,1,1.7e-05,0.010195,1,0.010195,0.000239,1,0.000239,0.010453,1,0.010453,9.5e-06,4,3.8e-05,0.0001235,4,0.000494,1.84e-05,5,9.2e-05,0.0001382,5,0.000691,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000757,1,0.000757,4.7e-05,1,4.7e-05,0.010454,cuda,30,case30_ieee,mixed,case30_ieee,0.011212,2.329280552552e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,0,0.000758,cuda_mixed_edge,True,baseline
0.008475,1,0.008475,0.001554,1,0.001554,6.6e-05,1,6.6e-05,6e-05,3,0.00018,9.75e-06,4,3.9e-05,5.1e-05,4,0.000204,1.3e-05,1,1.3e-05,0.010032,1,0.010032,0.000208,1,0.000208,0.010255,1,0.010255,1.025e-05,4,4.1e-05,0.00012375,4,0.000495,1.84e-05,5,9.2e-05,0.0001388,5,0.000694,1.5e-05,4,6e-05,1.6e-05,1,1.6e-05,0.000762,1,0.000762,4.9e-05,1,4.9e-05,0.010256,cuda,30,case30_ieee,mixed,case30_ieee,0.011019,1.808956385807e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,1,0.000762,cuda_mixed_edge,True,baseline
0.00848,1,0.00848,0.001562,1,0.001562,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.5e-06,4,3.8e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010044,1,0.010044,0.000218,1,0.000218,0.010278,1,0.010278,1e-05,4,4e-05,0.000123,4,0.000492,1.86e-05,5,9.3e-05,0.0001384,5,0.000692,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000758,1,0.000758,4.8e-05,1,4.8e-05,0.010279,cuda,30,case30_ieee,mixed,case30_ieee,0.011039,2.215972172788e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,2,0.000759,cuda_mixed_edge,True,baseline
0.008479,1,0.008479,0.001562,1,0.001562,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.75e-06,4,3.9e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010043,1,0.010043,0.000212,1,0.000212,0.010271,1,0.010271,9.75e-06,4,3.9e-05,0.000123,4,0.000492,1.84e-05,5,9.2e-05,0.000138,5,0.00069,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000757,1,0.000757,4.8e-05,1,4.8e-05,0.010272,cuda,30,case30_ieee,mixed,case30_ieee,0.01103,2.151148657702e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,3,0.000757,cuda_mixed_edge,True,baseline
0.008484,1,0.008484,0.001555,1,0.001555,6.6e-05,1,6.6e-05,5.933333333333e-05,3,0.000178,9.5e-06,4,3.8e-05,5.15e-05,4,0.000206,1.3e-05,1,1.3e-05,0.010041,1,0.010041,0.00022,1,0.00022,0.010276,1,0.010276,1e-05,4,4e-05,0.000123,4,0.000492,1.84e-05,5,9.2e-05,0.0001382,5,0.000691,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000758,1,0.000758,4.8e-05,1,4.8e-05,0.010277,cuda,30,case30_ieee,mixed,case30_ieee,0.011036,2.53326813439e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,4,0.000759,cuda_mixed_edge,True,baseline
0.00847,1,0.00847,0.001553,1,0.001553,6.6e-05,1,6.6e-05,5.933333333333e-05,3,0.000178,9.5e-06,4,3.8e-05,5.15e-05,4,0.000206,1.3e-05,1,1.3e-05,0.010026,1,0.010026,0.000211,1,0.000211,0.010252,1,0.010252,9.75e-06,4,3.9e-05,0.00012325,4,0.000493,1.82e-05,5,9.1e-05,0.000138,5,0.00069,1.5e-05,4,6e-05,1.6e-05,1,1.6e-05,0.000758,1,0.000758,4.8e-05,1,4.8e-05,0.010253,cuda,30,case30_ieee,mixed,case30_ieee,0.011013,2.601446840299e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,5,0.000759,cuda_mixed_edge,True,baseline
0.008481,1,0.008481,0.001549,1,0.001549,6.6e-05,1,6.6e-05,5.966666666667e-05,3,0.000179,9.75e-06,4,3.9e-05,5.125e-05,4,0.000205,1.4e-05,1,1.4e-05,0.010033,1,0.010033,0.000222,1,0.000222,0.01027,1,0.01027,1e-05,4,4e-05,0.000123,4,0.000492,1.86e-05,5,9.3e-05,0.0001384,5,0.000692,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.000757,1,0.000757,4.7e-05,1,4.7e-05,0.010271,cuda,30,case30_ieee,mixed,case30_ieee,0.011029,2.296878042598e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,6,0.000757,cuda_mixed_edge,True,baseline
0.00849,1,0.00849,0.001846,1,0.001846,6.7e-05,1,6.7e-05,5.933333333333e-05,3,0.000178,1e-05,4,4e-05,5.15e-05,4,0.000206,1.4e-05,1,1.4e-05,0.010339,1,0.010339,0.000212,1,0.000212,0.010567,1,0.010567,1e-05,4,4e-05,0.00012375,4,0.000495,1.84e-05,5,9.2e-05,0.0001386,5,0.000693,1.525e-05,4,6.1e-05,1.5e-05,1,1.5e-05,0.00076,1,0.00076,4.8e-05,1,4.8e-05,0.010568,cuda,30,case30_ieee,mixed,case30_ieee,0.011329,2.073087293601e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,7,0.000761,cuda_mixed_edge,True,baseline
0.008475,1,0.008475,0.001563,1,0.001563,6.7e-05,1,6.7e-05,5.9e-05,3,0.000177,9.5e-06,4,3.8e-05,5.15e-05,4,0.000206,1.4e-05,1,1.4e-05,0.01004,1,0.01004,0.000223,1,0.000223,0.010279,1,0.010279,1e-05,4,4e-05,0.000123,4,0.000492,1.86e-05,5,9.3e-05,0.0001386,5,0.000693,1.5e-05,4,6e-05,1.5e-05,1,1.5e-05,0.000758,1,0.000758,4.7e-05,1,4.7e-05,0.01028,cuda,30,case30_ieee,mixed,case30_ieee,0.011039,1.60005741504e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,8,0.000759,cuda_mixed_edge,True,baseline
0.008473,1,0.008473,0.001554,1,0.001554,6.6e-05,1,6.6e-05,5.9e-05,3,0.000177,9.25e-06,4,3.7e-05,5.15e-05,4,0.000206,1.4e-05,1,1.4e-05,0.010029,1,0.010029,0.000221,1,0.000221,0.010265,1,0.010265,1e-05,4,4e-05,0.000123,4,0.000492,1.84e-05,5,9.2e-05,0.000138,5,0.00069,1.5e-05,4,6e-05,1.6e-05,1,1.6e-05,0.000758,1,0.000758,4.8e-05,1,4.8e-05,0.010266,cuda,30,case30_ieee,mixed,case30_ieee,0.011026,1.816665808469e-13,cuda_mixed_edge,5,edge_based,0.341154734562,operators,,False,24,cuda_edge,CUDA mixed edge,5,9,0.000759,cuda_mixed_edge,True,baseline
