baseline_count_mean,baseline_ms_mean,baseline_sec_mean,case_name,delta_ms_mg_minus_baseline,measurement_mode,metric,mg_count_mean,mg_ms_mean,mg_sec_mean,profile,speedup_baseline_over_mg
,10.418999999999999,0.010419,case30_ieee,6.536000000000002,end2end,analyze_sec,,16.955000000000002,0.016955,cuda_edge,0.614508994396933
,11.115,0.011115,case30_ieee,8.139000000000001,end2end,elapsed_sec,,19.254,0.019254,cuda_edge,0.5772826425677781
,0.695,0.000695,case30_ieee,1.6030000000000002,end2end,solve_sec,,2.298,0.002298,cuda_edge,0.3024369016536118
1.0,8.524000000000001,0.008524,case30_ieee,5.823,operators,CUDA.analyze.cudss32.analysis.total_sec,1.0,14.347,0.014347,cuda_edge,0.5941311772495992
1.0,1.6039999999999999,0.001604,case30_ieee,0.18900000000000014,operators,CUDA.analyze.cudss32.setup.total_sec,1.0,1.7930000000000001,0.001793,cuda_edge,0.8945900725041829
1.0,0.067,6.7e-05,case30_ieee,0.18800000000000003,operators,CUDA.solve.factorization32.total_sec,1.0,0.255,0.000255,cuda_edge,0.2627450980392157
3.0,0.178,0.000178,case30_ieee,0.542,operators,CUDA.solve.refactorization32.total_sec,3.0,0.7200000000000001,0.00072,cuda_edge,0.2472222222222222
4.0,0.038,3.8e-05,case30_ieee,-0.0020000000000000013,operators,CUDA.solve.rhsPrepare.total_sec,4.0,0.036000000000000004,3.6e-05,cuda_edge,1.0555555555555556
4.0,0.205,0.000205,case30_ieee,0.739,operators,CUDA.solve.solve32.total_sec,4.0,0.944,0.000944,cuda_edge,0.21716101694915255
1.0,0.018000000000000002,1.8e-05,case30_ieee,-0.0010000000000000007,operators,NR.analyze.jacobian_builder.total_sec,1.0,0.017,1.7e-05,cuda_edge,1.0588235294117647
1.0,10.131,0.010131,case30_ieee,6.012999999999999,operators,NR.analyze.linear_solve.total_sec,1.0,16.144,0.016144,cuda_edge,0.6275396432111001
1.0,0.23800000000000002,0.000238,case30_ieee,-0.008000000000000005,operators,NR.analyze.storage_prepare.total_sec,1.0,0.23,0.00023,cuda_edge,1.0347826086956522
1.0,10.389000000000001,0.010389,case30_ieee,6.0040000000000004,operators,NR.analyze.total.total_sec,1.0,16.393,0.016393,cuda_edge,0.6337461111450009
4.0,0.039,3.9e-05,case30_ieee,0.001000000000000004,operators,NR.iteration.jacobian.total_sec,4.0,0.04,4e-05,cuda_edge,0.9749999999999999
4.0,0.49299999999999994,0.000493,case30_ieee,1.4680000000000002,operators,NR.iteration.linear_solve.total_sec,4.0,1.961,0.001961,cuda_edge,0.25140234574196835
5.0,0.093,9.3e-05,case30_ieee,0.0030000000000000053,operators,NR.iteration.mismatch.total_sec,5.0,0.096,9.6e-05,cuda_edge,0.96875
5.0,0.6920000000000001,0.000692,case30_ieee,1.4729999999999999,operators,NR.iteration.total.total_sec,5.0,2.165,0.002165,cuda_edge,0.3196304849884527
4.0,0.061,6.1e-05,case30_ieee,0.0,operators,NR.iteration.voltage_update.total_sec,4.0,0.061,6.1e-05,cuda_edge,1.0
1.0,0.015000000000000001,1.5e-05,case30_ieee,0.0,operators,NR.solve.download.total_sec,1.0,0.015000000000000001,1.5e-05,cuda_edge,1.0
1.0,0.757,0.000757,case30_ieee,1.4730000000000003,operators,NR.solve.total.total_sec,1.0,2.2300000000000004,0.00223,cuda_edge,0.3394618834080717
1.0,0.047,4.7e-05,case30_ieee,-0.0009999999999999972,operators,NR.solve.upload.total_sec,1.0,0.046,4.6e-05,cuda_edge,1.0217391304347825
,10.39,0.01039,case30_ieee,6.003999999999999,operators,analyze_sec,,16.394,0.016394,cuda_edge,0.6337684518726364
,11.148,0.011148,case30_ieee,7.478000000000001,operators,elapsed_sec,,18.626,0.018626,cuda_edge,0.5985182003650811
,0.758,0.000758,case30_ieee,1.4729999999999999,operators,solve_sec,,2.231,0.002231,cuda_edge,0.33975795607350967
