analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.011328,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011858,3.928816804014e-12,cuda_mixed_edge,3,edge_based,0.0005626048489147,end2end,,False,162,cuda_edge,CUDA mixed edge,37,0,0.000529,cuda_mixed_edge,True,baseline
0.011188,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011713,4.302673506897e-12,cuda_mixed_edge,3,edge_based,0.0005626048489202,end2end,,False,162,cuda_edge,CUDA mixed edge,37,1,0.000524,cuda_mixed_edge,True,baseline
0.011118,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011639,4.228962580428e-12,cuda_mixed_edge,3,edge_based,0.0005626048489258,end2end,,False,162,cuda_edge,CUDA mixed edge,37,2,0.00052,cuda_mixed_edge,True,baseline
0.011086,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011603,4.11346040373e-12,cuda_mixed_edge,3,edge_based,0.0005626048489165,end2end,,False,162,cuda_edge,CUDA mixed edge,37,3,0.000517,cuda_mixed_edge,True,baseline
0.011081,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.0116,4.239044243151e-12,cuda_mixed_edge,3,edge_based,0.0005626048489147,end2end,,False,162,cuda_edge,CUDA mixed edge,37,4,0.000518,cuda_mixed_edge,True,baseline
0.01108,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011598,4.745345163818e-12,cuda_mixed_edge,3,edge_based,0.0005626048489202,end2end,,False,162,cuda_edge,CUDA mixed edge,37,5,0.000518,cuda_mixed_edge,True,baseline
0.011089,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011607,4.108902667696e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,end2end,,False,162,cuda_edge,CUDA mixed edge,37,6,0.000517,cuda_mixed_edge,True,baseline
0.011186,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011716,4.280918870635e-12,cuda_mixed_edge,3,edge_based,0.0005626048489239,end2end,,False,162,cuda_edge,CUDA mixed edge,37,7,0.00053,cuda_mixed_edge,True,baseline
0.011096,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011625,4.368013115989e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,end2end,,False,162,cuda_edge,CUDA mixed edge,37,8,0.000528,cuda_mixed_edge,True,baseline
0.011096,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011625,4.275746658389e-12,cuda_mixed_edge,3,edge_based,0.0005626048489295,end2end,,False,162,cuda_edge,CUDA mixed edge,37,9,0.000529,cuda_mixed_edge,True,baseline
0.012801,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.01375,4.880424648011e-11,cuda_mixed_edge,4,edge_based,0.03058561718998,end2end,,False,444,cuda_edge,CUDA mixed edge,55,0,0.000949,cuda_mixed_edge,True,baseline
