analyze_sec_delta_mg_minus_baseline,analyze_sec_speedup_baseline_over_mg,baseline_analyze_sec_mean,baseline_elapsed_sec_mean,baseline_final_mismatch_mean,baseline_iterations_mean,baseline_solve_sec_mean,baseline_success_all,buses,case_name,elapsed_sec_delta_mg_minus_baseline,elapsed_sec_speedup_baseline_over_mg,measurement_mode,mg_analyze_sec_mean,mg_elapsed_sec_mean,mg_final_mismatch_mean,mg_iterations_mean,mg_solve_sec_mean,mg_success_all,profile,solve_sec_delta_mg_minus_baseline,solve_sec_speedup_baseline_over_mg
0.025369299999999984,0.9340520309259538,0.3593173,0.3992693,1.39406852038143e-09,6.7,0.0399515,True,78478,Base_Eastern_Interconnect_515GW,0.05773339999999999,0.8736694553445745,end2end,0.3846866,0.4570027,9.22377994326518e-10,6.9,0.0723155,True,cuda_edge,0.032364000000000004,0.5524610906375534
0.008243699999999993,0.8170907856462962,0.0368262,0.040908400000000004,2.9233523796135e-10,5.0,0.0040818,True,5658,Base_Florida_42GW,0.014207599999999994,0.7422236737063649,end2end,0.045069899999999996,0.055116,2.4498309630916e-10,5.0,0.0100454,True,cuda_edge,0.0059635999999999995,0.406335238019392
0.0072399999999999964,0.8951394833157359,0.0618041,0.068344,1.54561070046658e-09,5.0,0.0065393,True,10189,Base_MIOHIN_76GW,0.010724799999999993,0.8643611639483589,end2end,0.0690441,0.0790688,1.44073368256064e-09,5.0,0.010024,True,cuda_edge,0.0034847000000000003,0.6523643256185155
0.007528,0.860557732025599,0.0464585,0.0523351,2.02104237295562e-11,5.0,0.0058762,True,7336,Base_Texas_66GW,0.012835499999999993,0.803047693285009,end2end,0.0539865,0.0651706,2.5030374487245e-11,5.0,0.0111837,True,cuda_edge,0.0053075,0.5254253958886594
0.009689799999999998,0.9100075691790459,0.0979837,0.1072083,1.251448457194042e-09,5.8,0.0092243,True,20758,Base_West_Interconnect_121GW,0.015610899999999997,0.872895280216774,end2end,0.1076735,0.1228192,1.096015917136206e-09,5.8,0.0151453,True,cuda_edge,0.005921000000000001,0.609053633800585
0.006245300000000002,0.7098448243820851,0.0152787,0.0163686,3.7499902680519e-12,3.0,0.0010893,True,993,MemphisCase2026_Mar7,0.007847199999999999,0.6759471089123631,end2end,0.021524,0.0242158,4.3396446670979e-12,3.0,0.0026914,True,cuda_edge,0.0016021,0.40473359589804564
0.008398299999999997,0.8252585760268657,0.039663000000000004,0.043295600000000004,1.09571497436264e-10,4.0,0.0036322,True,6717,Texas7k_20220923,0.013526899999999994,0.7619446522064324,end2end,0.0480613,0.0568225,8.5513875192967e-11,4.0,0.0087609,True,cuda_edge,0.0051287,0.41459210811674596
0.006293100000000001,0.6408785865917962,0.0112305,0.0118108,4.2497569508949e-12,3.0,0.0005798,True,200,case_ACTIVSg200,0.007487199999999999,0.6120219711887243,end2end,0.0175236,0.019298,4.2010509019357e-12,3.0,0.0017738,True,cuda_edge,0.0011940000000000002,0.32686886909459917
0.006511600000000003,0.7578052354774638,0.0203742,0.0225473,3.6071366584761e-09,4.0,0.0021725,True,2000,case_ACTIVSg2000,0.009998600000000003,0.6927846518301843,end2end,0.0268858,0.0325459,3.3669059982519e-09,4.0,0.0056594,True,cuda_edge,0.0034869000000000002,0.38387461568364134
0.010124899999999992,0.9162115841835701,0.110714,0.11936379999999999,2.6530849260121e-09,5.0,0.0086497,True,25000,case_ACTIVSg25k,0.014876400000000012,0.8891807372158265,end2end,0.1208389,0.1342402,2.9783385202916e-09,5.0,0.013401,True,cuda_edge,0.0047513,0.6454518319528393
0.0062713000000000005,0.6693189487893361,0.0126935,0.0137064,6.1232344833299e-11,4.0,0.0010126,True,500,case_ACTIVSg500,0.0083646,0.6210140002718499,end2end,0.0189648,0.022071,6.8951282519142e-11,4.0,0.0031058,True,cuda_edge,0.0020932,0.3260351600231824
0.012753499999999973,0.9582612241585154,0.2928017,0.3227913,2.287166433409782e-09,7.1,0.029989000000000002,True,70000,case_ACTIVSg70k,0.019832599999999978,0.9421155383497766,end2end,0.30555519999999997,0.3426239,4.0131909984542e-09,7.0,0.0370683,True,cuda_edge,0.007079299999999997,0.8090201061284171
0.01733710000000005,0.9539295817838876,0.3589803,0.3979117,4.041068147709072e-09,6.4,0.038931,True,78478,Base_Eastern_Interconnect_515GW,0.05674210000000002,0.8751971280125669,operators,0.3763174,0.4546538,2.411782112191719e-09,6.6,0.0783359,True,cuda_edge,0.0394049,0.49697520549326685
0.008248100000000001,0.8169314189196687,0.0368066,0.0410368,2.610386636015e-10,5.0,0.0042297,True,5658,Base_Florida_42GW,0.0141014,0.744253530220428,operators,0.0450547,0.0551382,2.0589497259916e-10,5.0,0.0100832,True,cuda_edge,0.0058535,0.4194799270072993
0.007909999999999993,0.8855712756415821,0.061216,0.0676668,1.63450319622405e-09,5.0,0.0064503,True,10189,Base_MIOHIN_76GW,0.011621900000000004,0.8534229972240684,operators,0.06912599999999999,0.0792887,1.44480545519827e-09,5.0,0.0101619,True,cuda_edge,0.0037116,0.6347533433708263
0.007395800000000001,0.8598210376480533,0.0453639,0.0505417,2.00022382475345e-11,5.0,0.0051773999999999995,True,7336,Base_Texas_66GW,0.010853299999999996,0.8232217607297012,operators,0.0527597,0.061395,2.45335535476684e-11,5.0,0.0086346,True,cuda_edge,0.0034571999999999997,0.5996108679035508
0.0117559,0.8941037748596116,0.0992575,0.11069380000000001,1.967331282328979e-09,5.7,0.0114357,True,20758,Base_West_Interconnect_121GW,0.025558799999999993,0.8124160566477264,operators,0.1110134,0.1362526,1.015289639859338e-09,5.9,0.0252388,True,cuda_edge,0.013803099999999999,0.4530999889059702
0.0062801,0.7087530376388966,0.0152827,0.0164451,3.6573226333874e-12,3.0,0.0011618,True,993,MemphisCase2026_Mar7,0.0078423,0.6771041774747399,operators,0.0215628,0.0242874,4.5232028122186e-12,3.0,0.0027239,True,cuda_edge,0.0015621,0.42652079738610077
0.008526399999999996,0.8231554669692062,0.0396877,0.0434154,7.6789752406331e-11,4.0,0.003727,True,6717,Texas7k_20220923,0.013594599999999998,0.7615400806875987,operators,0.048214099999999996,0.05701,1.03727231977939e-10,4.0,0.0087951,True,cuda_edge,0.005068100000000001,0.4237586838125774
0.005887799999999999,0.6565117961402936,0.0112534,0.0118847,4.5371249245368e-12,3.0,0.000631,True,200,case_ACTIVSg200,0.006896399999999999,0.6328010606407506,operators,0.0171412,0.0187811,4.3686080761082e-12,3.0,0.0016395,True,cuda_edge,0.0010084999999999998,0.3848734370234828
0.0064811,0.7591474971199227,0.0204279,0.0227371,3.7961753310376e-09,4.0,0.0023087,True,2000,case_ACTIVSg2000,0.0098828,0.6970315666203759,operators,0.026909,0.0326199,3.7641638871475e-09,4.0,0.0057103,True,cuda_edge,0.0034016,0.4043045023904173
0.012343199999999999,0.9006341984128134,0.11187659999999999,0.12287139999999999,2.6190304865102e-09,5.0,0.0109945,True,25000,case_ACTIVSg25k,0.023464700000000005,0.8396520065793744,operators,0.12421979999999999,0.1463361,2.6466189975806e-09,5.0,0.0221159,True,cuda_edge,0.0111214,0.49713102338136816
0.006277999999999999,0.6689813716340552,0.0126877,0.0138038,6.8697442675982e-11,4.0,0.0011154,True,500,case_ACTIVSg500,0.008391500000000001,0.6219244614850892,operators,0.0189657,0.0221953,6.678749027827999e-11,4.0,0.0032291,True,cuda_edge,0.0021137,0.3454213248273513
0.017327399999999993,0.9451532820699655,0.2985967,0.3360599,2.83284057355753e-09,7.0,0.037462800000000004,True,70000,case_ACTIVSg70k,0.05358849999999998,0.8624696007990794,operators,0.3159241,0.3896484,2.55958570533882e-09,7.0,0.07372390000000001,True,cuda_edge,0.036261100000000004,0.5081500029162863
