analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.011499,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012066,4.409648457053e-12,cuda_mixed_edge,3,edge_based,0.0005626048489295,end2end,,False,162,cuda_edge,CUDA mixed edge,37,0,0.000567,cuda_mixed_edge,True,baseline
0.01119,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011751,3.984892894943e-12,cuda_mixed_edge,3,edge_based,0.0005626048489239,end2end,,False,162,cuda_edge,CUDA mixed edge,37,1,0.000561,cuda_mixed_edge,True,baseline
0.011276,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011849,4.293091402537e-12,cuda_mixed_edge,3,edge_based,0.0005626048488962,end2end,,False,162,cuda_edge,CUDA mixed edge,37,2,0.000572,cuda_mixed_edge,True,baseline
0.011182,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011732,4.231118718238e-12,cuda_mixed_edge,3,edge_based,0.0005626048489092,end2end,,False,162,cuda_edge,CUDA mixed edge,37,3,0.00055,cuda_mixed_edge,True,baseline
0.011174,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011737,4.27685717484e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,end2end,,False,162,cuda_edge,CUDA mixed edge,37,4,0.000562,cuda_mixed_edge,True,baseline
0.011156,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011717,4.271170307763e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,end2end,,False,162,cuda_edge,CUDA mixed edge,37,5,0.00056,cuda_mixed_edge,True,baseline
0.011193,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011926,4.350761686208e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,end2end,,False,162,cuda_edge,CUDA mixed edge,37,6,0.000732,cuda_mixed_edge,True,baseline
0.011198,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011755,4.093828489985e-12,cuda_mixed_edge,3,edge_based,0.0005626048489092,end2end,,False,162,cuda_edge,CUDA mixed edge,37,7,0.000556,cuda_mixed_edge,True,baseline
0.011235,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011802,4.520508594239e-12,cuda_mixed_edge,3,edge_based,0.0005626048489018,end2end,,False,162,cuda_edge,CUDA mixed edge,37,8,0.000567,cuda_mixed_edge,True,baseline
0.011202,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011773,4.065691783143e-12,cuda_mixed_edge,3,edge_based,0.0005626048489387,end2end,,False,162,cuda_edge,CUDA mixed edge,37,9,0.000571,cuda_mixed_edge,True,baseline
0.012929,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013944,8.161023191123e-11,cuda_mixed_edge,4,edge_based,0.0305856171901,end2end,,False,444,cuda_edge,CUDA mixed edge,55,0,0.001014,cuda_mixed_edge,True,baseline
0.012733,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013754,6.756567421426e-11,cuda_mixed_edge,4,edge_based,0.03058561718992,end2end,,False,444,cuda_edge,CUDA mixed edge,55,1,0.00102,cuda_mixed_edge,True,baseline
0.012636,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013642,5.803610101341e-11,cuda_mixed_edge,4,edge_based,0.03058561719009,end2end,,False,444,cuda_edge,CUDA mixed edge,55,2,0.001006,cuda_mixed_edge,True,baseline
0.012602,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013597,4.959753984147e-11,cuda_mixed_edge,4,edge_based,0.03058561719004,end2end,,False,444,cuda_edge,CUDA mixed edge,55,3,0.000995,cuda_mixed_edge,True,baseline
0.012613,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013619,5.498845749636e-11,cuda_mixed_edge,4,edge_based,0.03058561718992,end2end,,False,444,cuda_edge,CUDA mixed edge,55,4,0.001006,cuda_mixed_edge,True,baseline
0.012601,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013595,6.729080816129e-11,cuda_mixed_edge,4,edge_based,0.03058561719003,end2end,,False,444,cuda_edge,CUDA mixed edge,55,5,0.000993,cuda_mixed_edge,True,baseline
0.012805,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013817,5.192038934727e-11,cuda_mixed_edge,4,edge_based,0.03058561719009,end2end,,False,444,cuda_edge,CUDA mixed edge,55,6,0.001012,cuda_mixed_edge,True,baseline
0.012643,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013665,5.705456960989e-11,cuda_mixed_edge,4,edge_based,0.03058561718986,end2end,,False,444,cuda_edge,CUDA mixed edge,55,7,0.001022,cuda_mixed_edge,True,baseline
0.012736,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013763,6.692547127644e-11,cuda_mixed_edge,4,edge_based,0.03058561718981,end2end,,False,444,cuda_edge,CUDA mixed edge,55,8,0.001027,cuda_mixed_edge,True,baseline
0.012637,cuda,500,case_ACTIVSg500,mixed,case_ACTIVSg500,0.013668,5.733420546137e-11,cuda_mixed_edge,4,edge_based,0.03058561718991,end2end,,False,444,cuda_edge,CUDA mixed edge,55,9,0.001031,cuda_mixed_edge,True,baseline
0.015745,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016827,2.225333621419e-12,cuda_mixed_edge,3,edge_based,6.383030318725e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,0,0.001081,cuda_mixed_edge,True,baseline
0.015212,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016287,3.671090677067e-12,cuda_mixed_edge,3,edge_based,6.383030322451e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,1,0.001074,cuda_mixed_edge,True,baseline
0.01533,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016408,4.178375689425e-12,cuda_mixed_edge,3,edge_based,6.383030320952e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,2,0.001078,cuda_mixed_edge,True,baseline
0.015172,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016242,2.475915646714e-12,cuda_mixed_edge,3,edge_based,6.383030325097e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,3,0.001069,cuda_mixed_edge,True,baseline
0.015192,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016345,1.874547256231e-12,cuda_mixed_edge,3,edge_based,6.383030322495e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,4,0.001153,cuda_mixed_edge,True,baseline
0.015223,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016313,4.381308122127e-12,cuda_mixed_edge,3,edge_based,6.383030322454e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,5,0.00109,cuda_mixed_edge,True,baseline
0.015203,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016294,5.251045544574e-12,cuda_mixed_edge,3,edge_based,6.383030324629e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,6,0.00109,cuda_mixed_edge,True,baseline
0.015279,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016363,3.832196936975e-12,cuda_mixed_edge,3,edge_based,6.383030326372e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,7,0.001084,cuda_mixed_edge,True,baseline
0.015218,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016306,4.723696582825e-12,cuda_mixed_edge,3,edge_based,6.383030316202e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,8,0.001087,cuda_mixed_edge,True,baseline
0.015213,cuda,993,MemphisCase2026_Mar7,mixed,MemphisCase2026_Mar7,0.016301,4.886392603162e-12,cuda_mixed_edge,3,edge_based,6.383030323281e-05,end2end,,False,805,cuda_edge,CUDA mixed edge,187,9,0.001087,cuda_mixed_edge,True,baseline
0.021162,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.023346,3.674077410754e-09,cuda_mixed_edge,4,edge_based,0.02916330897959,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,0,0.002183,cuda_mixed_edge,True,baseline
0.020337,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022518,3.099899059534e-09,cuda_mixed_edge,4,edge_based,0.02916330897711,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,1,0.00218,cuda_mixed_edge,True,baseline
0.020294,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022468,4.066423270499e-09,cuda_mixed_edge,4,edge_based,0.02916330892434,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,2,0.002173,cuda_mixed_edge,True,baseline
0.020282,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022457,2.776078520841e-09,cuda_mixed_edge,4,edge_based,0.0291633089368,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,3,0.002174,cuda_mixed_edge,True,baseline
0.020293,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022452,5.030384592865e-09,cuda_mixed_edge,4,edge_based,0.02916330892079,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,4,0.002159,cuda_mixed_edge,True,baseline
0.020261,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022427,3.260821809635e-09,cuda_mixed_edge,4,edge_based,0.02916330895414,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,5,0.002166,cuda_mixed_edge,True,baseline
0.02028,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.02245,3.67060338936e-09,cuda_mixed_edge,4,edge_based,0.02916330899497,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,6,0.002169,cuda_mixed_edge,True,baseline
0.02024,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022409,3.197485145163e-09,cuda_mixed_edge,4,edge_based,0.0291633089934,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,7,0.002169,cuda_mixed_edge,True,baseline
0.020286,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.022466,3.869897144244e-09,cuda_mixed_edge,4,edge_based,0.02916330898163,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,8,0.002179,cuda_mixed_edge,True,baseline
0.020307,cuda,2000,case_ACTIVSg2000,mixed,case_ACTIVSg2000,0.02248,3.425696241866e-09,cuda_mixed_edge,4,edge_based,0.02916330897854,end2end,,False,1608,cuda_edge,CUDA mixed edge,391,9,0.002173,cuda_mixed_edge,True,baseline
0.038857,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.042992,3.013225988169e-10,cuda_mixed_edge,5,edge_based,0.05033550758064,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,0,0.004134,cuda_mixed_edge,True,baseline
0.036597,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040718,3.14588334549e-10,cuda_mixed_edge,5,edge_based,0.05033550758054,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,1,0.004121,cuda_mixed_edge,True,baseline
0.036769,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040833,3.122690300783e-10,cuda_mixed_edge,5,edge_based,0.05033550758092,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,2,0.004064,cuda_mixed_edge,True,baseline
0.036664,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040724,2.60192402346e-10,cuda_mixed_edge,5,edge_based,0.05033550758073,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,3,0.00406,cuda_mixed_edge,True,baseline
0.036505,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040612,2.668130161254e-10,cuda_mixed_edge,5,edge_based,0.0503355075805,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,4,0.004106,cuda_mixed_edge,True,baseline
0.036657,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040715,3.044302449018e-10,cuda_mixed_edge,5,edge_based,0.05033550758062,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,5,0.004057,cuda_mixed_edge,True,baseline
0.036559,cuda,5658,Base_Florida_42GW,mixed,Base_Florida_42GW,0.040627,3.041371599011e-10,cuda_mixed_edge,5,edge_based,0.0503355075806,end2end,,False,5553,cuda_edge,CUDA mixed edge,104,6,0.004068,cuda_mixed_edge,True,baseline
