CUDA.analyze.cudss32.analysis.avg_sec,CUDA.analyze.cudss32.analysis.count,CUDA.analyze.cudss32.analysis.total_sec,CUDA.analyze.cudss32.setup.avg_sec,CUDA.analyze.cudss32.setup.count,CUDA.analyze.cudss32.setup.total_sec,CUDA.solve.factorization32.avg_sec,CUDA.solve.factorization32.count,CUDA.solve.factorization32.total_sec,CUDA.solve.refactorization32.avg_sec,CUDA.solve.refactorization32.count,CUDA.solve.refactorization32.total_sec,CUDA.solve.rhsPrepare.avg_sec,CUDA.solve.rhsPrepare.count,CUDA.solve.rhsPrepare.total_sec,CUDA.solve.solve32.avg_sec,CUDA.solve.solve32.count,CUDA.solve.solve32.total_sec,NR.analyze.jacobian_builder.avg_sec,NR.analyze.jacobian_builder.count,NR.analyze.jacobian_builder.total_sec,NR.analyze.linear_solve.avg_sec,NR.analyze.linear_solve.count,NR.analyze.linear_solve.total_sec,NR.analyze.storage_prepare.avg_sec,NR.analyze.storage_prepare.count,NR.analyze.storage_prepare.total_sec,NR.analyze.total.avg_sec,NR.analyze.total.count,NR.analyze.total.total_sec,NR.iteration.jacobian.avg_sec,NR.iteration.jacobian.count,NR.iteration.jacobian.total_sec,NR.iteration.linear_solve.avg_sec,NR.iteration.linear_solve.count,NR.iteration.linear_solve.total_sec,NR.iteration.mismatch.avg_sec,NR.iteration.mismatch.count,NR.iteration.mismatch.total_sec,NR.iteration.total.avg_sec,NR.iteration.total.count,NR.iteration.total.total_sec,NR.iteration.voltage_update.avg_sec,NR.iteration.voltage_update.count,NR.iteration.voltage_update.total_sec,NR.solve.download.avg_sec,NR.solve.download.count,NR.solve.download.total_sec,NR.solve.total.avg_sec,NR.solve.total.count,NR.solve.total.total_sec,NR.solve.upload.avg_sec,NR.solve.upload.count,NR.solve.upload.total_sec,analyze_sec,backend,buses,case_name,compute,dump_case_name,elapsed_sec,final_mismatch,implementation,iterations,jacobian,max_abs_v_delta_from_v0,measurement_mode,mg_device_indices,mg_enabled,pq,profile,profile_label,pv,repeat_idx,solve_sec,source_profile,success,variant
0.009408,1,0.009408,0.001754,1,0.001754,0.000109,1,0.000109,0.000102,1,0.000102,1.2e-05,2,2.4e-05,7.55e-05,2,0.000151,7.7e-05,1,7.7e-05,0.011165,1,0.011165,0.000294,1,0.000294,0.011539,1,0.011539,1.25e-05,2,2.5e-05,0.000195,2,0.00039,2.566666666667e-05,3,7.7e-05,0.0001783333333333,3,0.000535,2e-05,2,4e-05,1.8e-05,1,1.8e-05,0.000624,1,0.000624,6.8e-05,1,6.8e-05,0.01154,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012166,4.073711213923e-12,cuda_mixed_edge,3,edge_based,0.0005626048489332,operators,,False,162,cuda_edge,CUDA mixed edge,37,0,0.000625,cuda_mixed_edge,True,baseline
0.009327,1,0.009327,0.001543,1,0.001543,0.00011,1,0.00011,0.000102,1,0.000102,1.2e-05,2,2.4e-05,7.65e-05,2,0.000153,6.2e-05,1,6.2e-05,0.010873,1,0.010873,0.000237,1,0.000237,0.011173,1,0.011173,1.3e-05,2,2.6e-05,0.000196,2,0.000392,2.533333333333e-05,3,7.6e-05,0.000179,3,0.000537,2e-05,2,4e-05,1.8e-05,1,1.8e-05,0.000623,1,0.000623,6.5e-05,1,6.5e-05,0.011174,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011798,4.317000086778e-12,cuda_mixed_edge,3,edge_based,0.0005626048489147,operators,,False,162,cuda_edge,CUDA mixed edge,37,1,0.000624,cuda_mixed_edge,True,baseline
0.009339,1,0.009339,0.001554,1,0.001554,0.000109,1,0.000109,0.000102,1,0.000102,1.2e-05,2,2.4e-05,7.65e-05,2,0.000153,6.3e-05,1,6.3e-05,0.010897,1,0.010897,0.00025,1,0.00025,0.011212,1,0.011212,1.25e-05,2,2.5e-05,0.000195,2,0.00039,2.533333333333e-05,3,7.6e-05,0.0001783333333333,3,0.000535,2e-05,2,4e-05,1.8e-05,1,1.8e-05,0.000623,1,0.000623,6.8e-05,1,6.8e-05,0.011213,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011837,4.609606192465e-12,cuda_mixed_edge,3,edge_based,0.0005626048488962,operators,,False,162,cuda_edge,CUDA mixed edge,37,2,0.000624,cuda_mixed_edge,True,baseline
0.009523,1,0.009523,0.001541,1,0.001541,0.000109,1,0.000109,0.000102,1,0.000102,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.3e-05,1,6.3e-05,0.011067,1,0.011067,0.000235,1,0.000235,0.011366,1,0.011366,1.3e-05,2,2.6e-05,0.000197,2,0.000394,2.8e-05,3,8.4e-05,0.0001826666666667,3,0.000548,2e-05,2,4e-05,2e-05,1,2e-05,0.000636,1,0.000636,6.6e-05,1,6.6e-05,0.011367,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.012004,3.784399581001e-12,cuda_mixed_edge,3,edge_based,0.000562604848911,operators,,False,162,cuda_edge,CUDA mixed edge,37,3,0.000637,cuda_mixed_edge,True,baseline
0.009342,1,0.009342,0.001556,1,0.001556,0.000109,1,0.000109,0.000102,1,0.000102,1.3e-05,2,2.6e-05,7.75e-05,2,0.000155,6.3e-05,1,6.3e-05,0.010901,1,0.010901,0.000254,1,0.000254,0.011219,1,0.011219,1.3e-05,2,2.6e-05,0.0001975,2,0.000395,2.666666666667e-05,3,8e-05,0.0001836666666667,3,0.000551,2.25e-05,2,4.5e-05,1.9e-05,1,1.9e-05,0.000638,1,0.000638,6.6e-05,1,6.6e-05,0.01122,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011859,4.168179824952e-12,cuda_mixed_edge,3,edge_based,0.0005626048489202,operators,,False,162,cuda_edge,CUDA mixed edge,37,4,0.000639,cuda_mixed_edge,True,baseline
0.009342,1,0.009342,0.001554,1,0.001554,0.00011,1,0.00011,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.3e-05,1,6.3e-05,0.010899,1,0.010899,0.000239,1,0.000239,0.011203,1,0.011203,1.3e-05,2,2.6e-05,0.0001975,2,0.000395,2.833333333333e-05,3,8.5e-05,0.0001826666666667,3,0.000548,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000637,1,0.000637,6.7e-05,1,6.7e-05,0.011204,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011843,4.376897128964e-12,cuda_mixed_edge,3,edge_based,0.0005626048489092,operators,,False,162,cuda_edge,CUDA mixed edge,37,5,0.000638,cuda_mixed_edge,True,baseline
0.009345,1,0.009345,0.001549,1,0.001549,0.000109,1,0.000109,0.000102,1,0.000102,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.4e-05,1,6.4e-05,0.010897,1,0.010897,0.000247,1,0.000247,0.011211,1,0.011211,1.3e-05,2,2.6e-05,0.0001965,2,0.000393,2.633333333333e-05,3,7.9e-05,0.000181,3,0.000543,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000629,1,0.000629,6.6e-05,1,6.6e-05,0.011212,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011842,4.200699855506e-12,cuda_mixed_edge,3,edge_based,0.0005626048489258,operators,,False,162,cuda_edge,CUDA mixed edge,37,6,0.00063,cuda_mixed_edge,True,baseline
0.009336,1,0.009336,0.001541,1,0.001541,0.000109,1,0.000109,0.000102,1,0.000102,1.3e-05,2,2.6e-05,7.7e-05,2,0.000154,6.4e-05,1,6.4e-05,0.01088,1,0.01088,0.000237,1,0.000237,0.011184,1,0.011184,1.3e-05,2,2.6e-05,0.000197,2,0.000394,2.6e-05,3,7.8e-05,0.0001806666666667,3,0.000542,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000629,1,0.000629,6.6e-05,1,6.6e-05,0.011185,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011815,4.659418225258e-12,cuda_mixed_edge,3,edge_based,0.0005626048488907,operators,,False,162,cuda_edge,CUDA mixed edge,37,7,0.00063,cuda_mixed_edge,True,baseline
0.009343,1,0.009343,0.001552,1,0.001552,0.000109,1,0.000109,0.000104,1,0.000104,1.2e-05,2,2.4e-05,7.65e-05,2,0.000153,6.2e-05,1,6.2e-05,0.010898,1,0.010898,0.000249,1,0.000249,0.011211,1,0.011211,1.35e-05,2,2.7e-05,0.000197,2,0.000394,2.6e-05,3,7.8e-05,0.0001816666666667,3,0.000545,2.1e-05,2,4.2e-05,1.9e-05,1,1.9e-05,0.000632,1,0.000632,6.7e-05,1,6.7e-05,0.011212,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011846,4.201045806733e-12,cuda_mixed_edge,3,edge_based,0.0005626048489295,operators,,False,162,cuda_edge,CUDA mixed edge,37,8,0.000633,cuda_mixed_edge,True,baseline
0.009338,1,0.009338,0.001552,1,0.001552,0.000109,1,0.000109,0.000103,1,0.000103,1.3e-05,2,2.6e-05,7.65e-05,2,0.000153,6.4e-05,1,6.4e-05,0.010893,1,0.010893,0.000248,1,0.000248,0.011206,1,0.011206,1.3e-05,2,2.6e-05,0.0001965,2,0.000393,2.6e-05,3,7.8e-05,0.0001803333333333,3,0.000541,2e-05,2,4e-05,1.9e-05,1,1.9e-05,0.000629,1,0.000629,6.6e-05,1,6.6e-05,0.011207,cuda,200,case_ACTIVSg200,mixed,case_ACTIVSg200,0.011837,6.980291329788e-12,cuda_mixed_edge,3,edge_based,0.0005626048489055,operators,,False,162,cuda_edge,CUDA mixed edge,37,9,0.00063,cuda_mixed_edge,True,baseline
