case,metric,target_count,total_writes,min,mean,p50,p90,p95,p99,max,max_over_mean,p95_over_mean
Base_Eastern_Interconnect_515GW,all_atomic_writes,1143804,2294224,1,2.005784208,1,5,6,7,17,8.475488008,2.991348709
Base_Eastern_Interconnect_515GW,map_writes_only,1143804,1143804,1,1,1,1,1,1,1,1,1
Base_Eastern_Interconnect_515GW,diag_writes_only,307794,1150420,2,3.737629713,4,5,6,7,16,4.280787886,1.605295457
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,307794,1458214,3,4.737629713,5,6,7,8,17,3.588292253,1.477532104
Base_Eastern_Interconnect_515GW,all_writes_to_offdiag_targets,836010,836010,1,1,1,1,1,1,1,1,1
Base_Florida_42GW,all_atomic_writes,83806,167970,1,2.004271771,1,5,6,7,17,8.48188367,2.993606001
Base_Florida_42GW,map_writes_only,83806,83806,1,1,1,1,1,1,1,1,1
Base_Florida_42GW,diag_writes_only,22316,84164,2,3.77146442,4,5,6,8,16,4.242383917,1.590893969
Base_Florida_42GW,all_writes_to_diag_targets,22316,106480,3,4.77146442,5,6,7,9,17,3.562847483,1.467054846
Base_Florida_42GW,all_writes_to_offdiag_targets,61490,61490,1,1,1,1,1,1,1,1,1
Base_MIOHIN_76GW,all_atomic_writes,155152,310938,1,2.004086315,1,5,6,7,17,8.482668571,2.993883025
Base_MIOHIN_76GW,map_writes_only,155152,155152,1,1,1,1,1,1,1,1,1
Base_MIOHIN_76GW,diag_writes_only,40182,155786,2,3.877009606,4,5,6,7,16,4.126892019,1.547584507
Base_MIOHIN_76GW,all_writes_to_diag_targets,40182,195968,3,4.877009606,5,6,7,8,17,3.48574257,1.435305764
Base_MIOHIN_76GW,all_writes_to_offdiag_targets,114970,114970,1,1,1,1,1,1,1,1,1
Base_Texas_66GW,all_atomic_writes,104763,210266,1,2.007063563,1,5,6,7,13,6.477124214,2.989441945
Base_Texas_66GW,map_writes_only,104763,104763,1,1,1,1,1,1,1,1,1
Base_Texas_66GW,diag_writes_only,28623,105503,2,3.685951857,3,5,6,7,12,3.255604106,1.627802053
Base_Texas_66GW,all_writes_to_diag_targets,28623,134126,3,4.685951857,4,6,7,8,13,2.774249586,1.4938267
Base_Texas_66GW,all_writes_to_offdiag_targets,76140,76140,1,1,1,1,1,1,1,1,1
Base_West_Interconnect_121GW,all_atomic_writes,302486,607163,1,2.00724331,1,5,6,7,31,15.44406691,2.989174242
Base_West_Interconnect_121GW,map_writes_only,302486,302486,1,1,1,1,1,1,1,1,1
Base_West_Interconnect_121GW,diag_writes_only,80730,304677,2,3.774024526,4,5,6,8,30,7.949073937,1.589814787
Base_West_Interconnect_121GW,all_writes_to_diag_targets,80730,385407,3,4.774024526,5,6,7,9,31,6.493473134,1.466268127
Base_West_Interconnect_121GW,all_writes_to_offdiag_targets,221756,221756,1,1,1,1,1,1,1,1,1
MemphisCase2026_Mar7,all_atomic_writes,13355,26901,1,2.01430176,1,5,6,8,29,14.39704844,2.978699677
MemphisCase2026_Mar7,map_writes_only,13355,13355,1,1,1,1,1,1,1,1,1
MemphisCase2026_Mar7,diag_writes_only,3407,13546,2,3.975931905,3,6,7,10,28,7.042374133,1.760593533
MemphisCase2026_Mar7,all_writes_to_diag_targets,3407,16953,3,4.975931905,4,7,8,11,29,5.828054032,1.607739043
MemphisCase2026_Mar7,all_writes_to_offdiag_targets,9948,9948,1,1,1,1,1,1,1,1,1
Texas7k_20220923,all_atomic_writes,91901,184395,1,2.006452596,1,5,5,7,22,10.96462485,2.491960194
Texas7k_20220923,map_writes_only,91901,91901,1,1,1,1,1,1,1,1,1
Texas7k_20220923,diag_writes_only,25097,92494,2,3.685460414,3,5,6,8,21,5.698066902,1.628019115
Texas7k_20220923,all_writes_to_diag_targets,25097,117591,3,4.685460414,4,6,7,9,22,4.695376347,1.493983383
Texas7k_20220923,all_writes_to_offdiag_targets,66804,66804,1,1,1,1,1,1,1,1,1
case_ACTIVSg200,all_atomic_writes,2489,5019,1,2.016472479,1,5,6,8,13,6.446901773,2.975493126
case_ACTIVSg200,map_writes_only,2489,2489,1,1,1,1,1,1,1,1,1
case_ACTIVSg200,diag_writes_only,685,2530,2,3.693430657,3,6,7,11,12,3.249011858,1.895256917
case_ACTIVSg200,all_writes_to_diag_targets,685,3215,3,4.693430657,4,7,8,12,13,2.769828927,1.704510109
case_ACTIVSg200,all_writes_to_offdiag_targets,1804,1804,1,1,1,1,1,1,1,1,1
case_ACTIVSg2000,all_atomic_writes,26345,53141,1,2.017118998,1,5,6,8,18,8.923618298,2.974539433
case_ACTIVSg2000,map_writes_only,26345,26345,1,1,1,1,1,1,1,1,1
case_ACTIVSg2000,diag_writes_only,6823,26796,2,3.927304705,4,5,6,11,17,4.328668458,1.527765338
case_ACTIVSg2000,all_writes_to_diag_targets,6823,33619,3,4.927304705,5,6,7,12,18,3.653112823,1.420654987
case_ACTIVSg2000,all_writes_to_offdiag_targets,19522,19522,1,1,1,1,1,1,1,1,1
case_ACTIVSg25k,all_atomic_writes,318672,640769,1,2.010747728,1,5,6,7,19,9.44922117,2.98396458
case_ACTIVSg25k,map_writes_only,318672,318672,1,1,1,1,1,1,1,1,1
case_ACTIVSg25k,diag_writes_only,91740,322097,2,3.510976673,4,5,6,8,18,5.126778579,1.708926193
case_ACTIVSg25k,all_writes_to_diag_targets,91740,413837,3,4.510976673,5,6,7,9,19,4.211948182,1.551770383
