case,n_bus,n_pv,n_pq,n_pvpq,jacobian_dim,ybus_nnz,jacobian_nnz
Base_Eastern_Interconnect_515GW,78478,2038,76439,78477,154916,294392,1143804
Base_Florida_42GW,5658,104,5553,5657,11210,21384,83806
Base_MIOHIN_76GW,10189,190,9998,10188,20186,39589,155152
Base_Texas_66GW,7336,239,7096,7335,14431,27174,104763
Base_West_Interconnect_121GW,20758,766,19991,20757,40748,78550,302486
MemphisCase2026_Mar7,993,187,805,992,1797,3669,13355
Texas7k_20220923,6717,589,6127,6716,12843,24009,91901
case_ACTIVSg200,200,37,162,199,361,690,2489
case_ACTIVSg2000,2000,391,1608,1999,3607,7334,26345
case_ACTIVSg25k,25000,2752,22247,24999,47246,85220,318672
case_ACTIVSg500,500,55,444,499,943,1668,6275
case_ACTIVSg70k,70000,5894,64105,69999,134104,236636,900558
