case,metric,fan_in,count
Base_Eastern_Interconnect_515GW,all_atomic_writes,1,836010
Base_Eastern_Interconnect_515GW,all_atomic_writes,3,32211
Base_Eastern_Interconnect_515GW,all_atomic_writes,4,114991
Base_Eastern_Interconnect_515GW,all_atomic_writes,5,97217
Base_Eastern_Interconnect_515GW,all_atomic_writes,6,41181
Base_Eastern_Interconnect_515GW,all_atomic_writes,7,14540
Base_Eastern_Interconnect_515GW,all_atomic_writes,8,4655
Base_Eastern_Interconnect_515GW,all_atomic_writes,9,1654
Base_Eastern_Interconnect_515GW,all_atomic_writes,10,764
Base_Eastern_Interconnect_515GW,all_atomic_writes,11,322
Base_Eastern_Interconnect_515GW,all_atomic_writes,12,134
Base_Eastern_Interconnect_515GW,all_atomic_writes,13,68
Base_Eastern_Interconnect_515GW,all_atomic_writes,14,25
Base_Eastern_Interconnect_515GW,all_atomic_writes,15,8
Base_Eastern_Interconnect_515GW,all_atomic_writes,16,12
Base_Eastern_Interconnect_515GW,all_atomic_writes,17,12
Base_Eastern_Interconnect_515GW,map_writes_only,1,1143804
Base_Eastern_Interconnect_515GW,diag_writes_only,2,32211
Base_Eastern_Interconnect_515GW,diag_writes_only,3,114991
Base_Eastern_Interconnect_515GW,diag_writes_only,4,97217
Base_Eastern_Interconnect_515GW,diag_writes_only,5,41181
Base_Eastern_Interconnect_515GW,diag_writes_only,6,14540
Base_Eastern_Interconnect_515GW,diag_writes_only,7,4655
Base_Eastern_Interconnect_515GW,diag_writes_only,8,1654
Base_Eastern_Interconnect_515GW,diag_writes_only,9,764
Base_Eastern_Interconnect_515GW,diag_writes_only,10,322
Base_Eastern_Interconnect_515GW,diag_writes_only,11,134
Base_Eastern_Interconnect_515GW,diag_writes_only,12,68
Base_Eastern_Interconnect_515GW,diag_writes_only,13,25
Base_Eastern_Interconnect_515GW,diag_writes_only,14,8
Base_Eastern_Interconnect_515GW,diag_writes_only,15,12
Base_Eastern_Interconnect_515GW,diag_writes_only,16,12
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,3,32211
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,4,114991
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,5,97217
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,6,41181
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,7,14540
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,8,4655
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,9,1654
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,10,764
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,11,322
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,12,134
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,13,68
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,14,25
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,15,8
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,16,12
Base_Eastern_Interconnect_515GW,all_writes_to_diag_targets,17,12
Base_Eastern_Interconnect_515GW,all_writes_to_offdiag_targets,1,836010
Base_Florida_42GW,all_atomic_writes,1,61490
Base_Florida_42GW,all_atomic_writes,3,2738
Base_Florida_42GW,all_atomic_writes,4,7842
Base_Florida_42GW,all_atomic_writes,5,6686
Base_Florida_42GW,all_atomic_writes,6,3178
Base_Florida_42GW,all_atomic_writes,7,1121
Base_Florida_42GW,all_atomic_writes,8,430
Base_Florida_42GW,all_atomic_writes,9,185
Base_Florida_42GW,all_atomic_writes,10,88
Base_Florida_42GW,all_atomic_writes,11,32
Base_Florida_42GW,all_atomic_writes,12,8
Base_Florida_42GW,all_atomic_writes,13,4
Base_Florida_42GW,all_atomic_writes,17,4
Base_Florida_42GW,map_writes_only,1,83806
Base_Florida_42GW,diag_writes_only,2,2738
Base_Florida_42GW,diag_writes_only,3,7842
Base_Florida_42GW,diag_writes_only,4,6686
Base_Florida_42GW,diag_writes_only,5,3178
Base_Florida_42GW,diag_writes_only,6,1121
Base_Florida_42GW,diag_writes_only,7,430
Base_Florida_42GW,diag_writes_only,8,185
Base_Florida_42GW,diag_writes_only,9,88
Base_Florida_42GW,diag_writes_only,10,32
Base_Florida_42GW,diag_writes_only,11,8
Base_Florida_42GW,diag_writes_only,12,4
Base_Florida_42GW,diag_writes_only,16,4
Base_Florida_42GW,all_writes_to_diag_targets,3,2738
Base_Florida_42GW,all_writes_to_diag_targets,4,7842
Base_Florida_42GW,all_writes_to_diag_targets,5,6686
Base_Florida_42GW,all_writes_to_diag_targets,6,3178
Base_Florida_42GW,all_writes_to_diag_targets,7,1121
Base_Florida_42GW,all_writes_to_diag_targets,8,430
Base_Florida_42GW,all_writes_to_diag_targets,9,185
Base_Florida_42GW,all_writes_to_diag_targets,10,88
Base_Florida_42GW,all_writes_to_diag_targets,11,32
Base_Florida_42GW,all_writes_to_diag_targets,12,8
Base_Florida_42GW,all_writes_to_diag_targets,13,4
Base_Florida_42GW,all_writes_to_diag_targets,17,4
Base_Florida_42GW,all_writes_to_offdiag_targets,1,61490
Base_MIOHIN_76GW,all_atomic_writes,1,114970
Base_MIOHIN_76GW,all_atomic_writes,3,2537
Base_MIOHIN_76GW,all_atomic_writes,4,13900
Base_MIOHIN_76GW,all_atomic_writes,5,14443
Base_MIOHIN_76GW,all_atomic_writes,6,6191
Base_MIOHIN_76GW,all_atomic_writes,7,2165
Base_MIOHIN_76GW,all_atomic_writes,8,606
Base_MIOHIN_76GW,all_atomic_writes,9,183
Base_MIOHIN_76GW,all_atomic_writes,10,81
Base_MIOHIN_76GW,all_atomic_writes,11,36
Base_MIOHIN_76GW,all_atomic_writes,12,20
Base_MIOHIN_76GW,all_atomic_writes,13,8
Base_MIOHIN_76GW,all_atomic_writes,16,8
Base_MIOHIN_76GW,all_atomic_writes,17,4
Base_MIOHIN_76GW,map_writes_only,1,155152
Base_MIOHIN_76GW,diag_writes_only,2,2537
Base_MIOHIN_76GW,diag_writes_only,3,13900
Base_MIOHIN_76GW,diag_writes_only,4,14443
Base_MIOHIN_76GW,diag_writes_only,5,6191
Base_MIOHIN_76GW,diag_writes_only,6,2165
Base_MIOHIN_76GW,diag_writes_only,7,606
Base_MIOHIN_76GW,diag_writes_only,8,183
Base_MIOHIN_76GW,diag_writes_only,9,81
Base_MIOHIN_76GW,diag_writes_only,10,36
Base_MIOHIN_76GW,diag_writes_only,11,20
Base_MIOHIN_76GW,diag_writes_only,12,8
Base_MIOHIN_76GW,diag_writes_only,15,8
Base_MIOHIN_76GW,diag_writes_only,16,4
Base_MIOHIN_76GW,all_writes_to_diag_targets,3,2537
Base_MIOHIN_76GW,all_writes_to_diag_targets,4,13900
Base_MIOHIN_76GW,all_writes_to_diag_targets,5,14443
Base_MIOHIN_76GW,all_writes_to_diag_targets,6,6191
Base_MIOHIN_76GW,all_writes_to_diag_targets,7,2165
Base_MIOHIN_76GW,all_writes_to_diag_targets,8,606
Base_MIOHIN_76GW,all_writes_to_diag_targets,9,183
Base_MIOHIN_76GW,all_writes_to_diag_targets,10,81
Base_MIOHIN_76GW,all_writes_to_diag_targets,11,36
Base_MIOHIN_76GW,all_writes_to_diag_targets,12,20
Base_MIOHIN_76GW,all_writes_to_diag_targets,13,8
Base_MIOHIN_76GW,all_writes_to_diag_targets,16,8
Base_MIOHIN_76GW,all_writes_to_diag_targets,17,4
Base_MIOHIN_76GW,all_writes_to_offdiag_targets,1,114970
Base_Texas_66GW,all_atomic_writes,1,76140
Base_Texas_66GW,all_atomic_writes,3,3476
Base_Texas_66GW,all_atomic_writes,4,10984
Base_Texas_66GW,all_atomic_writes,5,8371
Base_Texas_66GW,all_atomic_writes,6,3803
Base_Texas_66GW,all_atomic_writes,7,1271
Base_Texas_66GW,all_atomic_writes,8,439
Base_Texas_66GW,all_atomic_writes,9,166
Base_Texas_66GW,all_atomic_writes,10,73
Base_Texas_66GW,all_atomic_writes,11,28
Base_Texas_66GW,all_atomic_writes,12,8
Base_Texas_66GW,all_atomic_writes,13,4
Base_Texas_66GW,map_writes_only,1,104763
Base_Texas_66GW,diag_writes_only,2,3476
Base_Texas_66GW,diag_writes_only,3,10984
Base_Texas_66GW,diag_writes_only,4,8371
Base_Texas_66GW,diag_writes_only,5,3803
Base_Texas_66GW,diag_writes_only,6,1271
Base_Texas_66GW,diag_writes_only,7,439
Base_Texas_66GW,diag_writes_only,8,166
Base_Texas_66GW,diag_writes_only,9,73
Base_Texas_66GW,diag_writes_only,10,28
Base_Texas_66GW,diag_writes_only,11,8
Base_Texas_66GW,diag_writes_only,12,4
Base_Texas_66GW,all_writes_to_diag_targets,3,3476
Base_Texas_66GW,all_writes_to_diag_targets,4,10984
Base_Texas_66GW,all_writes_to_diag_targets,5,8371
Base_Texas_66GW,all_writes_to_diag_targets,6,3803
Base_Texas_66GW,all_writes_to_diag_targets,7,1271
Base_Texas_66GW,all_writes_to_diag_targets,8,439
Base_Texas_66GW,all_writes_to_diag_targets,9,166
Base_Texas_66GW,all_writes_to_diag_targets,10,73
Base_Texas_66GW,all_writes_to_diag_targets,11,28
Base_Texas_66GW,all_writes_to_diag_targets,12,8
Base_Texas_66GW,all_writes_to_diag_targets,13,4
Base_Texas_66GW,all_writes_to_offdiag_targets,1,76140
Base_West_Interconnect_121GW,all_atomic_writes,1,221756
Base_West_Interconnect_121GW,all_atomic_writes,3,10098
Base_West_Interconnect_121GW,all_atomic_writes,4,27567
Base_West_Interconnect_121GW,all_atomic_writes,5,24602
Base_West_Interconnect_121GW,all_atomic_writes,6,11520
Base_West_Interconnect_121GW,all_atomic_writes,7,4520
Base_West_Interconnect_121GW,all_atomic_writes,8,1515
Base_West_Interconnect_121GW,all_atomic_writes,9,530
Base_West_Interconnect_121GW,all_atomic_writes,10,196
Base_West_Interconnect_121GW,all_atomic_writes,11,94
Base_West_Interconnect_121GW,all_atomic_writes,12,48
Base_West_Interconnect_121GW,all_atomic_writes,13,13
Base_West_Interconnect_121GW,all_atomic_writes,14,9
Base_West_Interconnect_121GW,all_atomic_writes,15,4
Base_West_Interconnect_121GW,all_atomic_writes,16,4
Base_West_Interconnect_121GW,all_atomic_writes,17,1
Base_West_Interconnect_121GW,all_atomic_writes,18,4
Base_West_Interconnect_121GW,all_atomic_writes,19,4
Base_West_Interconnect_121GW,all_atomic_writes,31,1
Base_West_Interconnect_121GW,map_writes_only,1,302486
Base_West_Interconnect_121GW,diag_writes_only,2,10098
Base_West_Interconnect_121GW,diag_writes_only,3,27567
Base_West_Interconnect_121GW,diag_writes_only,4,24602
Base_West_Interconnect_121GW,diag_writes_only,5,11520
Base_West_Interconnect_121GW,diag_writes_only,6,4520
Base_West_Interconnect_121GW,diag_writes_only,7,1515
Base_West_Interconnect_121GW,diag_writes_only,8,530
Base_West_Interconnect_121GW,diag_writes_only,9,196
Base_West_Interconnect_121GW,diag_writes_only,10,94
Base_West_Interconnect_121GW,diag_writes_only,11,48
Base_West_Interconnect_121GW,diag_writes_only,12,13
Base_West_Interconnect_121GW,diag_writes_only,13,9
Base_West_Interconnect_121GW,diag_writes_only,14,4
Base_West_Interconnect_121GW,diag_writes_only,15,4
Base_West_Interconnect_121GW,diag_writes_only,16,1
Base_West_Interconnect_121GW,diag_writes_only,17,4
Base_West_Interconnect_121GW,diag_writes_only,18,4
Base_West_Interconnect_121GW,diag_writes_only,30,1
Base_West_Interconnect_121GW,all_writes_to_diag_targets,3,10098
Base_West_Interconnect_121GW,all_writes_to_diag_targets,4,27567
Base_West_Interconnect_121GW,all_writes_to_diag_targets,5,24602
Base_West_Interconnect_121GW,all_writes_to_diag_targets,6,11520
Base_West_Interconnect_121GW,all_writes_to_diag_targets,7,4520
Base_West_Interconnect_121GW,all_writes_to_diag_targets,8,1515
Base_West_Interconnect_121GW,all_writes_to_diag_targets,9,530
Base_West_Interconnect_121GW,all_writes_to_diag_targets,10,196
Base_West_Interconnect_121GW,all_writes_to_diag_targets,11,94
